index,column,declared_type,file,numeric_convertible,missing_count,non_numeric_count
1,WTUR.TurSt.actsp,INTEGER,goldwind_decoded\columns\001_WTUR_TurSt_actsp.csv,True,0,0
2,WNAC.WSpd.InstMag.f,FLOAT,goldwind_decoded\columns\002_WNAC_WSpd_InstMag_f.csv,True,0,0
3,WYAW.Pos,FLOAT,goldwind_decoded\columns\003_WYAW_Pos.csv,True,0,0
4,WNAC.Dir.InstMag.f,FLOAT,goldwind_decoded\columns\004_WNAC_Dir_InstMag_f.csv,True,0,0
5,WTUR.Yaw.Speed,FLOAT,goldwind_decoded\columns\005_WTUR_Yaw_Speed.csv,True,0,0
6,WYAW.WkHours.Mt1,FLOAT,goldwind_decoded\columns\006_WYAW_WkHours_Mt1.csv,True,0,0
7,WYAW.WkHours.Mt2,FLOAT,goldwind_decoded\columns\007_WYAW_WkHours_Mt2.csv,True,0,0
8,WYAW.WkHours.Mt3,FLOAT,goldwind_decoded\columns\008_WYAW_WkHours_Mt3.csv,True,0,0
9,WYAW.HydWorkTm,FLOAT,goldwind_decoded\columns\009_WYAW_HydWorkTm.csv,True,0,0
10,WNAC.Wdir.InstMag.f,FLOAT,goldwind_decoded\columns\010_WNAC_Wdir_InstMag_f.csv,True,0,0
11,WNAC.Wdir.InstMag.f_1,FLOAT,goldwind_decoded\columns\011_WNAC_Wdir_InstMag_f_1.csv,True,0,0
12,WGEN.Spd.InstMag.i,FLOAT,goldwind_decoded\columns\012_WGEN_Spd_InstMag_i.csv,True,0,0
13,WROT.RotSpd.InstMag_1.i,FLOAT,goldwind_decoded\columns\013_WROT_RotSpd_InstMag_1_i.csv,True,0,0
14,WROT.RotSpd.InstMag_2.i,FLOAT,goldwind_decoded\columns\014_WROT_RotSpd_InstMag_2_i.csv,True,0,0
15,WGEN.Spd.InstMag_Max.i,FLOAT,goldwind_decoded\columns\015_WGEN_Spd_InstMag_Max_i.csv,True,0,0
16,WNAC.AccX,FLOAT,goldwind_decoded\columns\016_WNAC_AccX.csv,True,0,0
17,WNAC.AccY,FLOAT,goldwind_decoded\columns\017_WNAC_AccY.csv,True,0,0
18,WNAC.Nacell_Offest_Max.f,FLOAT,goldwind_decoded\columns\018_WNAC_Nacell_Offest_Max_f.csv,True,0,0
19,WNAC.Acc,FLOAT,goldwind_decoded\columns\019_WNAC_Acc.csv,True,0,0
