row_index,WNAC.Wdir.InstMag.f
1,181.01
2,180.74
3,180.53
4,180.61
5,179.19
6,180.82
7,178.98
8,179.41
9,179.94
10,181.52
11,180.46
12,183.46
13,181.16
14,180.8
15,180.79
16,182.0
17,182.0
18,182.53
19,182.72
20,182.34
21,181.73
22,181.19
23,178.33
24,177.17
25,178.88
26,179.31
27,180.14
28,181.27
29,180.27
30,179.68
31,181.85
32,182.66
33,182.3
34,182.82
35,180.99
36,182.16
37,181.53
38,180.04
39,181.05
40,181.68
41,181.64
42,181.14
43,179.74
44,179.44
45,180.26
46,178.93
47,178.74
48,178.66
49,175.31
50,178.54
51,178.5
52,175.34
53,175.3
54,178.05
55,180.93
56,178.01
57,175.66
58,173.92
59,174.58
60,175.47
61,176.4
62,171.85
63,170.12
64,172.55
65,173.14
66,173.28
67,172.13
68,171.59
69,173.44
70,176.44
71,173.26
72,175.24
73,175.79
74,175.56
75,175.09
76,175.18
77,173.37
78,174.95
79,174.88
80,175.54
81,176.52
82,177.64
83,176.64
84,178.09
85,176.38
86,177.69
87,174.76
88,175.63
89,175.43
90,173.79
91,176.23
92,174.06
93,176.0
94,176.84
95,174.24
96,176.7
97,176.79
98,176.06
99,176.64
100,177.86
101,175.6
102,173.28
103,175.27
104,175.43
105,174.17
106,173.86
107,171.89
108,173.35
109,176.65
110,177.44
111,179.99
112,180.18
113,177.79
114,177.75
115,180.73
116,179.57
117,179.84
118,178.8
119,176.3
120,179.82
121,177.36
122,177.88
123,179.41
124,180.55
125,181.09
126,180.24
127,179.66
128,179.79
129,180.73
130,178.98
131,178.72
132,179.93
133,178.59
134,178.94
135,180.57
136,180.59
137,180.78
138,181.58
139,181.94
140,181.44
141,181.53
142,183.02
143,183.58
144,182.45
145,183.03
146,184.87
147,180.87
148,181.8
149,182.78
150,180.49
151,181.14
152,181.93
153,181.03
154,182.91
155,183.32
156,183.58
157,182.65
158,183.25
159,184.96
160,184.18
161,184.21
162,184.55
163,182.74
164,182.11
165,182.7
166,182.36
167,181.0
168,180.61
169,180.73
170,180.58
171,180.93
172,182.3
173,180.57
174,180.07
175,180.09
176,180.81
177,182.84
178,182.0
179,181.25
180,182.09
181,181.78
182,180.34
183,181.32
184,181.6
185,181.25
186,180.5
187,182.19
188,181.27
189,179.09
190,180.31
191,182.02
192,181.59
193,179.38
194,179.52
195,180.43
196,179.41
197,179.54
198,178.98
199,178.69
200,177.89
201,179.29
202,181.03
203,177.63
204,178.34
205,180.14
206,177.84
207,178.61
208,176.28
209,178.39
210,175.88
211,177.49
212,179.53
213,176.87
214,177.48
215,178.43
216,179.18
217,178.8
218,177.09
219,176.82
220,175.95
221,177.78
222,175.8
223,176.21
224,178.36
225,175.87
226,177.05
227,179.43
228,179.16
229,179.52
230,180.16
231,180.96
232,181.96
233,181.54
234,181.82
235,180.59
236,181.4
237,181.65
238,181.38
239,182.05
240,183.19
241,182.59
242,182.09
243,181.63
244,182.51
245,181.76
246,183.02
247,182.23
248,181.99
249,182.77
250,181.47
251,181.15
252,182.02
253,182.33
254,184.56
255,182.38
256,183.11
257,182.56
258,181.84
259,182.72
260,182.07
261,182.31
262,184.52
263,184.0
264,184.16
265,183.04
266,182.56
267,182.89
268,183.54
269,182.12
270,183.65
271,183.05
272,183.1
273,183.89
274,183.93
275,183.35
276,182.92
277,184.21
278,182.23
279,182.54
280,182.94
281,183.05
282,180.31
283,177.95
284,179.06
285,180.5
286,178.6
287,179.06
288,178.18
289,176.81
290,177.33
291,179.09
292,178.65
293,180.42
294,178.84
295,177.23
296,177.53
297,179.34
298,178.61
299,177.99
300,176.68
301,175.37
302,176.79
303,177.23
304,178.01
305,175.78
306,177.08
307,179.12
308,176.76
309,179.36
310,178.59
311,176.89
312,178.8
313,177.69
314,177.51
315,175.88
316,178.64
317,179.09
318,175.26
319,176.94
320,177.3
321,178.05
322,178.14
323,177.19
324,175.65
325,173.52
326,178.91
327,178.14
328,180.22
329,180.47
330,177.46
331,177.5
332,176.08
333,176.81
334,178.92
335,178.55
336,176.31
337,178.04
338,177.09
339,175.78
340,176.92
341,176.91
342,178.45
343,178.41
344,177.42
345,178.15
346,177.2
347,176.07
348,178.5
349,179.99
350,178.93
351,178.7
352,178.21
353,177.63
354,178.6
355,178.73
356,177.85
357,178.71
358,178.14
359,178.51
360,179.71
361,179.29
362,179.54
363,178.31
364,179.36
365,178.63
366,179.41
367,178.76
368,178.6
369,179.27
370,180.98
371,179.62
372,179.42
373,178.96
374,180.42
375,178.84
376,179.05
377,179.69
378,178.8
379,177.92
380,178.3
381,177.34
382,178.08
383,179.21
384,174.86
385,175.89
386,176.69
387,175.88
388,176.71
389,174.88
390,175.36
391,175.59
392,175.88
393,177.24
394,175.47
395,173.3
396,174.58
397,175.01
398,177.06
399,178.16
400,177.61
401,177.11
402,176.28
403,175.4
404,178.0
405,178.73
406,180.21
407,180.16
408,179.49
409,176.12
410,175.35
411,176.98
412,179.85
413,173.83
414,174.18
415,178.9
416,179.43
417,179.07
418,178.33
419,176.68
420,176.02
421,176.76
422,173.64
423,172.41
424,176.49
425,175.3
426,173.43
427,171.83
428,171.96
429,172.95
430,174.87
431,174.53
432,174.63
433,173.32
434,172.64
435,173.88
436,172.65
437,174.89
438,175.5
439,175.57
440,170.97
441,170.48
442,172.21
443,171.61
444,172.06
445,176.09
446,176.59
447,174.59
448,172.18
449,172.62
450,176.69
451,172.86
452,174.14
453,176.04
454,174.82
455,170.27
456,175.94
457,176.03
458,173.89
459,173.42
460,169.83
461,169.9
462,168.76
463,166.68
464,167.78
465,168.95
466,165.36
467,169.28
468,169.17
469,168.78
470,166.39
471,163.59
472,166.81
473,164.23
474,163.84
475,163.41
476,165.5
477,169.03
478,170.49
479,175.69
480,184.14
481,187.04
482,186.79
483,189.24
484,193.25
485,193.25
486,192.73
487,192.13
488,190.85
489,191.98
490,190.18
491,191.05
492,190.01
493,188.4
494,188.77
495,187.2
496,187.49
497,184.94
498,184.12
499,187.21
500,190.59
501,190.25
502,189.35
503,190.31
504,188.65
505,187.53
506,185.88
507,186.01
508,186.01
509,184.73
510,185.19
511,186.36
512,188.23
513,186.58
514,187.69
515,189.96
516,186.54
517,187.6
518,185.69
519,185.99
520,187.02
521,185.83
522,184.44
523,184.56
524,186.6
525,185.2
526,185.26
527,184.64
528,184.49
529,183.9
530,184.49
531,183.9
532,186.27
533,184.23
534,183.65
535,183.26
536,183.67
537,185.17
538,185.14
539,187.66
540,183.96
541,187.41
542,185.46
543,187.03
544,184.95
545,185.06
546,181.73
547,180.77
548,179.69
549,180.02
550,181.01
551,181.71
552,181.19
553,178.27
554,178.37
555,179.02
556,178.22
557,178.85
558,178.69
559,180.15
560,181.48
561,181.0
562,178.98
563,179.15
564,179.07
565,180.62
566,181.49
567,179.5
568,178.95
569,178.83
570,176.7
571,178.86
572,178.93
573,179.95
574,178.91
575,178.92
576,178.17
577,180.05
578,177.72
579,178.07
580,177.58
581,179.32
582,178.67
583,180.61
584,180.85
585,180.9
586,177.7
587,177.79
588,178.14
589,179.43
590,178.6
591,177.76
592,178.05
593,179.37
594,179.79
595,178.45
596,176.02
597,175.39
598,175.53
599,174.27
600,177.06
601,175.18
602,176.92
603,175.56
604,175.88
605,175.99
606,176.79
607,176.5
608,177.27
609,178.41
610,178.7
611,178.33
612,175.92
613,177.73
614,177.32
615,177.32
616,177.48
617,177.28
618,175.63
619,176.07
620,175.13
621,174.92
622,174.94
623,174.9
624,175.38
625,174.15
626,175.0
627,173.34
628,174.75
629,172.93
630,171.43
631,171.56
632,173.18
633,176.46
634,174.15
635,172.49
636,173.63
637,172.7
638,170.75
639,173.36
640,173.47
641,173.64
642,173.38
643,174.75
644,172.52
645,173.5
646,175.58
647,172.29
648,174.91
649,172.78
650,172.99
651,172.7
652,174.39
653,173.38
654,172.88
655,173.36
656,173.9
657,175.35
658,173.96
659,172.99
660,172.97
661,172.06
662,175.21
663,172.32
664,174.45
665,173.79
666,174.85
667,174.36
668,172.06
669,174.67
670,174.45
671,174.35
672,176.39
673,177.55
674,176.44
675,176.26
676,178.39
677,176.73
678,176.27
679,175.05
680,174.08
681,173.78
682,174.12
683,177.7
684,175.83
685,176.64
686,178.52
687,175.73
688,178.06
689,178.29
690,175.62
691,174.8
692,174.04
693,174.67
694,176.04
695,178.06
696,177.26
697,176.03
698,176.74
699,174.86
700,175.53
701,176.07
702,177.32
703,176.91
704,176.22
705,177.72
706,178.17
707,176.42
708,174.34
709,174.03
710,175.41
711,175.93
712,174.53
713,176.02
714,175.44
715,175.55
716,176.75
717,176.78
718,173.75
719,174.46
720,174.69
721,176.19
722,175.21
723,174.04
724,174.19
725,174.98
726,173.78
727,179.0
728,177.49
729,176.51
730,174.43
731,176.59
732,177.03
733,177.26
734,177.48
735,176.54
736,175.71
737,174.54
738,179.43
739,180.48
740,181.13
741,180.88
742,180.75
743,181.93
744,181.75
745,181.64
746,180.91
747,180.22
748,179.61
749,178.91
750,178.94
751,178.58
752,177.85
753,178.42
754,178.88
755,178.51
756,177.85
757,176.95
758,175.52
759,174.44
760,176.97
761,175.71
762,176.33
763,176.92
764,176.38
765,179.02
766,177.21
767,179.16
768,178.59
769,177.5
770,178.93
771,178.22
772,179.59
773,178.04
774,177.52
775,177.76
776,177.66
777,177.31
778,177.48
779,177.63
780,177.66
781,175.98
782,177.11
783,178.07
784,177.55
785,178.67
786,179.96
787,180.27
788,179.34
789,179.07
790,179.41
791,180.31
792,180.75
793,179.86
794,180.58
795,179.58
796,179.29
797,180.31
798,182.55
799,181.89
800,183.86
801,182.04
802,182.98
803,183.35
804,182.61
805,182.99
806,181.01
807,180.58
808,179.62
809,182.66
810,183.43
811,185.57
812,184.51
813,183.2
814,182.1
815,182.26
816,180.42
817,182.16
818,181.48
819,181.07
820,182.14
821,181.08
822,180.37
823,181.96
824,182.44
825,184.1
826,182.56
827,182.15
828,182.25
829,182.11
830,182.04
831,182.97
832,183.7
833,182.52
834,184.1
835,183.04
836,182.57
837,182.19
838,183.73
839,182.49
840,182.28
841,182.13
842,183.55
843,182.43
844,183.73
845,182.96
846,183.85
847,186.6
848,187.45
849,187.31
850,185.3
851,185.09
852,185.53
853,186.04
854,186.41
855,183.25
856,183.62
857,184.82
858,181.62
859,182.88
860,182.94
861,183.1
862,183.85
863,183.83
864,182.65
865,181.77
866,182.36
867,181.72
868,182.37
869,182.82
870,183.2
871,183.14
872,180.57
873,181.19
874,180.17
875,181.06
876,182.87
877,183.85
878,183.54
879,182.57
880,181.35
881,182.71
882,184.34
883,185.54
884,182.85
885,182.72
886,182.71
887,183.92
888,182.67
889,183.24
890,183.66
891,182.86
892,183.01
893,181.92
894,181.91
895,181.77
896,181.26
897,181.11
898,180.05
899,181.1
900,180.77
901,181.44
902,181.38
903,180.03
904,180.53
905,179.87
906,180.47
907,181.22
908,179.8
909,180.04
910,178.94
911,178.73
912,177.45
913,179.51
914,180.75
915,178.8
916,177.21
917,178.27
918,175.52
919,175.86
920,173.85
921,173.85
922,173.32
923,173.5
924,173.27
925,173.26
926,172.88
927,173.34
928,173.16
929,173.53
930,173.56
931,169.84
932,169.04
933,170.04
934,171.74
935,173.13
936,174.73
937,173.57
938,174.05
939,175.7
940,173.97
941,173.2
942,174.51
943,176.81
944,176.04
945,173.52
946,174.61
947,173.95
948,176.54
949,175.1
950,177.06
951,174.35
952,172.42
953,172.43
954,173.25
955,170.69
956,172.46
957,164.42
958,167.29
959,168.95
960,167.86
961,167.73
962,166.53
963,171.06
964,174.3
965,173.38
966,171.11
967,170.52
968,175.7
969,175.0
970,174.7
971,176.2
972,172.04
973,174.02
974,171.44
975,170.83
976,172.77
977,172.83
978,171.99
979,168.28
980,169.82
981,169.52
982,171.24
983,168.19
984,168.59
985,171.08
986,166.49
987,166.41
988,168.19
989,167.07
990,165.57
991,165.8
992,168.05
993,167.46
994,172.86
995,172.85
996,171.66
997,175.05
998,179.11
999,181.25
1000,181.59
1001,183.54
1002,181.7
1003,180.56
1004,178.03
1005,176.05
1006,173.84
1007,174.45
1008,175.54
1009,177.1
1010,176.91
1011,179.99
1012,180.2
1013,181.1
1014,183.12
1015,183.91
1016,183.19
1017,182.96
1018,182.26
1019,181.35
1020,184.66
1021,184.58
1022,186.44
1023,189.46
1024,187.79
1025,186.46
1026,186.01
1027,183.9
1028,186.48
1029,187.98
1030,186.41
1031,188.03
1032,184.5
1033,188.39
1034,186.86
1035,188.68
1036,187.39
1037,189.42
1038,189.17
1039,191.96
1040,189.23
1041,188.33
1042,186.79
1043,188.23
1044,183.92
1045,184.54
1046,183.27
1047,184.56
1048,186.51
1049,185.05
1050,183.62
1051,182.5
1052,182.62
1053,183.44
1054,183.15
1055,183.3
1056,183.37
1057,181.35
1058,182.18
1059,181.2
1060,181.97
1061,182.75
1062,182.18
1063,181.83
1064,182.01
1065,181.62
1066,180.72
1067,180.98
1068,180.58
1069,180.76
1070,179.45
1071,178.78
1072,178.59
1073,178.77
1074,179.17
1075,180.4
1076,178.26
1077,179.67
1078,181.61
1079,181.66
1080,181.49
1081,180.95
1082,183.27
1083,184.17
1084,183.0
1085,183.76
1086,182.65
1087,183.42
1088,183.7
1089,182.52
1090,183.1
1091,182.94
1092,182.76
1093,183.13
1094,184.5
1095,184.12
1096,182.41
1097,182.12
1098,181.03
1099,181.9
1100,182.11
1101,182.83
1102,182.22
1103,181.3
1104,181.35
1105,182.85
1106,180.43
1107,181.82
1108,183.97
1109,182.08
1110,181.63
1111,179.38
1112,179.22
1113,179.64
1114,178.15
1115,178.79
1116,181.97
1117,182.69
1118,181.54
1119,181.62
1120,179.7
1121,177.65
1122,178.83
1123,179.56
1124,179.46
1125,180.83
1126,180.84
1127,180.74
1128,180.89
1129,179.9
1130,180.08
1131,181.82
1132,183.03
1133,181.39
1134,182.01
1135,181.76
1136,181.68
1137,180.4
1138,181.53
1139,181.14
1140,179.9
1141,180.95
1142,182.74
1143,184.2
1144,183.96
1145,182.25
1146,182.66
1147,180.17
1148,180.39
1149,181.93
1150,181.21
1151,178.71
1152,179.02
1153,179.64
1154,179.5
1155,179.7
1156,179.49
1157,179.04
1158,178.96
1159,179.98
1160,179.82
1161,180.91
1162,179.51
1163,178.08
1164,179.02
1165,178.94
1166,180.87
1167,181.29
1168,181.97
1169,182.7
1170,182.48
1171,182.86
1172,182.94
1173,183.17
1174,182.37
1175,185.49
1176,185.24
1177,184.38
1178,181.51
1179,180.26
1180,180.73
1181,181.87
1182,181.17
1183,181.02
1184,180.87
1185,180.68
1186,181.79
1187,180.72
1188,181.6
1189,180.35
1190,180.77
1191,180.17
1192,180.9
1193,181.92
1194,182.5
1195,183.52
1196,184.66
1197,184.5
1198,183.91
1199,184.31
1200,187.12
1201,188.17
1202,185.44
1203,186.58
1204,185.88
1205,184.37
1206,185.24
1207,184.87
1208,184.38
1209,184.22
1210,183.51
1211,184.26
1212,183.65
1213,184.78
1214,182.45
1215,183.99
1216,183.75
1217,183.37
1218,184.13
1219,183.0
1220,183.42
1221,181.9
1222,182.8
1223,181.19
1224,180.05
1225,181.92
1226,181.34
1227,180.22
1228,179.86
1229,178.51
1230,179.04
1231,178.62
1232,177.23
1233,178.84
1234,182.2
1235,181.9
1236,182.99
1237,182.4
1238,182.28
1239,181.96
1240,184.27
1241,183.35
1242,183.33
1243,185.07
1244,184.97
1245,181.96
1246,181.4
1247,179.46
1248,176.85
1249,180.67
1250,181.53
1251,181.11
1252,177.98
1253,176.28
1254,178.02
1255,179.6
1256,181.93
1257,181.02
1258,179.47
1259,179.48
1260,179.13
1261,178.43
1262,178.03
1263,179.61
1264,182.13
1265,178.93
1266,178.56
1267,177.23
1268,178.86
1269,177.41
1270,177.29
1271,177.54
1272,176.49
1273,180.06
1274,178.81
1275,178.45
1276,178.49
1277,179.28
1278,176.23
1279,176.99
1280,176.33
1281,180.59
1282,182.75
1283,184.09
1284,181.63
1285,180.68
1286,179.84
1287,183.17
1288,182.68
1289,184.05
1290,186.98
1291,185.63
1292,183.13
1293,184.27
1294,183.99
1295,184.66
1296,183.56
1297,183.11
1298,182.73
1299,182.77
1300,185.17
1301,184.27
1302,186.03
1303,186.71
1304,186.66
1305,184.01
1306,184.96
1307,186.29
1308,183.92
1309,183.76
1310,184.1
1311,182.99
1312,181.28
1313,181.17
1314,181.51
1315,181.38
1316,181.61
1317,183.25
1318,182.09
1319,180.51
1320,182.4
1321,183.01
1322,182.87
1323,180.6
1324,177.86
1325,178.63
1326,178.24
1327,179.67
1328,182.79
1329,182.4
1330,180.62
1331,179.34
1332,177.97
1333,179.58
1334,178.76
1335,177.44
1336,177.72
1337,176.2
1338,176.25
1339,178.06
1340,179.28
1341,177.73
1342,175.4
1343,176.36
1344,176.53
1345,177.03
1346,178.19
1347,177.55
1348,178.1
1349,178.52
1350,178.88
1351,181.49
1352,180.0
1353,180.78
1354,182.06
1355,182.76
1356,181.26
1357,181.75
1358,181.96
1359,181.03
1360,180.87
1361,181.58
1362,180.05
1363,176.63
1364,179.87
1365,180.82
1366,182.6
1367,180.56
1368,180.67
1369,179.5
1370,177.32
1371,178.84
1372,175.78
1373,179.0
1374,179.72
1375,181.71
1376,180.38
1377,182.1
1378,182.1
1379,182.56
1380,181.78
1381,181.28
1382,181.4
1383,179.58
1384,181.43
1385,178.77
1386,180.25
1387,178.75
1388,177.12
1389,177.88
1390,180.05
1391,177.98
1392,177.71
1393,174.57
1394,178.49
1395,180.76
1396,180.61
1397,180.63
1398,182.36
1399,180.84
1400,180.24
1401,182.33
1402,182.98
1403,181.32
1404,181.53
1405,181.36
1406,184.79
1407,185.84
1408,185.33
1409,184.97
1410,186.6
1411,186.69
1412,182.35
1413,180.91
1414,182.05
1415,180.72
1416,181.58
1417,176.65
1418,178.17
1419,178.61
1420,181.97
1421,181.64
1422,183.33
1423,181.4
1424,181.35
1425,180.82
1426,179.21
1427,180.54
1428,179.9
1429,180.71
