row_index,WNAC.Wdir.InstMag.f_1
1,178.95
2,181.37
3,182.02
4,177.19
5,180.27
6,185.32
7,178.29
8,180.05
9,188.62
10,180.93
11,176.97
12,181.59
13,180.71
14,185.1
15,180.49
16,187.52
17,180.71
18,180.49
19,185.32
20,180.49
21,185.32
22,175.65
23,176.97
24,173.67
25,178.95
26,178.29
27,184.0
28,179.61
29,183.12
30,182.68
31,185.76
32,182.02
33,178.95
34,184.22
35,180.93
36,182.24
37,178.51
38,180.71
39,181.59
40,179.61
41,180.49
42,179.17
43,179.83
44,179.61
45,185.76
46,176.09
47,177.41
48,178.29
49,176.53
50,183.12
51,171.48
52,174.33
53,173.89
54,180.71
55,180.93
56,169.94
57,182.24
58,174.55
59,190.59
60,174.33
61,176.31
62,180.27
63,166.42
64,180.49
65,171.7
66,171.7
67,170.38
68,186.64
69,174.55
70,179.17
71,169.28
72,188.62
73,172.14
74,176.53
75,184.0
76,175.65
77,177.85
78,177.85
79,178.95
80,175.65
81,175.65
82,173.89
83,173.46
84,177.19
85,173.89
86,178.07
87,175.21
88,173.89
89,171.04
90,174.77
91,170.82
92,180.93
93,176.09
94,176.97
95,177.19
96,182.24
97,174.55
98,173.02
99,180.05
100,177.41
101,175.21
102,171.7
103,172.8
104,173.46
105,172.58
106,173.89
107,175.43
108,173.89
109,173.67
110,174.55
111,181.59
112,180.71
113,176.09
114,178.29
115,182.68
116,177.41
117,176.75
118,179.61
119,181.81
120,180.49
121,177.85
122,173.46
123,182.02
124,179.61
125,180.27
126,178.07
127,177.19
128,180.49
129,182.68
130,174.33
131,178.95
132,184.44
133,176.53
134,181.59
135,180.93
136,179.83
137,178.07
138,181.37
139,185.54
140,178.73
141,180.49
142,189.28
143,183.34
144,189.06
145,180.71
146,185.54
147,182.02
148,178.29
149,176.53
150,181.59
151,185.98
152,183.78
153,176.53
154,181.81
155,189.5
156,180.27
157,185.98
158,181.59
159,188.62
160,180.71
161,185.54
162,185.1
163,182.24
164,181.81
165,185.1
166,179.17
167,180.27
168,180.27
169,176.09
170,181.37
171,179.17
172,182.68
173,179.61
174,180.27
175,184.0
176,187.74
177,180.93
178,181.59
179,184.44
180,181.81
181,188.62
182,174.77
183,181.59
184,185.1
185,182.24
186,185.98
187,182.68
188,181.59
189,176.75
190,185.1
191,176.31
192,179.83
193,178.51
194,178.95
195,173.89
196,174.33
197,180.71
198,181.81
199,181.37
200,179.17
201,180.93
202,184.22
203,180.49
204,185.76
205,177.85
206,178.51
207,176.31
208,174.55
209,176.97
210,167.96
211,180.27
212,194.11
213,174.77
214,178.73
215,181.59
216,183.34
217,182.02
218,173.89
219,179.83
220,175.65
221,174.55
222,173.67
223,178.51
224,175.65
225,181.37
226,175.43
227,179.83
228,185.32
229,178.95
230,184.44
231,185.32
