row_index,WGEN.Spd.InstMag.i
1,9.99
2,9.99
3,10.01
4,9.99
5,10.01
6,10.01
7,9.97
8,9.97
9,9.99
10,9.99
11,10.01
12,9.95
13,9.95
14,9.95
15,9.99
16,9.99
17,10.04
18,10.01
19,9.95
20,9.93
21,9.99
22,10.08
23,10.04
24,9.99
25,9.93
26,10.03
27,10.03
28,10.01
29,10.01
30,9.99
31,9.95
32,9.93
33,9.97
34,10.04
35,10.03
36,9.99
37,9.93
38,9.99
39,10.03
40,9.99
41,10.03
42,10.01
43,10.03
44,10.1
45,9.99
46,9.95
47,10.01
48,10.01
49,10.01
50,10.08
51,9.97
52,10.01
53,10.03
54,9.99
55,9.99
56,10.03
57,10.01
58,10.03
59,10.08
60,10.01
61,9.97
62,9.97
63,10.1
64,10.01
65,10.03
66,10.1
67,10.14
68,10.16
69,10.29
70,10.32
71,10.44
72,10.55
73,10.57
74,10.6
75,10.72
76,10.73
77,10.75
78,10.7
79,10.73
80,10.75
81,10.79
82,10.83
83,10.79
84,10.83
85,10.79
86,10.85
87,10.9
88,10.94
89,10.92
90,10.98
91,10.99
92,11.01
93,11.01
94,11.07
95,11.07
96,11.09
97,11.05
98,11.09
99,11.14
100,11.09
101,11.05
102,11.05
103,11.01
104,11.07
105,11.13
106,11.2
107,11.16
108,11.13
109,11.07
110,11.01
111,10.99
112,10.99
113,10.83
114,10.86
115,10.92
116,10.88
117,10.98
118,10.94
119,10.88
120,10.85
121,10.79
122,10.75
123,10.75
124,10.73
125,10.7
126,10.68
127,10.7
128,10.7
129,10.62
130,10.58
131,10.57
132,10.58
133,10.57
134,10.49
135,10.47
136,10.45
137,10.49
138,10.42
139,10.42
140,10.4
141,10.31
142,10.31
143,10.32
144,10.34
145,10.38
146,10.4
147,10.34
148,10.4
149,10.4
150,10.42
151,10.32
152,10.25
153,10.27
154,10.31
155,10.31
156,10.31
157,10.23
158,10.19
159,10.12
160,10.08
161,10.14
162,10.12
163,10.17
164,10.31
165,10.32
166,10.4
167,10.44
168,10.57
169,10.55
170,10.62
171,10.73
172,10.7
173,10.64
174,10.68
175,10.64
176,10.64
177,10.58
178,10.58
179,10.57
180,10.53
181,10.44
182,10.42
183,10.38
184,10.38
185,10.27
186,10.31
187,10.27
188,10.31
189,10.38
190,10.34
191,10.42
192,10.42
193,10.53
194,10.57
195,10.62
196,10.72
197,10.75
198,10.83
199,10.86
200,10.98
201,11.01
202,11.13
203,11.16
204,11.16
205,11.2
206,11.22
207,11.2
208,11.27
209,11.27
210,11.27
211,11.27
212,11.22
213,11.2
214,11.16
215,11.16
216,11.2
217,11.22
218,11.18
219,11.22
220,11.27
221,11.27
222,11.29
223,11.22
224,11.18
225,11.2
226,11.16
227,11.14
228,11.16
229,11.14
230,11.14
231,11.13
232,11.07
233,11.07
234,11.05
235,11.13
236,11.03
237,11.09
238,11.13
239,11.13
240,11.16
241,11.14
242,11.13
243,11.09
244,11.09
245,11.09
246,11.09
247,11.07
248,11.2
249,11.16
250,11.13
251,11.2
252,11.2
253,11.07
254,11.13
255,11.09
256,11.13
257,11.16
258,11.18
259,11.22
260,11.14
261,11.13
262,11.09
263,11.07
264,11.05
265,11.09
266,11.07
267,11.01
268,11.01
269,11.07
270,11.09
271,11.09
272,11.09
273,11.05
274,11.05
275,11.05
276,11.09
277,11.09
278,11.13
279,11.16
280,11.24
281,11.31
282,11.44
283,11.59
284,11.57
285,11.59
286,11.63
287,11.59
288,11.65
289,11.68
290,11.68
291,11.72
292,11.76
293,11.68
294,11.74
295,11.72
296,11.74
297,11.78
298,11.8
299,11.78
300,11.8
301,11.78
302,11.78
303,11.78
304,11.78
305,11.78
306,11.83
307,11.8
308,11.87
309,11.82
310,11.83
311,11.95
312,11.96
313,11.98
314,12.02
315,12.11
316,12.11
317,12.13
318,12.19
319,12.13
320,12.21
321,12.13
322,12.23
323,12.26
324,12.23
325,12.09
326,11.96
327,11.8
328,11.57
329,11.52
330,11.59
331,11.65
332,11.68
333,11.68
334,11.68
335,11.65
336,11.68
337,11.68
338,11.65
339,11.72
340,11.68
341,11.67
342,11.67
343,11.74
344,11.67
345,11.68
346,11.67
347,11.61
348,11.5
349,11.48
350,11.5
351,11.39
352,11.29
353,11.24
354,11.22
355,11.18
356,11.09
357,11.09
358,11.16
359,11.01
360,11.05
361,10.99
362,11.01
363,10.92
364,10.99
365,10.94
366,10.98
367,10.92
368,10.92
369,10.9
370,10.92
371,10.79
372,10.86
373,10.88
374,10.88
375,10.88
376,10.9
377,10.85
378,10.86
379,10.72
380,10.72
381,10.68
382,10.62
383,10.62
384,10.6
385,10.55
386,10.57
387,10.49
388,10.45
389,10.44
390,10.38
391,10.31
392,10.31
393,10.29
394,10.38
395,10.34
396,10.4
397,10.32
398,10.29
399,10.32
400,10.31
401,10.31
402,10.27
403,10.17
404,10.14
405,10.1
406,10.12
407,10.16
408,10.17
409,10.27
410,10.29
411,10.31
412,10.34
413,10.53
414,10.38
415,10.34
416,10.4
417,10.44
418,10.44
419,10.4
420,10.42
421,10.4
422,10.42
423,10.55
424,10.7
425,10.68
426,10.73
427,10.77
428,10.83
429,10.79
430,10.72
431,10.79
432,10.72
433,10.72
434,10.6
435,10.53
436,10.57
437,10.58
438,10.47
439,10.42
440,10.47
441,10.44
442,10.44
443,10.42
444,10.42
445,10.4
446,10.34
447,10.32
448,10.38
449,10.4
450,10.45
451,10.42
452,10.38
453,10.38
454,10.42
455,10.42
456,10.42
457,10.45
458,10.55
459,10.6
460,10.6
461,10.64
462,10.7
463,10.68
464,10.7
465,10.73
466,10.79
467,10.9
468,11.01
469,11.13
470,11.22
471,11.18
472,11.16
473,11.14
474,11.18
475,11.2
476,11.27
477,11.35
478,11.42
479,11.39
480,11.14
481,11.03
482,10.88
483,10.7
484,10.55
485,10.45
486,10.42
487,10.47
488,10.6
489,10.68
490,10.75
491,10.75
492,10.83
493,10.83
494,10.9
495,10.88
496,10.88
497,10.9
498,10.86
499,10.77
500,10.72
501,10.72
502,10.73
503,10.83
504,10.75
505,10.77
506,10.85
507,10.88
508,10.86
509,10.86
510,10.9
511,10.9
512,10.88
513,10.94
514,10.9
515,10.94
516,10.99
517,11.03
518,11.05
519,11.13
520,11.14
521,11.22
522,11.31
523,11.33
524,11.31
525,11.35
526,11.39
527,11.29
528,11.18
529,11.18
530,11.07
531,11.01
532,10.99
533,10.98
534,10.98
535,10.99
536,11.01
537,10.99
538,10.94
539,10.94
540,11.03
541,11.01
542,11.05
543,11.05
544,11.13
545,11.09
546,11.2
547,11.37
548,11.46
549,11.54
550,11.65
551,11.63
552,11.61
553,11.67
554,11.72
555,11.76
556,11.8
557,11.89
558,11.87
559,11.89
560,11.89
561,11.82
562,11.95
563,12.06
564,12.17
565,12.24
566,12.28
567,12.32
568,12.32
569,12.21
570,12.23
571,12.19
572,12.17
573,12.17
574,12.17
575,12.09
576,12.11
577,12.08
578,12.08
579,12.19
580,12.24
581,12.37
582,12.43
583,12.43
584,12.49
585,12.52
586,12.41
587,12.47
588,12.41
589,12.39
590,12.39
591,12.36
592,12.36
593,12.26
594,12.43
595,12.49
596,12.56
597,12.54
598,12.51
599,12.49
600,12.51
601,12.49
602,12.51
603,12.49
604,12.41
605,12.43
606,12.39
607,12.49
608,12.51
609,12.43
610,12.39
611,12.39
612,12.39
613,12.49
614,12.51
615,12.52
616,12.54
617,12.51
618,12.49
619,12.39
620,12.36
621,12.36
622,12.34
623,12.26
624,12.24
625,12.23
626,12.19
627,12.11
628,12.09
629,12.11
630,12.09
631,12.08
632,12.08
633,12.02
634,12.02
635,12.08
636,12.17
637,12.09
638,12.13
639,12.11
640,12.11
641,12.09
642,12.09
643,12.09
644,12.13
645,12.17
646,12.02
647,11.96
648,11.91
649,11.87
650,11.83
651,11.83
652,11.8
653,11.76
654,11.78
655,11.67
656,11.67
657,11.65
658,11.67
659,11.67
660,11.67
661,11.72
662,11.67
663,11.63
664,11.65
665,11.61
666,11.63
667,11.57
668,11.52
669,11.57
670,11.59
671,11.74
672,11.8
673,11.8
674,11.87
675,11.83
676,11.83
677,11.87
678,11.8
679,11.72
680,11.65
681,11.68
682,11.76
683,11.68
684,11.65
685,11.65
686,11.72
687,11.82
688,12.04
689,12.13
690,12.17
691,12.23
692,12.26
693,12.36
694,12.43
695,12.51
696,12.52
697,12.58
698,12.64
699,12.64
700,12.64
701,12.65
702,12.65
703,12.64
704,12.62
705,12.62
706,12.56
707,12.58
708,12.54
709,12.58
710,12.62
711,12.58
712,12.54
713,12.52
714,12.56
715,12.56
716,12.52
717,12.49
718,12.49
719,12.51
720,12.56
721,12.56
722,12.62
723,12.71
724,12.82
725,12.77
726,12.64
727,12.62
728,12.51
729,12.49
730,12.49
731,12.43
732,12.41
733,12.43
734,12.49
735,12.52
736,12.58
737,12.65
738,12.71
739,12.65
740,12.64
741,12.52
742,12.56
743,12.41
744,12.32
745,12.32
746,12.28
747,12.28
748,12.26
749,12.26
750,12.23
751,12.26
752,12.11
753,12.11
754,12.17
755,12.21
756,12.23
757,12.26
758,12.23
759,12.19
760,12.21
761,12.23
762,12.17
763,12.19
764,12.13
765,12.09
766,12.08
767,12.02
768,11.98
769,12.09
770,12.13
771,12.19
772,12.13
773,12.11
774,12.13
775,12.24
776,12.21
777,12.26
778,12.23
779,12.23
780,12.13
781,12.21
782,12.28
783,12.32
784,12.41
785,12.47
786,12.49
787,12.51
788,12.52
789,12.56
790,12.62
791,12.65
792,12.71
793,12.73
794,12.78
795,12.73
796,12.78
797,12.69
798,12.71
799,12.65
800,12.73
801,12.65
802,12.65
803,12.67
804,12.65
805,12.58
806,12.54
807,12.49
808,12.54
809,12.52
810,12.56
811,12.58
812,12.62
813,12.58
814,12.58
815,12.52
816,12.51
817,12.52
818,12.51
819,12.54
820,12.47
821,12.49
822,12.49
823,12.43
824,12.51
825,12.51
826,12.43
827,12.49
828,12.47
829,12.51
830,12.47
831,12.51
832,12.41
833,12.39
834,12.34
835,12.28
836,12.19
837,12.11
838,12.09
839,12.04
840,12.06
841,11.98
842,11.98
843,11.96
844,11.96
845,11.96
846,11.96
847,11.93
848,11.91
849,11.83
850,11.76
851,11.74
852,11.72
853,11.65
854,11.67
855,11.63
856,11.63
857,11.65
858,11.67
859,11.65
860,11.67
861,11.67
862,11.72
863,11.78
864,11.78
865,11.91
866,11.87
867,11.76
868,11.74
869,11.67
870,11.68
871,11.72
872,11.74
873,11.76
874,11.78
875,11.8
876,11.82
877,11.8
878,11.82
879,11.83
880,11.83
881,11.83
882,11.87
883,11.83
884,11.83
885,11.83
886,11.83
887,11.8
888,11.82
889,11.78
890,11.8
891,11.82
892,11.83
893,11.89
894,11.93
895,11.87
896,11.87
897,11.89
898,11.96
899,11.98
900,12.13
901,12.11
902,12.19
903,12.26
904,12.28
905,12.32
906,12.26
907,12.24
908,12.21
909,12.26
910,12.26
911,12.28
912,12.24
913,12.21
914,12.13
915,12.11
916,12.11
917,12.24
918,12.24
919,12.39
920,12.51
921,12.54
922,12.52
923,12.51
924,12.41
925,12.37
926,12.37
927,12.34
928,12.24
929,12.23
930,12.26
931,12.23
932,12.21
933,12.21
934,12.28
935,12.17
936,12.09
937,12.09
938,12.04
939,11.95
940,11.93
941,11.98
942,12.06
943,12.19
944,12.17
945,12.24
946,12.36
947,12.26
948,12.24
949,12.23
950,12.26
951,12.34
952,12.36
953,12.21
954,12.19
955,12.11
956,12.11
957,12.04
958,12.04
959,11.95
960,11.96
961,11.93
962,11.96
963,11.93
964,11.95
965,11.96
966,11.89
967,11.87
968,11.76
969,11.76
970,11.82
971,11.76
972,11.76
973,11.76
974,11.82
975,11.83
976,11.78
977,11.78
978,11.8
979,11.82
980,11.83
981,11.8
982,11.78
983,11.72
984,11.68
985,11.61
986,11.63
987,11.65
988,11.74
989,11.67
990,11.61
991,11.59
992,11.52
993,11.5
994,11.44
995,11.35
996,11.42
997,11.31
998,11.2
999,11.22
1000,11.22
1001,11.31
1002,11.5
1003,11.74
1004,11.96
1005,12.06
1006,12.24
1007,12.21
1008,12.21
1009,12.04
1010,11.96
1011,11.91
1012,11.91
1013,11.93
1014,11.91
1015,11.87
1016,11.96
1017,11.96
1018,12.09
1019,12.11
1020,12.13
1021,12.08
1022,12.02
1023,12.04
1024,12.09
1025,12.21
1026,12.26
1027,12.41
1028,12.52
1029,12.49
1030,12.51
1031,12.47
1032,12.49
1033,12.52
1034,12.54
1035,12.64
1036,12.56
1037,12.43
1038,12.43
1039,12.37
1040,12.26
1041,12.28
1042,12.28
1043,12.36
1044,12.24
1045,12.19
1046,12.17
1047,12.11
1048,12.02
1049,11.95
1050,12.04
1051,11.98
1052,12.04
1053,11.98
1054,11.91
1055,11.91
1056,11.98
1057,12.11
1058,12.19
1059,12.28
1060,12.23
1061,12.17
1062,12.06
1063,12.02
1064,11.87
1065,11.68
1066,11.65
1067,11.67
1068,11.61
1069,11.57
1070,11.57
1071,11.61
1072,11.59
1073,11.59
1074,11.54
1075,11.52
1076,11.57
1077,11.63
1078,11.65
1079,11.63
1080,11.65
1081,11.68
1082,11.76
1083,11.63
1084,11.57
1085,11.57
1086,11.57
1087,11.59
1088,11.67
1089,11.76
1090,11.8
1091,11.83
1092,11.89
1093,11.83
1094,11.87
1095,11.89
1096,12.02
1097,12.06
1098,12.11
1099,12.24
1100,12.32
1101,12.32
1102,12.28
1103,12.32
1104,12.19
1105,12.19
1106,12.17
1107,12.23
1108,12.23
1109,12.24
1110,12.28
1111,12.32
1112,12.37
1113,12.41
1114,12.39
1115,12.34
1116,12.24
1117,12.19
1118,12.17
1119,12.11
1120,12.19
1121,12.23
1122,12.32
1123,12.36
1124,12.24
1125,12.19
1126,12.06
1127,12.02
1128,11.91
1129,11.8
1130,11.8
1131,11.82
1132,11.78
1133,11.82
1134,11.78
1135,11.8
1136,11.74
1137,11.74
1138,11.8
1139,11.78
1140,11.8
1141,11.8
1142,11.8
1143,11.82
1144,11.72
1145,11.67
1146,11.67
1147,11.67
1148,11.61
1149,11.67
1150,11.67
1151,11.8
1152,11.93
1153,11.96
1154,11.98
1155,11.95
1156,11.93
1157,11.91
1158,11.83
1159,11.83
1160,11.89
1161,11.95
1162,11.95
1163,11.98
1164,11.98
1165,11.98
1166,11.98
1167,11.96
1168,11.98
1169,11.91
1170,11.91
1171,11.91
1172,11.93
1173,11.93
1174,11.96
1175,11.95
1176,11.91
1177,12.02
1178,11.91
1179,11.89
1180,11.83
1181,11.87
1182,11.83
1183,11.93
1184,11.91
1185,11.83
1186,11.8
1187,11.93
1188,11.87
1189,11.91
1190,11.96
1191,11.91
1192,11.87
1193,11.83
1194,11.89
1195,11.76
1196,11.67
1197,11.57
1198,11.48
1199,11.44
1200,11.39
1201,11.42
1202,11.42
1203,11.42
1204,11.39
1205,11.35
1206,11.39
1207,11.42
1208,11.37
1209,11.33
1210,11.44
1211,11.44
1212,11.44
1213,11.48
1214,11.61
1215,11.67
1216,11.76
1217,11.82
1218,11.82
1219,11.83
1220,11.91
1221,11.91
1222,11.98
1223,12.08
1224,12.04
1225,11.87
1226,11.93
1227,12.04
1228,12.13
1229,12.23
1230,12.19
1231,12.23
1232,12.21
1233,12.24
1234,12.17
1235,12.02
1236,11.91
1237,11.89
1238,11.91
1239,11.98
1240,12.08
1241,12.09
1242,12.11
1243,12.02
1244,11.98
1245,11.91
1246,11.87
1247,11.95
1248,12.04
1249,11.93
1250,11.98
1251,12.06
1252,12.06
1253,11.98
1254,11.83
1255,11.78
1256,11.68
1257,11.65
1258,11.68
1259,11.74
1260,11.72
1261,11.76
1262,11.78
1263,11.78
1264,11.78
1265,11.78
1266,12.02
1267,12.08
1268,12.11
1269,12.13
1270,12.09
1271,12.06
1272,12.06
1273,12.06
1274,12.04
1275,12.04
1276,11.95
1277,11.95
1278,11.91
1279,11.87
1280,11.8
1281,11.74
1282,11.61
1283,11.52
1284,11.57
1285,11.57
1286,11.74
1287,11.95
1288,12.06
1289,12.09
1290,12.11
1291,12.17
1292,12.06
1293,12.04
1294,12.06
1295,12.09
1296,12.06
1297,12.02
1298,11.96
1299,11.96
1300,11.91
1301,11.8
1302,11.78
1303,11.78
1304,11.65
1305,11.72
1306,11.59
1307,11.63
1308,11.59
1309,11.61
1310,11.59
1311,11.59
1312,11.54
1313,11.54
1314,11.54
1315,11.57
1316,11.57
1317,11.54
1318,11.57
1319,11.61
1320,11.63
1321,11.63
1322,11.65
1323,11.63
1324,11.59
1325,11.44
1326,11.35
1327,11.29
1328,11.27
1329,11.27
1330,11.27
1331,11.22
1332,11.24
1333,11.18
1334,11.18
1335,11.16
1336,11.14
1337,11.14
1338,11.13
1339,11.13
1340,11.09
1341,11.07
1342,11.05
1343,11.09
1344,11.05
1345,11.05
1346,11.07
1347,11.03
1348,10.98
1349,10.9
1350,10.9
1351,10.9
1352,10.88
1353,10.75
1354,10.64
1355,10.68
1356,10.49
1357,10.44
1358,10.57
1359,10.58
1360,10.62
1361,10.68
1362,10.73
1363,10.72
1364,10.68
1365,10.62
1366,10.58
1367,10.58
1368,10.53
1369,10.57
1370,10.6
1371,10.58
1372,10.7
1373,10.6
1374,10.47
1375,10.45
1376,10.47
1377,10.47
1378,10.45
1379,10.42
1380,10.44
1381,10.44
1382,10.45
1383,10.55
1384,10.58
1385,10.62
1386,10.57
1387,10.55
1388,10.62
1389,10.58
1390,10.57
1391,10.58
1392,10.49
1393,10.53
1394,10.49
1395,10.58
1396,10.72
1397,10.75
1398,10.77
1399,10.79
1400,10.79
1401,10.86
1402,11.01
1403,11.14
1404,11.13
1405,11.2
1406,11.05
1407,11.03
1408,10.94
1409,10.88
1410,10.85
1411,10.83
1412,10.88
1413,10.9
1414,10.9
1415,10.94
1416,11.07
1417,11.16
1418,11.14
1419,11.13
1420,11.09
1421,11.09
1422,11.05
1423,10.98
1424,10.9
1425,10.86
1426,10.77
1427,10.75
1428,10.75
1429,10.83
1430,10.85
1431,10.94
1432,10.94
1433,11.03
1434,10.94
1435,10.88
1436,10.75
1437,10.73
1438,10.64
1439,10.68
1440,10.73
1441,10.88
1442,10.85
1443,10.98
1444,11.14
1445,11.13
1446,11.13
1447,11.13
1448,11.13
1449,11.16
1450,11.05
1451,11.13
1452,11.18
1453,11.14
1454,11.14
1455,11.16
1456,11.2
1457,11.31
1458,11.39
1459,11.37
1460,11.39
1461,11.35
1462,11.37
1463,11.27
1464,11.18
1465,11.14
1466,11.13
1467,11.03
1468,11.03
1469,11.03
1470,10.99
1471,11.09
1472,11.14
1473,11.18
1474,11.09
1475,11.09
1476,11.05
1477,11.01
1478,11.01
1479,11.03
1480,11.05
1481,11.03
1482,11.05
1483,11.05
1484,10.94
1485,10.99
1486,11.05
1487,10.98
1488,11.03
1489,11.09
1490,11.13
1491,11.05
1492,11.07
1493,11.03
1494,10.99
1495,11.03
1496,10.94
1497,10.92
