row_index,WGEN.Spd.InstMag_Max.i
1,10.03
2,9.99
3,10.04
4,9.99
5,10.01
6,10.03
7,9.97
8,10.01
9,10.03
10,9.99
11,10.04
12,9.95
13,10.01
14,10.04
15,9.99
16,10.04
17,10.04
18,10.01
19,10.03
20,9.93
21,10.01
22,10.08
23,10.04
24,10.03
25,9.99
26,10.03
27,10.04
28,10.01
29,10.03
30,10.03
31,9.95
32,10.03
33,9.98
34,10.04
35,10.03
36,9.99
37,9.99
38,10.03
39,10.03
40,10.06
41,10.03
42,10.04
43,10.04
44,10.1
45,10.01
46,9.99
47,10.03
48,10.01
49,10.03
50,10.08
51,10.08
52,10.03
53,10.03
54,9.99
55,9.99
56,10.03
57,10.01
58,10.06
59,10.08
60,10.01
61,9.98
62,10.06
63,10.1
64,10.01
65,10.08
66,10.1
67,10.18
68,10.25
69,10.29
70,10.44
71,10.44
72,10.55
73,10.57
74,10.63
75,10.72
76,10.73
77,10.76
78,10.71
79,10.76
80,10.75
81,10.79
82,10.83
83,10.79
84,10.86
85,10.79
86,10.9
87,10.9
88,10.94
89,10.95
90,11.04
91,10.99
92,11.09
93,11.07
94,11.07
95,11.07
96,11.09
97,11.07
98,11.16
99,11.14
100,11.09
101,11.09
102,11.09
103,11.05
104,11.09
105,11.13
106,11.2
107,11.16
108,11.13
109,11.07
110,11.02
111,11.0
112,10.99
113,10.83
114,10.88
115,10.92
116,10.95
117,10.98
118,10.94
119,10.93
120,10.85
121,10.83
122,10.78
123,10.75
124,10.74
125,10.7
126,10.68
127,10.74
128,10.7
129,10.68
130,10.64
131,10.57
132,10.63
133,10.59
134,10.49
135,10.47
136,10.45
137,10.49
138,10.45
139,10.44
140,10.4
141,10.31
142,10.35
143,10.32
144,10.34
145,10.38
146,10.42
147,10.35
148,10.4
149,10.4
150,10.44
151,10.42
152,10.35
153,10.27
154,10.33
155,10.31
156,10.33
157,10.28
158,10.22
159,10.12
160,10.08
161,10.15
162,10.12
163,10.17
164,10.31
165,10.37
166,10.42
167,10.47
168,10.57
169,10.55
170,10.62
171,10.73
172,10.7
173,10.74
174,10.69
175,10.68
176,10.68
177,10.66
178,10.58
179,10.59
180,10.53
181,10.44
182,10.44
183,10.38
184,10.38
185,10.32
186,10.31
187,10.27
188,10.31
189,10.38
190,10.42
191,10.42
192,10.47
193,10.53
194,10.59
195,10.63
196,10.72
197,10.8
198,10.86
199,10.86
200,10.98
201,11.01
202,11.13
203,11.16
204,11.16
205,11.22
206,11.22
207,11.2
208,11.27
209,11.29
210,11.27
211,11.27
212,11.24
213,11.22
214,11.22
215,11.21
216,11.2
217,11.22
218,11.26
219,11.26
220,11.27
221,11.27
222,11.29
223,11.26
224,11.21
225,11.2
226,11.16
227,11.21
228,11.17
229,11.14
230,11.16
231,11.13
232,11.09
233,11.1
234,11.12
235,11.13
236,11.07
237,11.09
238,11.13
239,11.13
240,11.16
241,11.14
242,11.13
243,11.09
244,11.09
245,11.16
246,11.1
247,11.07
248,11.2
249,11.16
250,11.17
251,11.2
252,11.2
253,11.16
254,11.13
255,11.16
256,11.13
257,11.21
258,11.22
259,11.22
260,11.19
261,11.13
262,11.09
263,11.07
264,11.07
265,11.09
266,11.07
267,11.01
268,11.04
269,11.07
270,11.09
271,11.09
272,11.09
273,11.05
274,11.05
275,11.09
276,11.09
277,11.1
278,11.13
279,11.19
280,11.24
281,11.31
282,11.46
283,11.59
284,11.58
285,11.59
286,11.63
287,11.62
288,11.65
289,11.72
290,11.68
291,11.72
292,11.76
293,11.68
294,11.74
295,11.72
296,11.77
297,11.78
298,11.84
299,11.78
300,11.8
301,11.78
302,11.78
303,11.78
304,11.79
305,11.8
306,11.86
307,11.82
308,11.87
309,11.82
310,11.86
311,11.95
312,11.96
313,12.01
314,12.02
315,12.11
316,12.13
317,12.13
318,12.2
319,12.16
320,12.21
321,12.15
322,12.23
323,12.26
324,12.23
325,12.11
326,11.96
327,11.8
328,11.6
329,11.53
330,11.59
331,11.65
332,11.68
333,11.68
334,11.68
335,11.65
336,11.68
337,11.68
338,11.65
339,11.72
340,11.68
341,11.67
342,11.67
343,11.74
344,11.67
345,11.68
346,11.67
347,11.62
348,11.5
349,11.48
350,11.5
351,11.39
352,11.33
353,11.24
354,11.22
355,11.18
356,11.1
357,11.1
358,11.16
359,11.09
360,11.07
361,11.05
362,11.01
363,11.0
364,10.99
365,10.95
366,10.98
367,10.92
368,10.93
369,10.95
370,10.92
371,10.8
372,10.9
373,10.88
374,10.92
375,10.88
376,10.9
377,10.85
378,10.86
379,10.8
380,10.74
381,10.73
382,10.68
383,10.64
384,10.6
385,10.64
386,10.57
387,10.49
388,10.45
389,10.44
390,10.38
391,10.35
392,10.37
393,10.32
394,10.38
395,10.34
396,10.4
397,10.39
398,10.37
399,10.33
400,10.31
401,10.31
402,10.27
403,10.17
404,10.14
405,10.18
406,10.12
407,10.16
408,10.17
409,10.3
410,10.29
411,10.37
412,10.42
413,10.53
414,10.39
415,10.39
416,10.4
417,10.44
418,10.49
419,10.44
420,10.44
421,10.42
422,10.42
423,10.55
424,10.7
425,10.69
426,10.76
427,10.77
428,10.83
429,10.81
430,10.76
431,10.79
432,10.73
433,10.72
434,10.6
435,10.61
436,10.57
437,10.58
438,10.47
439,10.44
440,10.51
441,10.44
442,10.47
443,10.42
444,10.42
445,10.4
446,10.34
447,10.33
448,10.38
449,10.45
450,10.45
451,10.42
452,10.42
453,10.42
454,10.42
455,10.42
456,10.44
457,10.47
458,10.55
459,10.6
460,10.6
461,10.68
462,10.71
463,10.71
464,10.74
465,10.73
466,10.79
467,10.95
468,11.01
469,11.13
470,11.22
471,11.22
472,11.16
473,11.17
474,11.18
475,11.26
476,11.27
477,11.39
478,11.42
479,11.39
480,11.16
481,11.03
482,10.88
483,10.76
484,10.63
485,10.45
486,10.47
487,10.47
488,10.61
489,10.73
490,10.8
491,10.78
492,10.86
493,10.86
494,10.9
495,10.88
496,10.93
497,10.93
498,10.86
499,10.86
500,10.78
501,10.72
502,10.73
503,10.83
504,10.75
505,10.8
506,10.85
507,10.88
508,10.92
509,10.86
510,10.9
511,10.9
512,10.9
513,10.95
514,10.93
515,10.95
516,10.99
517,11.07
518,11.09
519,11.17
520,11.16
521,11.22
522,11.31
523,11.33
524,11.33
525,11.39
526,11.39
527,11.29
528,11.22
529,11.18
530,11.09
531,11.05
532,10.99
533,11.02
534,11.02
535,10.99
536,11.01
537,10.99
538,10.95
539,11.02
540,11.03
541,11.02
542,11.05
543,11.05
544,11.13
545,11.09
546,11.22
547,11.37
548,11.5
549,11.6
550,11.65
551,11.63
552,11.61
553,11.67
554,11.79
555,11.76
556,11.84
557,11.89
558,11.98
559,11.91
560,11.89
561,11.89
562,11.95
563,12.06
564,12.17
565,12.24
566,12.28
567,12.33
568,12.32
569,12.28
570,12.25
571,12.2
572,12.17
573,12.18
574,12.18
575,12.09
576,12.15
577,12.08
578,12.08
579,12.19
580,12.27
581,12.37
582,12.43
583,12.43
584,12.49
585,12.52
586,12.51
587,12.47
588,12.42
589,12.44
590,12.39
591,12.36
592,12.36
593,12.28
594,12.43
595,12.49
596,12.56
597,12.56
598,12.54
599,12.49
600,12.51
601,12.49
602,12.51
603,12.49
604,12.41
605,12.43
606,12.4
607,12.49
608,12.51
609,12.47
610,12.42
611,12.39
612,12.39
613,12.49
614,12.52
615,12.54
616,12.54
617,12.51
618,12.49
619,12.4
620,12.39
621,12.36
622,12.34
623,12.26
624,12.24
625,12.23
626,12.2
627,12.11
628,12.09
629,12.15
630,12.09
631,12.11
632,12.09
633,12.09
634,12.03
635,12.15
636,12.17
637,12.13
638,12.13
639,12.11
640,12.13
641,12.09
642,12.09
643,12.15
644,12.13
645,12.17
646,12.09
647,11.96
648,11.94
649,11.89
650,11.84
651,11.83
652,11.8
653,11.79
654,11.78
655,11.67
656,11.67
657,11.65
658,11.68
659,11.68
660,11.7
661,11.72
662,11.67
663,11.63
664,11.65
665,11.65
666,11.63
667,11.57
668,11.57
669,11.57
670,11.59
671,11.74
672,11.8
673,11.86
674,11.87
675,11.86
676,11.86
677,11.87
678,11.84
679,11.75
680,11.65
681,11.68
682,11.76
683,11.68
684,11.65
685,11.65
686,11.74
687,11.86
688,12.04
689,12.13
690,12.17
