row_index,WGDC.TrfGen.PPV.phsAB.InstCVal.mag.f
1,363.53
2,363.04
3,363.53
4,363.53
5,365.73
6,365.73
7,365.73
8,365.73
9,365.73
10,365.48
11,365.73
12,365.48
13,365.97
14,365.73
15,365.97
16,365.97
17,365.97
18,365.73
19,365.73
20,365.73
21,365.73
22,366.22
23,365.73
24,365.73
25,366.22
26,365.97
27,365.73
28,365.73
29,365.48
30,365.97
31,365.97
32,365.73
33,365.73
34,365.73
35,365.73
36,365.48
37,365.73
38,365.73
39,365.73
40,365.97
41,365.73
42,365.73
43,365.73
44,365.73
45,365.97
46,365.97
47,365.97
48,365.97
49,365.97
50,366.46
51,366.22
52,366.22
53,366.46
54,366.46
55,366.46
56,366.46
57,366.46
58,366.22
59,366.71
60,366.46
61,366.22
62,366.71
63,366.46
64,366.46
65,366.22
66,366.22
67,366.22
68,366.46
69,366.46
70,366.22
71,366.22
72,366.22
73,365.97
74,366.22
75,365.97
76,365.73
77,365.97
78,366.22
79,366.46
80,366.22
81,365.73
82,366.22
83,366.46
84,366.46
85,366.22
86,366.46
87,365.97
88,366.22
89,366.22
90,366.22
91,366.46
92,366.71
93,366.22
94,366.46
95,366.46
96,366.22
97,366.46
98,366.95
99,365.97
100,366.95
101,366.46
102,366.46
103,366.22
104,366.46
105,366.71
106,366.71
107,366.71
108,366.46
109,366.71
110,366.71
111,366.71
112,366.71
113,366.46
114,366.95
115,367.44
116,366.71
117,366.71
118,366.95
119,366.71
120,366.22
121,366.46
122,365.73
123,365.97
124,366.22
125,365.97
126,366.22
127,366.22
128,366.71
129,366.46
130,366.46
131,366.46
132,366.46
133,366.46
134,366.22
135,366.22
136,365.97
137,365.97
138,366.22
139,366.46
140,366.22
141,366.46
142,366.46
143,366.22
144,366.22
145,366.46
146,366.46
147,366.22
148,366.22
149,366.22
150,366.46
151,366.46
152,366.46
153,365.97
154,366.71
155,366.22
156,366.22
157,365.97
158,365.97
159,366.46
160,366.22
161,366.22
162,365.97
163,366.22
164,365.97
165,366.22
166,366.22
167,366.46
168,366.22
169,366.22
170,366.22
171,366.22
172,365.48
173,364.51
174,364.02
175,363.78
176,364.02
177,364.02
178,364.02
179,364.26
180,364.02
181,363.78
182,363.78
183,364.02
184,364.02
185,363.53
186,363.78
187,363.53
188,364.02
189,363.78
190,363.78
191,363.53
192,363.53
193,363.78
194,364.02
195,363.78
196,363.53
197,364.02
198,364.26
199,363.53
200,363.78
201,363.78
202,364.02
203,364.02
204,364.26
205,363.78
206,364.02
207,364.02
208,364.02
209,364.51
210,363.53
211,363.78
212,363.78
213,364.02
214,365.73
215,365.97
216,365.73
217,366.22
218,365.97
219,365.73
220,365.73
221,365.97
222,365.97
223,365.48
224,365.97
225,365.97
226,365.73
227,365.97
228,365.73
229,365.48
230,365.48
231,365.97
232,365.97
233,365.97
234,365.73
235,365.73
236,365.48
237,365.48
238,365.73
239,365.73
240,365.73
241,365.97
242,365.73
243,365.73
244,365.97
245,365.73
246,365.73
247,365.97
248,365.73
249,365.73
250,365.73
251,365.97
252,365.73
253,365.0
254,365.73
255,365.73
256,365.48
257,365.48
258,365.97
259,365.73
260,365.48
261,365.73
262,365.48
263,365.48
264,365.48
265,365.73
266,365.73
267,365.73
268,365.97
269,365.73
270,365.97
271,365.73
272,365.73
273,365.97
274,366.22
275,365.73
276,365.73
277,365.73
278,365.73
279,365.73
280,365.73
281,365.48
282,365.73
283,365.73
284,365.97
285,365.73
286,365.97
287,365.48
288,365.48
289,365.0
290,365.97
291,365.73
292,365.97
293,365.97
294,365.97
295,365.97
296,365.73
297,365.73
298,365.73
299,365.48
300,366.22
301,365.97
302,365.97
303,365.97
304,365.48
305,365.48
306,365.73
307,365.97
308,365.73
309,365.73
310,365.73
311,365.73
312,365.73
313,365.48
314,365.97
315,365.73
316,365.97
317,365.48
318,365.73
319,365.73
320,365.97
321,365.73
322,365.97
323,365.48
324,365.73
325,365.97
326,365.97
327,365.97
328,365.97
329,365.48
330,366.46
331,365.73
332,365.97
333,365.97
334,365.97
335,365.73
336,365.48
337,365.48
338,365.48
339,365.48
340,365.73
341,365.73
342,365.48
343,365.48
344,365.48
345,365.73
346,365.97
347,365.97
348,365.73
349,362.31
350,362.31
351,362.07
352,361.82
353,362.07
354,362.07
355,362.07
356,361.82
357,362.07
358,362.07
359,362.07
360,362.07
361,362.07
362,361.82
363,361.58
364,361.82
365,361.58
366,361.58
367,361.82
368,362.31
369,362.31
370,361.82
371,362.07
372,361.58
373,362.07
374,361.82
375,361.82
376,362.07
377,362.07
378,361.82
379,361.82
380,361.58
381,361.58
382,365.0
383,364.75
384,365.48
385,365.48
386,364.75
387,364.51
388,364.51
389,364.75
390,364.51
391,365.0
392,365.0
393,364.51
394,365.0
395,365.0
396,364.75
397,365.48
398,364.51
399,364.75
400,364.75
401,364.75
402,364.75
403,365.0
404,364.75
405,364.26
406,364.51
407,364.75
408,364.75
409,364.26
410,364.75
411,364.75
412,364.51
413,365.0
414,364.51
415,364.51
416,365.48
417,365.0
418,365.48
419,365.0
420,365.73
421,365.48
422,364.51
423,364.75
424,365.0
425,365.48
426,365.0
427,365.73
428,365.48
429,365.48
430,365.0
431,365.48
432,365.0
433,365.0
434,365.0
435,364.75
436,365.0
437,365.0
438,364.75
439,365.0
440,365.0
441,364.75
442,365.48
443,365.0
444,365.0
445,365.48
446,365.48
447,365.48
448,365.0
449,365.0
450,365.0
451,365.48
452,365.73
453,365.0
454,365.0
455,365.0
456,364.51
457,365.73
458,365.0
459,364.75
460,365.0
461,365.48
462,365.0
463,365.0
464,365.48
465,365.0
466,365.0
467,365.0
468,365.48
469,365.48
470,365.0
471,365.48
472,365.0
473,365.0
474,365.48
475,364.75
476,365.0
477,365.48
478,365.48
479,364.75
480,365.73
481,365.73
482,365.48
483,365.48
484,365.48
485,365.0
486,365.48
487,365.48
488,365.73
489,365.73
490,365.73
491,365.97
492,365.73
493,365.73
494,365.73
495,365.73
496,365.48
497,365.73
498,365.48
499,365.73
500,365.73
501,365.97
502,365.48
503,365.97
504,365.48
505,365.48
506,365.48
507,365.48
508,365.48
509,365.48
510,365.0
511,365.73
512,365.73
513,365.48
514,365.48
515,365.73
516,365.48
517,365.73
518,365.73
519,364.75
520,365.0
521,365.48
522,365.48
523,365.48
524,365.73
525,365.0
526,365.48
527,365.48
528,365.97
529,365.73
530,365.73
531,365.97
532,365.73
533,365.73
534,365.97
535,365.97
536,365.73
537,365.48
538,365.48
539,365.73
540,365.48
541,365.73
542,365.48
543,365.48
544,365.73
545,365.73
546,365.48
547,366.22
548,365.97
549,365.97
550,365.97
551,365.73
552,365.73
553,365.73
554,365.73
555,365.73
556,365.73
557,365.73
558,365.73
559,365.97
560,365.73
561,365.73
562,365.73
563,365.97
564,365.97
565,366.22
566,366.22
567,366.22
568,365.97
569,365.73
570,365.48
571,365.0
572,365.97
573,366.22
574,365.97
575,365.97
576,366.22
577,365.97
578,365.73
579,365.97
580,365.97
581,365.73
582,365.97
583,365.73
584,365.73
585,365.73
586,365.73
587,365.73
588,365.97
589,365.73
590,365.48
591,365.48
592,365.97
593,365.73
594,366.22
595,365.73
596,365.97
597,365.97
598,366.22
599,366.22
600,366.22
601,363.78
602,363.53
603,363.53
604,363.04
605,365.48
606,365.73
607,365.97
608,365.48
609,365.48
610,365.97
611,365.73
612,366.22
613,365.97
614,366.22
615,366.22
616,366.46
617,366.46
618,364.02
619,363.78
620,363.53
621,363.53
622,363.04
623,363.53
624,363.53
625,363.04
626,363.53
627,362.8
628,362.8
629,363.04
630,365.73
631,365.48
632,365.48
633,365.97
634,365.73
635,365.97
636,366.46
637,365.97
638,366.46
639,365.97
640,366.22
641,365.48
642,366.22
643,366.22
644,365.97
645,366.46
646,366.46
647,366.22
648,365.97
649,366.22
650,366.22
651,365.97
652,365.97
653,366.22
654,365.97
655,366.22
656,365.97
657,366.22
658,366.22
659,365.97
660,365.97
661,365.97
662,365.73
663,365.73
664,365.73
665,365.73
666,365.97
667,365.73
668,365.97
669,365.73
670,365.97
671,365.97
672,365.97
673,365.97
674,365.73
675,365.97
676,366.46
677,365.97
678,366.22
679,365.97
680,365.97
681,365.97
682,365.97
683,365.97
684,365.73
685,366.22
686,365.97
687,365.97
688,365.97
689,365.73
690,365.97
691,365.97
692,366.22
693,366.22
694,366.22
695,365.97
696,365.97
697,366.22
698,365.97
699,366.22
700,365.97
701,365.97
702,366.22
703,365.97
704,366.22
705,366.46
706,365.73
707,365.97
708,365.73
709,365.97
710,365.97
711,366.22
712,365.97
713,365.97
714,366.22
715,365.97
716,366.22
717,366.22
718,366.46
719,366.22
720,365.97
721,366.22
722,366.22
723,365.97
724,366.22
725,365.97
726,365.97
727,365.97
728,366.22
729,366.22
730,366.22
731,366.22
732,366.71
733,366.46
734,366.46
735,366.46
736,366.22
737,366.22
738,366.22
739,365.97
740,366.22
741,366.22
742,365.97
743,366.46
744,366.46
745,365.97
746,366.22
747,366.22
748,366.22
749,366.46
750,366.22
751,365.97
752,366.22
753,366.46
754,365.73
755,366.46
756,366.22
757,365.97
758,366.22
759,366.22
760,366.22
761,366.22
762,366.22
763,366.22
764,366.46
765,366.46
766,366.46
767,366.46
768,366.95
769,366.95
770,366.46
771,366.71
772,366.22
773,366.22
774,366.95
775,366.22
776,366.46
777,366.95
778,366.71
779,366.46
780,366.22
781,366.71
782,366.71
783,365.97
784,366.22
785,366.46
786,366.46
787,366.46
788,366.46
789,366.46
790,366.46
791,366.46
792,366.46
793,366.71
794,366.95
795,366.71
796,366.95
797,366.71
798,366.46
799,366.71
800,366.71
801,366.46
802,366.95
803,367.44
804,366.71
805,366.95
806,366.71
807,366.71
808,366.95
809,366.95
810,366.71
811,366.95
812,366.71
813,366.95
814,366.95
815,366.95
816,366.95
817,366.71
818,366.95
819,366.46
820,366.71
821,366.95
822,366.71
823,366.95
824,366.71
825,366.71
826,366.95
827,366.71
828,366.95
829,366.95
830,366.71
831,366.95
832,366.71
833,366.71
834,366.71
835,366.71
836,366.71
837,366.95
838,366.71
839,367.44
840,366.71
841,366.71
842,366.95
843,366.46
844,366.46
845,366.46
846,366.22
847,366.22
848,366.22
849,366.46
850,365.97
851,366.71
852,366.46
853,366.71
854,366.22
855,366.22
856,366.71
857,366.46
858,366.71
859,366.46
860,366.46
861,366.46
862,366.22
863,366.22
864,366.46
865,366.46
866,366.46
867,366.95
868,366.22
869,366.46
870,366.22
871,366.22
872,366.22
873,366.71
874,366.22
875,366.46
876,366.71
877,366.22
878,366.22
879,366.46
880,366.46
881,365.97
882,366.46
883,366.46
884,366.22
885,366.46
886,366.46
887,366.46
888,366.22
889,366.22
890,365.97
891,366.46
892,366.71
893,366.71
894,366.71
895,366.46
896,366.71
897,366.46
898,366.22
899,366.46
900,366.71
901,366.71
902,366.22
903,366.46
904,366.46
905,366.46
906,366.71
907,366.46
908,366.46
909,366.22
910,366.22
911,366.46
912,365.97
913,366.22
914,366.22
915,366.46
916,366.71
917,366.46
918,366.95
919,366.71
920,366.71
921,366.71
922,366.71
923,366.46
924,366.71
925,366.22
926,366.71
927,366.46
928,366.46
929,366.22
930,366.46
931,366.95
932,366.46
933,366.71
934,366.46
935,366.22
936,366.22
937,366.22
938,366.46
939,366.46
940,365.73
941,365.97
942,365.97
943,365.97
944,365.97
945,366.22
946,365.97
947,366.22
948,366.22
949,365.97
950,366.71
951,366.71
952,366.46
953,366.46
954,366.71
955,366.46
956,366.22
957,366.22
958,366.46
959,366.22
960,366.22
961,366.22
962,366.71
963,366.46
964,365.97
965,366.22
966,366.71
967,366.22
968,366.22
969,366.22
970,366.46
971,366.22
972,366.22
973,366.22
974,366.46
975,366.46
976,366.22
977,366.22
978,366.22
979,366.46
980,366.22
981,366.22
982,366.22
983,366.22
984,365.97
985,365.97
986,366.46
987,365.97
988,366.22
989,366.22
990,366.22
991,366.22
992,366.22
993,366.22
994,365.97
995,365.97
996,365.73
997,365.48
998,366.22
999,365.73
1000,365.48
1001,365.97
1002,365.97
1003,365.97
1004,366.46
1005,366.22
1006,366.71
1007,366.22
1008,366.46
1009,366.46
1010,366.46
1011,365.73
1012,365.97
1013,365.97
1014,365.97
1015,366.22
1016,366.22
1017,365.97
1018,365.97
1019,365.97
1020,365.97
1021,366.22
1022,366.22
1023,365.97
1024,365.73
1025,366.46
1026,366.46
1027,366.46
1028,366.22
1029,366.46
1030,366.71
1031,366.71
1032,366.71
1033,363.53
1034,363.53
1035,362.55
1036,362.55
1037,363.04
1038,363.04
1039,362.8
1040,363.04
1041,362.55
1042,362.8
1043,362.31
1044,362.8
1045,362.8
1046,363.04
1047,363.04
1048,363.53
