row_index,WGDC.TrfGen.PPV.phsBC.InstCVal.mag.f
1,360.85
2,360.85
3,361.33
4,360.85
5,363.29
6,363.78
7,363.53
8,363.29
9,363.53
10,362.8
11,363.29
12,363.29
13,363.53
14,362.8
15,363.53
16,363.29
17,363.29
18,363.53
19,363.29
20,362.8
21,363.53
22,363.29
23,363.29
24,363.53
25,363.53
26,363.78
27,363.29
28,363.29
29,362.55
30,363.29
31,363.29
32,363.29
33,363.29
34,363.53
35,363.29
36,363.29
37,363.53
38,363.53
39,363.29
40,363.29
41,363.29
42,363.53
43,362.8
44,363.29
45,363.53
46,363.53
47,363.53
48,363.78
49,363.53
50,364.26
51,364.02
52,364.26
53,364.02
54,364.51
55,364.26
56,364.02
57,364.02
58,364.26
59,364.02
60,364.02
61,364.02
62,364.02
63,364.02
64,364.02
65,364.26
66,363.53
67,364.02
68,363.78
69,364.02
70,363.78
71,363.53
72,363.53
73,363.53
74,363.78
75,363.53
76,363.53
77,363.53
78,363.78
79,363.78
80,364.02
81,363.53
82,364.02
83,364.02
84,364.02
85,363.78
86,364.02
87,363.78
88,363.78
89,363.53
90,364.02
91,364.02
92,364.26
93,364.02
94,364.02
95,364.26
96,363.78
97,364.02
98,364.02
99,364.26
100,364.26
101,364.02
102,364.26
103,363.78
104,364.02
105,364.26
106,364.51
107,364.26
108,364.51
109,364.26
110,364.51
111,364.26
112,364.26
113,364.51
114,364.26
115,364.75
116,364.51
117,364.26
118,364.51
119,364.26
120,364.26
121,364.02
122,363.53
123,363.78
124,363.78
125,363.78
126,363.78
127,364.02
128,364.26
129,364.51
130,364.02
131,363.78
132,363.78
133,364.02
134,364.02
135,364.02
136,364.02
137,364.26
138,363.78
139,364.02
140,363.78
141,364.02
142,363.78
143,364.26
144,364.02
145,363.78
146,363.78
147,364.26
148,364.26
149,364.02
150,364.26
151,364.02
152,364.02
153,364.26
154,363.78
155,363.78
156,363.78
157,363.78
158,364.02
159,364.02
160,363.53
161,363.78
162,363.78
163,364.02
164,363.78
165,363.78
166,363.78
167,364.26
168,364.02
169,364.02
170,363.78
171,364.02
172,362.8
173,361.33
174,361.82
175,361.58
176,361.58
177,361.58
178,361.58
179,361.58
180,361.82
181,361.58
182,361.33
183,361.33
184,361.82
185,361.58
186,361.82
187,361.58
188,361.58
189,361.58
190,361.33
191,361.33
192,361.58
193,361.33
194,361.33
195,361.33
196,360.85
197,361.58
198,361.58
199,361.58
200,361.82
201,361.58
202,361.58
203,361.58
204,361.82
205,361.58
206,361.82
207,361.58
208,361.33
209,361.82
210,361.33
211,360.85
212,361.33
213,361.58
214,363.29
215,363.53
216,363.29
217,363.53
218,363.53
219,363.78
220,363.53
221,363.29
222,363.53
223,363.53
224,363.53
225,363.29
226,363.53
227,363.29
228,363.29
229,362.8
230,363.29
231,363.53
232,363.53
233,363.53
234,363.53
235,363.29
236,362.8
237,362.8
238,363.78
239,363.53
240,363.53
241,363.53
242,363.29
243,363.53
244,362.8
245,363.53
246,363.53
247,363.53
248,363.53
249,363.53
250,363.53
251,363.53
252,363.29
253,363.29
254,363.29
255,363.29
256,363.29
257,363.29
258,363.53
259,363.53
260,363.29
261,363.53
262,362.8
263,362.55
264,362.8
265,363.53
266,363.29
267,363.29
268,363.29
269,363.53
270,363.78
271,363.53
272,363.53
273,363.78
274,363.53
275,363.53
276,362.8
277,363.29
278,362.8
279,363.53
280,363.53
281,363.29
282,363.29
283,363.29
284,362.8
285,363.53
286,363.29
287,362.8
288,362.8
289,362.8
290,363.53
291,363.29
292,363.29
293,363.53
294,363.29
295,363.29
296,362.55
297,363.53
298,362.8
299,363.29
300,363.53
301,363.78
302,363.78
303,363.53
304,363.53
305,363.29
306,363.78
307,363.53
308,363.29
309,363.53
310,363.29
311,363.53
312,363.53
313,364.02
314,363.53
315,363.53
316,363.53
317,363.29
318,363.78
319,363.29
320,363.78
321,363.53
322,363.53
323,363.53
324,363.53
325,363.53
326,364.02
327,363.53
328,363.53
329,363.29
330,363.78
331,363.53
332,363.29
333,363.53
334,363.53
335,363.53
336,363.53
337,363.29
338,362.8
339,362.8
340,362.8
341,363.53
342,363.29
343,362.8
344,363.29
345,363.53
346,363.53
347,363.29
348,363.53
349,360.11
350,359.87
351,359.38
352,359.63
353,359.63
354,359.63
355,359.38
356,359.38
357,359.38
358,359.63
359,359.63
360,359.63
361,359.38
362,359.63
363,359.38
364,359.38
365,359.38
366,359.63
367,359.38
368,359.63
369,358.89
370,359.38
371,358.89
372,359.38
373,359.38
374,359.38
375,359.87
376,359.38
377,359.63
378,359.87
379,359.63
380,358.89
381,358.89
382,362.8
383,362.8
384,362.31
385,362.55
386,362.8
387,362.55
388,362.31
389,361.82
390,362.31
391,362.55
392,362.55
393,362.55
394,362.8
395,362.8
396,362.8
397,363.29
398,362.31
399,362.31
400,362.55
401,362.55
402,362.55
403,362.55
404,362.55
405,362.55
406,362.31
407,362.31
408,362.31
409,362.55
410,362.31
411,362.07
412,362.07
413,362.55
414,362.31
415,362.55
416,362.8
417,362.55
418,362.07
419,362.8
420,362.8
421,362.55
422,362.8
423,362.55
424,362.55
425,362.8
426,362.8
427,362.8
428,363.29
429,362.8
430,362.8
431,363.29
432,362.8
433,362.55
434,362.55
435,362.55
436,362.55
437,362.31
438,362.8
439,362.55
440,362.55
441,362.55
442,362.8
443,362.8
444,362.8
445,362.31
446,362.8
447,363.29
448,363.29
449,363.29
450,362.8
451,363.29
452,363.29
453,362.8
454,362.55
455,362.55
456,362.55
457,362.8
458,362.8
459,362.31
460,363.29
461,362.55
462,362.55
463,362.55
464,362.31
465,362.8
466,362.8
467,362.55
468,362.8
469,363.29
470,362.8
471,363.29
472,363.29
473,363.29
474,362.31
475,362.8
476,362.55
477,362.55
478,362.8
479,362.55
480,363.29
481,362.8
482,362.8
483,362.8
484,363.29
485,362.55
486,362.8
487,363.29
488,362.8
489,363.29
490,363.29
491,363.78
492,363.29
493,363.29
494,363.53
495,363.78
496,363.29
497,363.29
498,363.53
499,362.8
500,363.29
501,363.29
502,363.53
503,363.78
504,363.29
505,362.8
506,363.78
507,362.55
508,362.8
509,363.29
510,362.55
511,363.29
512,362.8
513,363.29
514,362.55
515,363.29
516,363.29
517,363.29
518,362.8
519,362.55
520,362.8
521,363.29
522,362.8
523,362.55
524,362.8
525,362.8
526,363.29
527,363.53
528,363.29
529,363.53
530,362.8
531,363.53
532,363.53
533,363.78
534,363.53
535,363.53
536,363.53
537,362.8
538,362.8
539,363.29
540,362.8
541,363.29
542,362.8
543,363.29
544,362.8
545,363.53
546,362.8
547,363.29
548,363.53
549,363.78
550,363.53
551,363.29
552,363.53
553,363.53
554,363.53
555,363.29
556,363.29
557,363.53
558,363.53
559,362.8
560,363.29
561,363.53
562,363.53
563,363.29
564,363.53
565,364.02
566,363.78
567,363.78
568,363.53
569,363.29
570,363.53
571,362.8
572,363.53
573,363.53
574,363.53
575,363.29
576,363.29
577,363.53
578,363.53
579,363.78
580,363.53
581,363.78
582,363.53
583,363.29
584,362.8
585,362.8
586,363.53
587,363.29
588,363.53
589,363.29
590,363.29
591,363.29
592,363.53
593,363.29
594,362.8
595,363.29
596,363.29
597,363.29
598,363.53
599,363.29
600,363.53
601,360.85
602,360.85
603,360.85
604,360.6
605,362.8
606,363.29
607,363.78
608,363.29
609,363.29
610,363.78
611,363.78
612,364.02
613,363.78
614,363.53
615,363.53
616,363.53
617,364.02
618,361.58
619,361.33
620,360.85
621,360.85
622,360.85
623,360.85
624,361.33
625,361.33
626,360.85
627,360.6
628,360.6
629,360.85
630,362.55
631,362.55
632,363.29
633,363.29
634,364.02
635,363.78
636,364.02
637,363.29
638,364.02
639,364.02
640,363.53
641,363.53
642,363.53
643,363.29
644,364.02
645,363.78
646,363.78
647,363.53
648,363.78
649,363.29
650,363.53
651,363.78
652,363.53
653,363.78
654,363.29
655,363.78
656,363.78
657,364.02
658,364.02
659,363.78
660,363.53
661,363.53
662,363.53
663,363.53
664,363.53
665,363.53
666,363.78
667,363.53
668,363.53
669,362.8
670,363.53
671,363.53
672,364.02
673,364.02
674,363.29
675,363.53
676,363.53
677,363.53
678,363.78
679,363.53
680,363.53
681,363.53
682,363.78
683,363.78
684,363.78
685,364.02
686,363.53
687,363.53
688,363.53
689,363.29
690,363.53
691,363.78
692,363.29
693,363.78
694,363.78
695,363.53
696,363.29
697,363.29
698,363.53
699,363.53
700,363.29
701,363.53
702,363.29
703,363.78
704,363.53
705,364.02
706,363.53
707,363.29
708,363.78
709,363.53
710,364.02
711,363.78
712,364.02
713,363.78
714,363.78
715,364.02
716,363.78
717,364.02
718,363.78
719,364.02
720,363.53
721,364.02
722,363.78
723,364.02
724,363.78
725,363.78
726,364.02
727,363.78
728,363.78
729,363.29
730,363.78
731,363.78
732,364.51
733,364.26
734,363.53
735,363.78
736,364.26
737,363.78
738,364.02
739,363.78
740,364.51
741,364.02
742,363.53
743,363.53
744,364.02
745,363.78
746,363.78
747,363.78
748,363.29
749,363.29
750,363.29
751,363.53
752,364.02
753,363.53
754,363.53
755,363.78
756,364.02
757,364.02
758,363.53
759,363.78
760,364.02
761,364.02
762,363.78
763,363.78
764,364.02
765,364.02
766,364.26
767,364.02
768,364.75
769,364.51
770,364.26
771,364.26
