row_index,WGDC.TrfGen.PPV.phsCA.InstCVal.mag.f
1,363.78
2,363.78
3,363.78
4,363.78
5,366.46
6,366.46
7,365.97
8,365.73
9,365.73
10,365.48
11,365.97
12,365.73
13,365.97
14,366.46
15,366.71
16,365.97
17,366.46
18,365.97
19,365.73
20,365.97
21,365.97
22,366.95
23,366.71
24,365.97
25,366.71
26,366.71
27,366.71
28,365.97
29,366.46
30,365.97
31,365.97
32,366.46
33,365.73
34,365.97
35,365.73
36,366.46
37,365.97
38,365.73
39,365.73
40,365.73
41,365.97
42,365.97
43,366.46
44,366.46
45,366.46
46,365.97
47,366.71
48,366.46
49,366.95
50,366.95
51,366.71
52,366.95
53,366.95
54,366.95
55,367.19
56,367.19
57,367.19
58,367.19
59,367.19
60,366.95
61,367.19
62,367.19
63,366.95
64,366.71
65,367.44
66,366.95
67,366.95
68,366.95
69,366.95
70,366.71
71,366.95
72,366.71
73,366.71
74,366.71
75,366.71
76,366.71
77,365.97
78,366.71
79,366.95
80,366.71
81,366.95
82,366.71
83,366.95
84,367.19
85,366.95
86,367.19
87,366.71
88,366.95
89,366.46
90,366.71
91,366.95
92,367.19
93,367.19
94,366.95
95,367.19
96,366.95
97,367.19
98,367.68
99,367.44
100,367.19
101,367.19
102,367.44
103,366.95
104,366.95
105,367.44
106,367.44
107,367.19
108,366.95
109,367.44
110,367.44
111,367.44
112,367.44
113,367.44
114,367.44
115,367.44
116,366.95
117,367.68
118,367.44
119,367.44
120,367.19
121,367.19
122,366.95
123,366.95
124,366.71
125,366.71
126,366.95
127,366.95
128,366.95
129,367.19
130,367.19
131,366.95
132,367.19
133,367.19
134,366.95
135,366.71
136,366.95
137,366.71
138,366.95
139,367.19
140,367.19
141,366.95
142,367.19
143,366.95
144,367.44
145,366.95
146,366.95
147,366.95
148,367.19
149,366.95
150,367.44
151,367.19
152,366.71
153,366.95
154,367.19
155,366.95
156,366.71
157,366.95
158,366.71
159,366.71
160,366.95
161,366.71
162,366.71
163,366.95
164,366.71
165,366.95
166,366.71
167,367.19
168,366.95
169,366.95
170,366.95
171,366.46
172,365.97
173,365.0
174,364.75
175,365.0
176,364.26
177,364.26
178,364.26
179,364.75
180,364.02
181,364.02
182,364.26
183,365.0
184,364.26
185,364.02
186,363.78
187,364.26
188,364.26
189,364.02
190,364.26
191,364.02
192,363.78
193,364.02
194,364.26
195,364.02
196,364.26
197,364.26
198,363.53
199,363.78
200,363.78
201,364.26
202,364.02
203,364.75
204,365.0
205,364.26
206,364.26
207,364.26
208,364.26
209,364.75
210,364.26
211,364.02
212,364.26
213,364.75
214,366.71
215,366.46
216,366.71
217,366.71
218,366.95
219,366.71
220,366.71
221,366.46
222,366.95
