row_index,WGDC.TrfGen.A.PhsA.InstCVal.mag.f
1,167.43
2,168.75
3,168.75
4,167.43
5,163.48
6,167.43
7,163.48
8,163.48
9,160.84
10,162.16
11,162.16
12,162.16
13,159.52
14,160.84
15,160.84
16,159.52
17,158.2
18,159.52
19,158.2
20,154.25
21,158.2
22,154.25
23,152.93
24,151.61
25,150.29
26,147.66
27,148.97
28,150.29
29,150.29
30,150.29
31,148.97
32,147.66
33,147.66
34,146.34
35,146.34
36,145.02
37,142.38
38,142.38
39,145.02
40,142.38
41,141.06
42,141.06
43,142.38
44,145.02
45,148.97
46,148.97
47,145.02
48,142.38
49,147.66
50,148.97
51,151.61
52,154.25
53,154.25
54,151.61
55,152.93
56,158.2
57,163.48
58,164.79
59,163.48
60,164.79
61,167.43
62,174.02
63,175.34
64,174.02
65,175.34
66,179.3
67,180.62
68,184.57
69,187.21
70,193.8
71,193.8
72,199.07
73,204.35
74,208.3
75,209.62
76,213.58
77,214.89
78,214.89
79,214.89
80,216.21
81,218.85
82,220.17
83,218.85
84,217.53
85,222.8
86,224.12
87,225.44
88,228.08
89,229.4
90,232.03
91,234.67
92,235.99
93,235.99
94,237.31
95,235.99
96,235.99
97,237.31
98,237.31
99,238.63
100,238.63
101,237.31
102,235.99
103,234.67
104,237.31
105,237.31
106,242.58
107,242.58
108,241.26
109,238.63
110,234.67
111,228.08
112,225.44
113,222.8
114,222.8
115,222.8
116,226.76
117,228.08
118,229.4
119,226.76
120,222.8
121,220.17
122,217.53
123,216.21
124,214.89
125,213.58
126,213.58
127,209.62
128,213.58
129,209.62
130,206.98
131,205.67
132,206.98
133,203.03
134,203.03
135,199.07
136,196.44
137,197.75
138,196.44
139,195.12
140,193.8
141,191.16
142,192.48
143,191.16
144,191.16
145,191.16
146,193.8
147,193.8
148,193.8
149,195.12
150,195.12
151,191.16
152,187.21
153,185.89
154,189.84
155,191.16
156,192.48
157,185.89
158,183.25
159,183.25
160,180.62
161,181.93
162,180.62
163,183.25
164,185.89
165,192.48
166,193.8
167,199.07
168,201.71
169,203.03
170,205.67
171,213.58
172,214.89
173,213.58
174,213.58
175,208.3
176,209.62
177,208.3
178,206.98
179,204.35
180,201.71
181,199.07
182,196.44
183,193.8
184,192.48
185,189.84
186,191.16
187,191.16
188,192.48
189,193.8
190,195.12
191,197.75
192,199.07
193,203.03
194,206.98
195,208.3
196,214.89
197,217.53
198,224.12
199,226.76
200,230.71
201,235.99
202,242.58
203,247.85
204,249.17
205,250.49
206,249.17
207,250.49
208,251.81
209,253.13
210,253.13
211,257.08
212,249.17
213,246.54
214,246.54
215,245.22
216,246.54
217,247.85
218,250.49
219,249.17
220,253.13
221,250.49
222,250.49
223,251.81
224,249.17
225,249.17
226,246.54
227,245.22
228,246.54
229,245.22
230,242.58
231,241.26
232,241.26
233,241.26
234,241.26
235,239.94
236,232.03
237,241.26
238,238.63
239,241.26
240,245.22
241,242.58
242,241.26
243,239.94
244,241.26
245,237.31
246,238.63
247,241.26
248,242.58
249,242.58
250,245.22
251,245.22
252,242.58
253,241.26
254,241.26
255,239.94
256,242.58
257,246.54
258,246.54
259,246.54
260,242.58
261,241.26
262,241.26
263,237.31
264,235.99
265,235.99
266,235.99
267,235.99
268,235.99
