row_index,WGDC.TrfGen.A.PhsB.InstCVal.mag.f
1,158.2
2,159.52
3,162.16
4,158.2
5,154.25
6,155.57
7,155.57
8,155.57
9,152.93
10,154.25
11,152.93
12,151.61
13,152.93
14,154.25
15,152.93
16,150.29
17,150.29
18,150.29
19,150.29
20,145.02
21,148.97
22,147.66
23,143.7
24,143.7
25,141.06
26,141.06
27,139.75
28,142.38
29,142.38
30,141.06
31,141.06
32,139.75
33,139.75
34,137.11
35,137.11
36,137.11
37,133.15
38,133.15
39,137.11
40,134.47
41,134.47
42,133.15
43,134.47
44,134.47
45,138.43
46,141.06
47,137.11
48,134.47
49,138.43
50,139.75
51,143.7
52,143.7
53,145.02
54,145.02
55,145.02
56,148.97
57,152.93
58,159.52
59,158.2
60,158.2
61,160.84
62,168.75
63,166.11
64,166.11
65,168.75
66,170.07
67,172.71
68,175.34
69,180.62
70,184.57
71,185.89
72,191.16
73,196.44
74,200.39
75,203.03
76,205.67
77,208.3
78,208.3
79,206.98
80,206.98
81,212.26
82,212.26
83,210.94
84,212.26
85,214.89
86,216.21
87,217.53
88,222.8
89,224.12
90,224.12
91,228.08
92,230.71
93,232.03
94,232.03
95,228.08
96,232.03
97,234.67
98,230.71
99,233.35
100,230.71
101,230.71
102,228.08
103,230.71
104,232.03
105,232.03
106,237.31
107,235.99
108,234.67
109,232.03
110,228.08
111,222.8
112,218.85
113,216.21
114,214.89
115,214.89
116,217.53
117,221.49
118,225.44
119,218.85
120,217.53
121,213.58
122,212.26
123,208.3
124,205.67
125,205.67
126,205.67
127,204.35
128,204.35
129,203.03
130,201.71
131,200.39
132,197.75
133,197.75
134,195.12
135,192.48
136,189.84
137,192.48
138,189.84
139,185.89
140,187.21
141,183.25
142,184.57
143,183.25
144,183.25
145,184.57
146,184.57
147,184.57
148,185.89
149,187.21
150,185.89
151,184.57
152,180.62
153,179.3
154,180.62
155,183.25
156,183.25
157,180.62
158,174.02
159,172.71
160,172.71
161,172.71
162,172.71
163,174.02
164,180.62
165,183.25
166,187.21
167,191.16
168,193.8
169,195.12
170,197.75
171,205.67
172,206.98
173,206.98
174,204.35
175,203.03
176,201.71
177,201.71
178,200.39
179,197.75
180,192.48
181,193.8
182,189.84
183,184.57
184,184.57
185,183.25
186,181.93
187,183.25
188,184.57
189,184.57
190,189.84
191,191.16
192,193.8
193,195.12
194,200.39
195,200.39
196,205.67
197,210.94
198,214.89
199,218.85
200,224.12
201,226.76
202,234.67
203,238.63
204,241.26
205,243.9
206,245.22
207,241.26
208,243.9
209,246.54
210,249.17
211,246.54
212,242.58
213,242.58
214,238.63
215,237.31
216,238.63
217,241.26
218,245.22
219,243.9
220,243.9
221,246.54
222,243.9
223,241.26
224,242.58
225,241.26
226,241.26
227,238.63
228,238.63
229,235.99
230,235.99
231,234.67
232,230.71
233,234.67
234,232.03
235,233.35
236,226.76
237,232.03
238,234.67
239,235.99
240,235.99
241,235.99
242,235.99
243,233.35
244,235.99
245,233.35
246,233.35
247,234.67
248,235.99
249,238.63
250,238.63
251,238.63
252,238.63
253,237.31
254,234.67
255,235.99
256,238.63
257,241.26
258,241.26
259,241.26
260,237.31
261,237.31
262,234.67
263,232.03
264,228.08
265,228.08
266,230.71
267,232.03
268,233.35
269,232.03
270,232.03
271,234.67
272,233.35
273,230.71
274,230.71
275,230.71
276,234.67
277,234.67
278,238.63
279,237.31
280,243.9
281,253.13
282,259.72
283,268.95
284,272.9
285,275.54
286,274.22
287,274.22
288,279.5
289,283.45
290,286.09
291,287.41
292,284.77
293,286.09
294,286.09
295,286.09
296,288.72
297,290.04
298,294.0
299,291.36
300,290.04
301,291.36
302,291.36
303,291.36
304,296.63
305,291.36
306,294.0
307,296.63
308,296.63
309,297.95
310,297.95
311,304.55
312,309.82
313,309.82
314,311.14
315,317.73
316,323.0
317,325.64
318,329.59
319,326.96
320,325.64
321,326.96
322,328.28
323,330.91
324,330.91
325,326.96
326,309.82
327,288.72
328,274.22
329,267.63
330,272.9
331,278.18
332,283.45
333,283.45
334,278.18
335,279.5
336,283.45
337,280.81
338,280.81
339,283.45
340,284.77
341,279.5
342,278.18
343,280.81
344,279.5
345,276.86
346,274.22
347,274.22
348,268.95
349,266.31
350,264.99
351,258.4
352,251.81
353,246.54
354,241.26
355,241.26
356,235.99
357,235.99
358,234.67
359,233.35
360,233.35
361,230.71
362,228.08
363,228.08
364,225.44
365,226.76
366,224.12
367,224.12
368,225.44
369,221.49
370,217.53
371,216.21
372,218.85
373,218.85
374,221.49
375,218.85
376,217.53
377,217.53
378,216.21
379,210.94
380,210.94
381,205.67
382,203.03
383,201.71
384,200.39
385,200.39
386,193.8
387,195.12
388,193.8
389,189.84
390,187.21
391,184.57
392,184.57
393,185.89
394,184.57
395,184.57
396,184.57
397,184.57
398,184.57
399,184.57
400,183.25
401,181.93
402,181.93
403,180.62
404,175.34
405,175.34
406,174.02
407,175.34
408,179.3
409,183.25
410,183.25
411,183.25
412,187.21
413,193.8
414,189.84
415,187.21
416,189.84
417,191.16
418,191.16
419,191.16
420,189.84
421,189.84
422,189.84
423,195.12
424,203.03
425,208.3
426,212.26
427,213.58
428,214.89
429,216.21
430,212.26
431,208.3
432,208.3
433,201.71
434,200.39
435,200.39
436,196.44
437,196.44
438,192.48
439,193.8
440,192.48
441,192.48
442,192.48
443,189.84
444,185.89
445,185.89
446,185.89
447,184.57
448,184.57
449,189.84
450,192.48
451,189.84
452,187.21
453,185.89
454,185.89
455,189.84
456,187.21
457,191.16
458,191.16
459,196.44
460,201.71
461,203.03
462,206.98
463,205.67
464,206.98
465,210.94
466,214.89
467,222.8
468,226.76
469,232.03
470,237.31
471,241.26
472,237.31
473,235.99
474,238.63
475,243.9
476,249.17
477,249.17
478,254.45
479,254.45
480,241.26
481,228.08
482,217.53
483,210.94
484,197.75
485,192.48
486,191.16
487,192.48
488,193.8
489,204.35
490,208.3
491,210.94
492,213.58
493,216.21
494,216.21
495,217.53
496,217.53
497,221.49
498,214.89
499,213.58
500,206.98
501,205.67
502,206.98
503,210.94
504,210.94
505,212.26
506,212.26
507,217.53
508,217.53
509,217.53
510,221.49
511,218.85
512,218.85
513,222.8
514,218.85
515,218.85
516,225.44
517,226.76
518,232.03
519,235.99
520,238.63
521,246.54
522,249.17
523,253.13
524,251.81
525,253.13
526,247.85
527,245.22
528,238.63
529,235.99
530,233.35
531,230.71
532,228.08
533,224.12
534,222.8
535,224.12
536,225.44
537,226.76
538,225.44
539,224.12
540,226.76
541,226.76
542,226.76
543,230.71
544,230.71
545,233.35
546,241.26
547,254.45
548,262.36
549,270.27
550,276.86
551,278.18
552,278.18
553,280.81
554,287.41
555,291.36
556,295.32
557,301.91
558,307.18
559,305.86
560,296.63
561,297.95
562,307.18
563,316.41
564,325.64
565,330.91
566,338.82
567,338.82
568,337.51
569,332.23
570,329.59
571,333.55
572,329.59
573,330.91
574,326.96
575,325.64
576,320.37
577,317.73
578,320.37
579,326.96
580,333.55
581,342.78
582,352.01
583,350.69
584,350.69
585,357.28
586,354.64
587,353.33
588,350.69
589,349.37
590,346.73
591,344.1
592,341.46
593,341.46
594,344.1
595,349.37
596,357.28
597,359.92
598,357.28
599,357.28
600,353.33
601,353.33
602,352.01
603,350.69
604,352.01
605,350.69
606,349.37
607,349.37
608,350.69
609,349.37
610,346.73
611,344.1
