row_index,WGDC.TrfGen.A.PhsC.InstCVal.mag.f
1,164.79
2,166.11
3,168.75
4,166.11
5,163.48
6,163.48
7,163.48
8,162.16
9,160.84
10,160.84
11,160.84
12,159.52
13,159.52
14,159.52
15,159.52
16,159.52
17,155.57
18,159.52
19,158.2
20,154.25
21,155.57
22,152.93
23,152.93
24,151.61
25,148.97
26,145.02
27,148.97
28,150.29
29,150.29
30,150.29
31,148.97
32,146.34
33,145.02
34,146.34
35,145.02
36,143.7
37,141.06
38,142.38
39,142.38
40,142.38
41,141.06
42,141.06
43,141.06
44,141.06
45,145.02
46,148.97
47,143.7
48,143.7
49,143.7
50,148.97
51,150.29
52,151.61
53,152.93
54,150.29
55,151.61
56,155.57
57,162.16
58,164.79
59,162.16
60,163.48
61,168.75
62,172.71
63,174.02
64,174.02
65,175.34
66,179.3
67,179.3
68,183.25
69,188.53
70,192.48
71,193.8
72,200.39
73,204.35
74,205.67
75,210.94
76,213.58
77,217.53
78,214.89
79,214.89
80,213.58
81,220.17
82,220.17
83,221.49
84,220.17
85,221.49
86,222.8
87,225.44
88,229.4
89,232.03
90,232.03
91,234.67
92,237.31
93,238.63
94,238.63
95,237.31
96,238.63
97,239.94
98,239.94
99,238.63
100,238.63
101,237.31
102,238.63
103,238.63
104,238.63
105,239.94
106,243.9
107,242.58
108,243.9
109,239.94
110,237.31
111,230.71
112,225.44
113,222.8
114,221.49
115,222.8
116,228.08
117,229.4
118,230.71
119,225.44
120,222.8
121,220.17
122,217.53
123,214.89
124,213.58
125,212.26
126,213.58
127,210.94
128,213.58
129,210.94
130,209.62
131,205.67
132,208.3
133,204.35
134,203.03
135,199.07
136,195.12
137,199.07
138,197.75
139,195.12
140,193.8
141,191.16
142,191.16
143,192.48
144,191.16
145,192.48
146,191.16
147,193.8
148,193.8
149,195.12
150,193.8
151,191.16
152,188.53
153,185.89
154,188.53
155,188.53
156,191.16
157,185.89
158,181.93
159,183.25
160,177.98
161,179.3
162,177.98
163,181.93
164,185.89
165,191.16
166,192.48
167,199.07
168,200.39
169,201.71
170,208.3
171,210.94
172,213.58
173,214.89
174,212.26
175,212.26
176,212.26
177,210.94
178,209.62
179,204.35
180,200.39
181,200.39
182,197.75
183,192.48
184,191.16
185,188.53
186,189.84
187,189.84
188,192.48
189,192.48
190,197.75
191,197.75
192,203.03
193,203.03
194,204.35
195,209.62
196,214.89
197,218.85
198,222.8
199,228.08
200,233.35
201,234.67
202,241.26
203,247.85
204,249.17
205,251.81
206,250.49
207,250.49
208,253.13
209,253.13
210,257.08
211,254.45
212,251.81
213,247.85
214,249.17
215,245.22
216,245.22
217,250.49
218,251.81
219,253.13
220,251.81
221,253.13
222,250.49
223,251.81
224,250.49
225,249.17
226,247.85
227,247.85
228,245.22
229,247.85
230,245.22
231,239.94
232,241.26
233,239.94
234,241.26
235,241.26
236,233.35
237,241.26
238,241.26
239,242.58
240,245.22
241,247.85
242,242.58
243,243.9
