row_index,WTUR.PwrAt.InstMag.f
1,187.73
2,190.3
3,192.86
4,191.15
5,188.59
6,188.59
7,186.88
8,186.03
9,184.32
10,185.17
11,185.17
12,184.32
13,182.61
14,184.32
15,183.46
16,182.61
17,180.9
18,182.61
19,180.9
20,178.34
21,180.04
22,178.34
23,176.63
24,174.06
25,171.5
26,168.94
27,170.64
28,171.5
29,172.35
30,171.5
31,170.64
32,169.79
33,168.94
34,168.08
35,166.37
36,165.52
37,162.95
38,162.1
39,164.66
40,164.66
41,162.95
42,163.81
43,163.81
44,164.66
45,168.94
46,169.79
47,168.08
48,164.66
49,166.37
50,171.5
51,173.21
52,175.77
53,177.48
54,176.63
55,176.63
56,179.19
57,186.03
58,188.59
59,186.88
60,192.01
61,194.57
62,197.99
63,199.7
64,200.55
65,200.55
66,204.83
67,204.83
68,211.66
69,215.08
70,219.35
71,221.92
72,227.9
73,231.32
74,235.59
75,239.01
76,242.42
77,244.13
78,244.99
79,245.84
80,244.99
81,248.41
82,250.97
83,249.26
84,250.97
85,252.68
86,255.24
87,256.95
88,260.37
89,262.93
90,262.08
91,266.35
92,268.91
93,268.91
94,271.48
95,268.91
96,268.91
97,272.33
98,271.48
99,271.48
100,270.62
101,269.77
102,267.2
103,268.91
104,269.77
105,272.33
106,276.6
107,277.46
108,274.04
109,271.48
110,266.35
111,262.93
112,257.81
113,254.39
114,250.97
115,256.1
116,256.95
117,259.51
118,263.79
119,257.81
120,252.68
121,250.11
122,247.55
123,244.99
124,244.13
125,241.57
126,243.28
127,240.71
128,242.42
129,238.15
130,237.3
131,233.88
132,234.73
133,233.88
134,229.61
135,226.19
136,226.19
137,224.48
138,223.62
139,223.62
140,222.77
141,219.35
142,216.79
143,220.21
144,220.21
145,220.21
146,220.21
147,221.06
148,222.77
149,222.77
150,222.77
151,220.21
152,215.08
153,214.22
154,214.22
155,216.79
156,216.79
157,214.22
158,208.24
159,208.24
160,204.83
161,205.68
162,204.83
163,208.24
164,212.52
165,219.35
166,221.92
167,226.19
168,228.75
169,230.46
170,235.59
171,240.71
172,242.42
173,243.28
174,239.01
175,238.15
176,238.15
177,236.44
178,233.88
179,233.02
180,227.9
181,226.19
182,222.77
183,220.21
184,218.5
185,214.22
186,215.08
187,215.08
188,216.79
189,219.35
190,221.92
191,222.77
192,227.04
193,228.75
194,233.02
195,236.44
196,242.42
197,245.84
198,250.97
199,256.1
200,262.08
201,266.35
202,273.19
203,278.31
204,280.02
205,280.02
206,281.73
207,281.73
208,283.44
209,286.86
