row_index,WTUR.CtlCabTmp
1,7.69
2,7.8
3,7.8
4,7.8
5,7.8
6,7.8
7,7.9
8,8.0
9,8.0
10,8.0
11,8.0
12,8.0
13,8.0
14,8.0
15,8.0
16,8.0
17,8.0
18,8.0
19,8.1
20,8.1
21,8.1
22,8.1
23,8.1
24,8.19
25,8.1
26,8.1
27,8.1
28,8.1
29,8.1
30,8.19
31,8.3
32,8.3
33,8.3
34,8.3
35,8.3
36,8.3
37,8.3
38,8.3
39,8.3
40,8.3
41,8.3
42,8.3
43,8.3
44,8.3
45,8.3
46,8.3
47,8.3
48,8.39
49,8.39
50,8.39
51,8.5
52,8.5
53,8.5
54,8.5
55,8.5
56,8.5
57,8.5
58,8.5
59,8.5
60,8.5
61,8.5
62,8.39
63,8.39
64,8.5
65,8.5
66,8.5
67,8.5
68,8.6
69,8.6
70,8.6
71,8.6
72,8.6
73,8.6
74,8.6
75,8.6
76,8.6
77,8.6
78,8.6
79,8.69
80,8.69
81,8.69
82,8.6
83,8.5
84,8.39
85,8.3
86,8.1
87,8.1
88,8.0
89,7.8
90,7.8
91,7.59
92,7.59
93,7.5
94,7.5
95,7.4
96,7.4
97,7.3
98,7.3
99,7.19
100,7.09
101,7.09
102,7.09
103,7.0
104,7.0
105,7.0
106,7.0
107,6.9
108,6.9
109,6.8
110,6.8
111,6.8
112,6.8
113,6.69
114,6.69
115,6.69
116,6.59
117,6.59
118,6.59
119,6.59
120,6.59
121,6.59
122,6.59
123,6.5
124,6.5
125,6.5
126,6.5
127,6.5
128,6.5
129,6.4
130,6.4
131,6.4
132,6.4
133,6.3
134,6.3
135,6.3
136,6.3
137,6.4
138,6.5
139,6.59
140,6.8
141,6.9
142,7.0
143,7.09
144,7.09
145,7.3
146,7.3
147,7.3
148,7.4
149,7.5
150,7.5
151,7.59
152,7.59
153,7.59
154,7.59
155,7.69
156,7.69
157,7.8
158,7.8
159,7.8
160,7.8
161,7.9
162,7.9
163,7.9
164,7.9
165,8.0
166,8.0
167,8.0
168,8.0
169,8.0
170,8.0
171,8.1
172,8.1
173,8.1
174,8.1
175,8.19
176,8.19
177,8.19
178,8.1
179,8.19
180,8.19
181,8.19
182,8.3
183,8.3
184,8.19
185,8.3
186,8.3
187,8.3
188,8.3
189,8.3
190,8.3
191,8.3
192,8.3
193,8.3
194,8.3
195,8.3
196,8.39
197,8.39
198,8.5
199,8.5
200,8.5
201,8.5
202,8.5
203,8.5
204,8.5
205,8.5
206,8.5
207,8.5
208,8.5
209,8.5
210,8.5
211,8.5
212,8.5
213,8.5
214,8.5
215,8.5
216,8.5
217,8.5
218,8.5
219,8.5
220,8.5
221,8.5
222,8.5
223,8.6
224,8.6
225,8.6
226,8.6
227,8.6
228,8.6
229,8.6
230,8.6
231,8.6
232,8.69
233,8.69
234,8.69
235,8.69
236,8.69
237,8.8
238,8.6
239,8.5
240,8.39
241,8.3
242,8.1
243,8.1
244,8.0
245,7.9
246,7.8
247,7.69
248,7.59
249,7.59
250,7.59
251,7.5
252,7.5
253,7.5
254,7.4
255,7.3
256,7.3
257,7.3
258,7.19
259,7.09
260,7.09
261,7.09
262,7.09
263,7.0
264,7.0
265,6.9
266,6.9
267,6.8
268,6.8
269,6.8
270,6.8
271,6.8
272,6.8
273,6.69
274,6.69
275,6.59
276,6.59
277,6.59
278,6.59
279,6.59
280,6.59
281,6.5
282,6.5
283,6.5
284,6.5
285,6.5
286,6.5
287,6.5
288,6.5
289,6.5
290,6.5
291,6.4
292,6.4
293,6.5
294,6.59
295,6.69
296,6.9
297,6.9
298,7.0
299,7.09
300,7.19
301,7.19
302,7.3
303,7.3
304,7.4
305,7.4
306,7.5
307,7.5
308,7.59
309,7.59
310,7.69
311,7.69
312,7.8
313,7.8
314,7.8
315,7.9
316,8.0
317,8.0
318,8.0
319,8.0
320,8.0
321,8.0
322,8.0
323,8.1
324,8.1
325,8.1
326,8.1
327,8.1
328,8.1
329,8.1
330,8.1
331,8.1
332,8.19
333,8.19
334,8.3
335,8.3
336,8.3
337,8.3
338,8.3
339,8.3
340,8.3
341,8.3
342,8.3
343,8.3
344,8.3
345,8.3
346,8.3
347,8.3
348,8.3
349,8.3
350,8.39
351,8.39
352,8.5
353,8.5
354,8.5
355,8.5
356,8.5
357,8.5
358,8.5
359,8.5
360,8.5
361,8.5
362,8.5
363,8.5
364,8.6
365,8.5
366,8.5
367,8.6
368,8.6
369,8.6
370,8.6
371,8.6
372,8.6
373,8.6
374,8.6
375,8.6
376,8.6
377,8.6
378,8.6
379,8.6
380,8.6
381,8.69
382,8.69
383,8.69
384,8.69
385,8.69
386,8.8
387,8.8
388,8.8
389,8.69
390,8.6
391,8.5
392,8.3
393,8.3
394,8.1
395,8.0
396,7.9
397,7.8
398,7.8
399,7.69
400,7.69
401,7.59
402,7.59
403,7.5
404,7.5
405,7.4
406,7.3
407,7.3
408,7.3
409,7.3
410,7.19
411,7.09
412,7.09
413,7.09
414,7.09
415,7.0
416,7.0
417,7.0
418,7.0
419,6.9
420,6.9
421,6.9
422,6.8
423,6.8
424,6.8
425,6.8
426,6.8
427,6.69
428,6.69
429,6.69
430,6.59
431,6.59
432,6.59
433,6.59
434,6.59
435,6.59
436,6.5
437,6.5
438,6.5
439,6.5
440,6.5
441,6.4
442,6.4
443,6.4
444,6.3
445,6.3
446,6.5
447,6.59
448,6.69
449,6.8
450,7.0
451,7.0
452,7.09
453,7.19
454,7.3
455,7.4
456,7.5
457,7.5
458,7.59
459,7.59
460,7.59
461,7.59
462,7.69
463,7.69
464,7.69
465,7.8
466,7.8
467,7.8
468,7.8
469,7.9
470,7.9
471,8.0
472,7.9
473,8.0
474,8.0
475,8.0
476,8.0
477,8.1
478,8.1
479,8.1
480,8.1
481,8.1
482,8.1
483,8.19
484,8.19
485,8.3
486,8.3
487,8.3
488,8.3
489,8.3
490,8.3
491,8.3
492,8.3
493,8.3
494,8.3
495,8.39
496,8.39
497,8.5
498,8.5
