row_index,WNAC.TopBoxTmp
1,5.69
2,5.69
3,5.69
4,5.69
5,5.69
6,5.69
7,5.69
8,5.69
9,5.69
10,5.69
11,5.69
12,5.69
13,5.69
14,5.69
15,5.59
16,5.69
17,5.69
18,5.59
19,5.69
20,5.69
21,5.69
22,5.69
23,5.69
24,5.8
25,5.8
26,5.69
27,5.69
28,5.69
29,5.69
30,5.69
31,5.69
32,5.69
33,5.69
34,5.69
35,5.69
36,5.59
37,5.59
38,5.69
39,5.69
40,5.69
41,5.69
42,5.69
43,5.69
44,5.69
45,5.69
46,5.69
47,5.59
48,5.69
49,5.69
50,5.69
51,5.69
52,5.59
53,5.59
54,5.59
55,5.59
56,5.69
57,5.69
58,5.69
59,5.59
60,5.69
61,5.69
62,5.69
63,5.69
64,5.59
65,5.69
66,5.69
67,5.69
68,5.69
69,5.69
70,5.69
71,5.69
72,5.69
73,5.69
74,5.8
75,5.69
76,5.69
77,5.69
78,5.69
79,5.69
80,5.8
81,5.69
82,5.8
83,5.69
84,5.69
85,5.69
86,5.8
87,5.69
88,5.69
89,5.69
90,5.69
91,5.69
92,5.69
93,5.69
94,5.69
95,5.69
96,5.69
97,5.69
98,5.59
99,5.69
100,5.59
101,5.59
102,5.69
103,5.59
104,5.69
105,5.69
106,5.69
107,5.69
108,5.69
109,5.59
110,5.69
111,5.59
112,5.59
113,5.69
114,5.59
115,5.69
116,5.69
117,5.69
118,5.69
119,5.69
120,5.69
121,5.69
122,5.69
123,5.8
124,5.8
125,5.69
126,5.69
127,5.69
128,5.69
129,5.69
130,5.69
131,5.69
132,5.69
133,5.69
134,5.69
135,5.69
136,5.8
137,5.69
138,5.69
139,5.8
140,5.69
141,5.69
142,5.8
143,5.69
144,5.69
145,5.69
146,5.69
147,5.69
148,5.69
149,5.69
150,5.8
151,5.8
152,5.69
153,5.69
154,5.69
155,5.69
156,5.69
157,5.69
158,5.69
159,5.59
160,5.59
161,5.69
162,5.59
163,5.69
164,5.69
165,5.8
166,5.69
167,5.69
168,5.69
169,5.69
170,5.8
171,5.69
172,5.69
173,5.69
174,5.8
175,5.69
176,5.69
177,5.8
178,5.69
179,5.8
180,5.8
181,5.69
182,5.8
183,5.69
184,5.69
185,5.69
186,5.69
187,5.69
188,5.69
189,5.69
190,5.69
191,5.69
192,5.69
193,5.69
194,5.69
195,5.69
196,5.8
197,5.69
198,5.69
199,5.69
200,5.8
201,5.8
202,5.69
203,5.8
204,5.69
205,5.59
206,5.69
