row_index,WROT.PtMotorTmp.Bl2
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,-0.1
13,-0.1
14,-0.1
15,-0.1
16,-0.1
17,-0.1
18,-0.1
19,-0.1
20,-0.1
21,-0.2
22,-0.2
23,-0.2
24,-0.2
25,-0.2
26,-0.2
27,-0.2
28,-0.2
29,-0.2
30,-0.2
31,-0.2
32,-0.2
33,-0.2
34,-0.2
35,-0.2
36,-0.2
37,-0.2
38,-0.2
39,-0.2
40,-0.2
41,-0.2
42,-0.2
43,-0.2
44,-0.3
45,-0.2
46,-0.3
47,-0.3
48,-0.3
49,-0.3
50,-0.3
51,-0.3
52,-0.3
53,-0.3
54,-0.3
55,-0.3
56,-0.3
57,-0.3
58,-0.4
59,-0.3
60,-0.3
61,-0.3
62,-0.4
63,-0.3
64,-0.4
65,-0.4
66,-0.4
67,-0.4
68,-0.4
69,-0.4
70,-0.4
71,-0.4
72,-0.4
73,-0.4
74,-0.4
75,-0.4
76,-0.4
77,-0.4
78,-0.4
79,-0.4
80,-0.4
81,-0.4
82,-0.4
83,-0.4
84,-0.4
85,-0.4
86,-0.4
87,-0.4
88,-0.4
89,-0.4
90,-0.4
91,-0.4
92,-0.4
93,-0.4
94,-0.4
95,-0.4
96,-0.4
97,-0.4
98,-0.4
99,-0.4
100,-0.4
101,-0.4
102,-0.4
103,-0.4
104,-0.4
105,-0.4
106,-0.4
107,-0.4
108,-0.4
109,-0.4
110,-0.4
111,-0.4
112,-0.4
113,-0.4
114,-0.4
115,-0.5
116,-0.4
117,-0.5
118,-0.4
119,-0.4
120,-0.1
121,0.1
122,0.1
123,0.2
124,0.2
125,0.2
126,0.1
127,0.1
128,0.3
129,0.5
130,0.5
131,0.5
132,0.5
133,0.5
134,0.5
135,0.5
136,0.5
137,0.6
138,0.69
139,0.69
140,0.6
141,0.6
142,0.6
143,0.5
144,0.5
145,0.6
146,0.69
147,0.69
148,0.6
149,0.6
150,0.6
151,0.5
152,0.5
153,0.5
154,0.4
155,0.3
156,0.3
157,0.3
158,0.3
159,0.2
160,0.2
161,0.2
162,0.1
163,0.1
164,0.1
165,0.1
166,0.1
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,-0.1
174,-0.1
175,-0.1
176,-0.1
177,-0.1
178,-0.1
179,-0.2
180,-0.2
181,-0.2
182,-0.2
183,-0.2
184,-0.2
185,-0.2
186,-0.2
187,0.0
188,0.1
189,0.2
190,0.2
191,0.2
192,0.2
193,0.2
194,0.2
195,0.2
196,0.3
197,0.3
198,0.3
199,0.3
200,0.3
201,0.3
202,0.2
203,0.2
204,0.2
205,0.1
206,0.1
207,0.1
208,0.1
209,0.1
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,-0.1
217,-0.1
218,-0.1
219,-0.1
220,0.0
221,0.1
222,0.2
223,0.2
