row_index,WROT.PtCptTmp.Bl1
1,7.59
2,7.59
3,7.59
4,7.59
5,7.59
6,7.59
7,7.59
8,7.59
9,7.59
10,7.59
11,7.59
12,7.59
13,7.59
14,7.59
15,7.59
16,7.59
17,7.59
18,7.59
19,7.59
20,7.59
21,7.59
22,7.59
23,7.59
24,7.59
25,7.59
26,7.59
27,7.59
28,7.59
29,7.59
30,7.59
31,7.59
32,7.59
33,7.59
34,7.59
35,7.59
36,7.59
37,7.59
38,7.59
39,7.59
40,7.59
41,7.59
42,7.59
43,7.59
44,7.59
45,7.59
46,7.59
47,7.59
48,7.59
49,7.59
50,7.59
51,7.59
52,7.59
53,7.59
54,7.59
55,7.59
56,7.59
57,7.59
58,7.59
59,7.59
60,7.59
61,7.59
62,7.59
63,7.59
64,7.59
65,7.59
66,7.59
67,7.59
68,7.59
69,7.59
70,7.59
71,7.59
72,7.59
73,7.59
74,7.59
75,7.59
76,7.59
77,7.59
78,7.59
79,7.59
80,7.59
81,7.59
82,7.59
83,7.59
84,7.59
85,7.59
86,7.59
87,7.59
88,7.59
89,7.59
90,7.59
91,7.59
92,7.59
93,7.59
94,7.59
95,7.59
96,7.59
97,7.59
98,7.59
99,7.59
100,7.59
101,7.59
102,7.59
103,7.59
104,7.59
105,7.59
106,7.59
107,7.59
108,7.59
109,7.59
110,7.59
111,7.59
112,7.59
113,7.59
114,7.59
115,7.59
116,7.59
117,7.59
118,7.59
119,7.59
120,7.59
121,7.59
122,7.59
123,7.59
124,7.59
125,7.59
126,7.59
127,7.59
128,7.59
129,7.59
130,7.59
131,7.59
132,7.59
133,7.59
134,7.59
135,7.59
136,7.59
137,7.59
138,7.59
139,7.59
140,7.59
141,7.59
142,7.59
143,7.59
144,7.59
145,7.59
146,7.59
147,7.59
148,7.59
149,7.59
150,7.59
151,7.59
152,7.59
153,7.59
154,7.59
155,7.59
156,7.59
157,7.59
158,7.59
159,7.59
160,7.59
161,7.59
162,7.59
163,7.59
164,7.59
165,7.59
166,7.59
167,7.59
168,7.59
169,7.59
170,7.59
171,7.59
172,7.59
173,7.59
174,7.59
175,7.59
176,7.59
177,7.59
178,7.59
179,7.59
180,7.59
181,7.59
182,7.59
183,7.59
184,7.59
185,7.59
186,7.59
187,7.59
188,7.59
189,7.59
190,7.59
191,7.59
192,7.59
193,7.59
194,7.59
195,7.59
196,7.59
197,7.59
198,7.59
199,7.59
200,7.59
201,7.59
202,7.59
203,7.59
204,7.59
205,7.59
206,7.59
207,7.59
208,7.59
209,7.59
210,7.59
211,7.59
212,7.59
213,7.59
214,7.59
215,7.59
216,7.59
217,7.59
218,7.59
219,7.59
220,7.59
221,7.59
222,7.59
223,7.59
224,7.59
225,7.59
226,7.59
227,7.59
228,7.59
229,7.59
230,7.59
231,7.59
232,7.59
233,7.59
234,7.59
235,7.59
236,7.59
237,7.59
238,7.59
239,7.59
240,7.59
241,7.59
242,7.59
243,7.59
244,7.59
245,7.59
246,7.59
247,7.59
248,7.59
249,7.59
250,7.59
251,7.59
252,7.59
253,7.59
254,7.59
255,7.59
256,7.59
257,7.59
258,7.59
259,7.59
260,7.59
261,7.59
262,7.59
263,7.59
264,7.59
265,7.59
266,7.59
267,7.59
268,7.59
269,7.59
270,7.59
271,7.59
272,7.59
273,7.59
274,7.59
275,7.59
276,7.59
277,7.59
278,7.59
279,7.59
280,7.59
281,7.59
282,7.59
283,7.59
284,7.59
285,7.59
286,7.59
287,7.59
288,7.5
289,7.59
290,7.59
291,7.59
292,7.59
293,7.59
294,7.59
295,7.59
296,7.59
297,7.59
298,7.59
299,7.59
300,7.59
301,7.59
302,7.59
303,7.59
304,7.59
305,7.59
306,7.59
307,7.59
308,7.59
309,7.59
310,7.5
311,7.59
312,7.59
313,7.59
314,7.59
315,7.59
316,7.59
317,7.59
318,7.5
319,7.59
320,7.59
321,7.59
322,7.59
323,7.59
324,7.5
325,7.59
326,7.59
327,7.59
328,7.59
329,7.59
330,7.59
331,7.59
332,7.59
333,7.59
334,7.59
335,7.59
336,7.5
337,7.5
338,7.59
339,7.59
340,7.59
341,7.59
342,7.5
343,7.59
344,7.59
345,7.5
346,7.5
347,7.59
348,7.59
349,7.59
350,7.59
351,7.59
352,7.59
353,7.59
354,7.5
355,7.59
356,7.59
357,7.5
358,7.5
359,7.5
360,7.5
361,7.59
362,7.5
363,7.59
364,7.5
365,7.5
366,7.59
367,7.5
368,7.5
369,7.5
370,7.5
371,7.5
372,7.5
373,7.5
374,7.5
375,7.5
376,7.5
377,7.5
378,7.5
379,7.5
380,7.5
381,7.5
382,7.59
383,7.5
384,7.5
385,7.5
386,7.5
387,7.5
388,7.5
389,7.5
390,7.5
391,7.59
392,7.5
393,7.5
394,7.5
395,7.5
396,7.5
397,7.5
398,7.5
399,7.5
400,7.5
401,7.5
402,7.5
403,7.5
404,7.5
405,7.5
406,7.5
407,7.5
408,7.5
409,7.5
410,7.5
411,7.5
412,7.5
413,7.5
414,7.5
415,7.5
416,7.5
417,7.5
418,7.5
419,7.5
420,7.5
421,7.5
422,7.5
423,7.5
424,7.5
425,7.5
426,7.5
427,7.5
428,7.5
429,7.5
430,7.5
431,7.5
432,7.5
433,7.5
434,7.5
435,7.5
436,7.5
437,7.5
438,7.5
439,7.5
440,7.5
441,7.5
442,7.5
443,7.5
444,7.5
445,7.5
446,7.5
447,7.5
448,7.5
449,7.5
450,7.5
451,7.5
452,7.5
453,7.5
454,7.5
455,7.5
456,7.5
457,7.5
458,7.5
459,7.5
460,7.5
461,7.5
462,7.5
463,7.5
464,7.5
465,7.5
466,7.5
467,7.5
468,7.5
469,7.5
470,7.5
471,7.5
472,7.5
473,7.5
474,7.5
475,7.5
476,7.5
477,7.5
478,7.5
479,7.5
480,7.5
481,7.5
482,7.5
483,7.5
484,7.5
485,7.5
486,7.5
487,7.5
488,7.5
489,7.5
490,7.5
491,7.5
492,7.5
493,7.5
494,7.5
495,7.5
496,7.5
497,7.5
498,7.5
499,7.5
500,7.5
501,7.5
502,7.5
503,7.5
504,7.5
505,7.5
506,7.5
507,7.5
508,7.5
509,7.5
510,7.5
511,7.5
512,7.5
513,7.5
514,7.5
515,7.5
516,7.5
517,7.5
518,7.5
519,7.5
520,7.5
521,7.5
522,7.5
523,7.5
524,7.5
525,7.5
526,7.5
527,7.5
528,7.5
529,7.5
530,7.5
531,7.5
532,7.5
533,7.5
534,7.5
535,7.5
536,7.5
537,7.5
538,7.5
539,7.5
540,7.5
541,7.5
542,7.5
543,7.5
544,7.5
545,7.5
546,7.5
547,7.5
548,7.5
549,7.5
