row_index,WROT.PtCbTmp.Bl2
1,4.8
2,4.8
3,4.8
4,4.8
5,4.8
6,4.8
7,4.8
8,4.8
9,4.8
10,4.8
11,4.8
12,4.8
13,4.8
14,4.8
15,4.8
16,4.8
17,4.8
18,4.8
19,4.8
20,4.8
21,4.8
22,4.8
23,4.8
24,4.8
25,4.8
26,4.8
27,4.8
28,4.8
29,4.8
30,4.8
31,4.8
32,4.69
33,4.69
34,4.69
35,4.69
36,4.69
37,4.8
38,4.8
39,4.69
40,4.8
41,4.69
42,4.69
43,4.69
44,4.69
45,4.69
46,4.69
47,4.69
48,4.69
49,4.69
50,4.69
51,4.69
52,4.69
53,4.69
54,4.69
55,4.69
56,4.69
57,4.69
58,4.69
59,4.69
60,4.69
61,4.69
62,4.69
63,4.69
64,4.69
65,4.69
66,4.69
67,4.69
68,4.69
69,4.69
70,4.69
71,4.69
72,4.69
73,4.69
74,4.69
75,4.69
76,4.69
77,4.69
78,4.69
79,4.69
80,4.69
81,4.69
82,4.69
83,4.69
84,4.69
85,4.69
86,4.69
87,4.8
88,4.69
89,4.8
90,4.8
91,4.8
92,4.8
93,4.8
94,4.8
95,4.8
96,4.8
97,4.8
98,4.8
99,4.8
100,4.8
101,4.8
102,4.8
103,4.8
104,4.8
105,4.8
106,4.8
107,4.8
108,4.8
109,4.8
110,4.8
111,4.8
112,4.8
113,4.8
114,4.8
115,4.8
116,4.8
117,4.8
118,4.8
119,4.8
120,4.8
121,4.8
122,4.8
123,4.8
124,4.8
125,4.8
126,4.8
127,4.8
128,4.8
129,4.8
130,4.8
131,4.8
132,4.8
133,4.8
134,4.8
135,4.8
136,4.8
137,4.8
138,4.8
139,4.8
140,4.8
141,4.8
142,4.8
143,4.8
144,4.8
145,4.8
146,4.8
147,4.8
148,4.8
149,4.8
150,4.8
151,4.8
152,4.8
153,4.8
154,4.8
155,4.8
156,4.8
157,4.8
158,4.8
159,4.8
160,4.8
161,4.8
162,4.8
163,4.8
164,4.8
165,4.8
166,4.8
167,4.8
168,4.8
169,4.8
170,4.8
171,4.8
172,4.8
173,4.8
174,4.8
175,4.8
176,4.8
177,4.8
178,4.8
179,4.8
180,4.8
181,4.8
182,4.8
183,4.8
184,4.8
185,4.8
186,4.8
187,4.8
188,4.8
189,4.8
190,4.8
191,4.8
192,4.8
193,4.8
194,4.8
195,4.8
