row_index,WROT.PtCnvTmp.Bl1
1,3.59
2,3.59
3,3.59
4,3.59
5,3.59
6,3.59
7,3.59
8,3.59
9,3.59
10,3.59
11,3.59
12,3.59
13,3.59
14,3.59
15,3.59
16,3.59
17,3.59
18,3.59
19,3.59
20,3.59
21,3.59
22,3.59
23,3.59
24,3.5
25,3.59
26,3.59
27,3.59
28,3.59
29,3.59
30,3.59
31,3.59
32,3.5
33,3.5
34,3.5
35,3.5
36,3.5
37,3.5
38,3.5
39,3.5
40,3.5
41,3.5
42,3.5
43,3.5
44,3.5
45,3.5
46,3.5
47,3.5
48,3.5
49,3.5
50,3.5
51,3.5
52,3.5
53,3.5
54,3.5
55,3.5
56,3.5
57,3.5
58,3.5
59,3.5
60,3.5
61,3.5
62,3.5
63,3.5
64,3.5
65,3.5
66,3.5
67,3.5
68,3.5
69,3.5
70,3.5
71,3.5
72,3.5
73,3.5
74,3.5
75,3.5
76,3.5
77,3.5
78,3.5
79,3.5
80,3.5
81,3.5
82,3.5
83,3.5
84,3.5
85,3.5
86,3.5
87,3.5
88,3.5
89,3.5
90,3.5
91,3.5
92,3.5
93,3.4
94,3.5
95,3.5
96,3.5
97,3.5
98,3.5
99,3.5
100,3.5
101,3.5
102,3.4
103,3.4
104,3.4
105,3.4
106,3.4
107,3.4
108,3.4
109,3.4
110,3.4
111,3.4
112,3.4
113,3.4
114,3.4
115,3.4
116,3.4
117,3.4
118,3.4
119,3.4
120,3.5
121,3.5
122,3.5
123,3.5
124,3.5
125,3.5
126,3.5
127,3.5
128,3.5
129,3.5
130,3.59
131,3.59
132,3.59
133,3.59
134,3.5
135,3.5
136,3.5
137,3.59
138,3.59
139,3.59
140,3.59
141,3.59
142,3.59
143,3.59
144,3.59
145,3.59
146,3.59
147,3.59
148,3.59
149,3.59
150,3.59
151,3.59
152,3.59
153,3.59
154,3.59
155,3.59
156,3.59
157,3.59
158,3.59
159,3.59
160,3.59
161,3.59
162,3.59
163,3.59
164,3.5
165,3.59
166,3.5
167,3.5
168,3.59
169,3.5
170,3.5
171,3.5
172,3.5
173,3.5
174,3.5
175,3.5
176,3.5
177,3.5
178,3.5
179,3.5
180,3.5
181,3.5
182,3.5
183,3.5
184,3.5
185,3.5
186,3.5
187,3.5
188,3.5
189,3.59
190,3.59
191,3.59
192,3.59
193,3.5
194,3.5
195,3.5
196,3.59
197,3.59
198,3.59
199,3.59
200,3.59
201,3.59
202,3.59
203,3.59
204,3.59
205,3.59
206,3.59
207,3.59
208,3.59
209,3.59
210,3.59
211,3.59
212,3.59
213,3.5
214,3.59
215,3.5
216,3.5
217,3.5
218,3.5
219,3.5
220,3.5
221,3.59
222,3.59
223,3.59
224,3.59
225,3.59
226,3.59
227,3.59
228,3.59
229,3.59
230,3.59
231,3.59
232,3.59
233,3.59
234,3.5
235,3.5
236,3.5
237,3.59
238,3.59
239,3.59
240,3.59
241,3.59
242,3.59
243,3.59
244,3.59
245,3.59
246,3.59
247,3.59
248,3.59
249,3.59
250,3.59
251,3.5
252,3.59
253,3.59
254,3.59
255,3.59
256,3.5
257,3.5
258,3.5
259,3.5
260,3.5
261,3.5
262,3.5
263,3.5
264,3.5
265,3.5
266,3.5
267,3.5
268,3.5
269,3.5
270,3.5
271,3.5
272,3.5
273,3.59
274,3.59
275,3.59
276,3.59
277,3.59
278,3.59
279,3.59
280,3.59
281,3.59
282,3.59
283,3.59
284,3.59
285,3.59
286,3.59
287,3.59
288,3.59
289,3.59
290,3.59
291,3.59
292,3.59
293,3.59
294,3.59
295,3.59
296,3.5
297,3.59
298,3.5
299,3.5
300,3.5
301,3.5
302,3.5
303,3.5
304,3.5
305,3.5
306,3.5
307,3.5
308,3.5
309,3.5
310,3.5
311,3.5
312,3.5
313,3.5
314,3.5
315,3.5
316,3.5
317,3.5
318,3.5
319,3.5
320,3.5
321,3.5
322,3.5
323,3.5
324,3.5
325,3.5
326,3.5
327,3.5
328,3.5
329,3.5
330,3.5
331,3.5
332,3.5
333,3.5
334,3.5
335,3.5
336,3.5
337,3.5
338,3.5
339,3.5
340,3.5
341,3.5
342,3.5
343,3.5
344,3.5
345,3.5
346,3.5
347,3.5
348,3.5
349,3.5
350,3.5
351,3.5
352,3.5
353,3.5
354,3.5
355,3.5
356,3.59
357,3.59
358,3.59
359,3.59
360,3.59
361,3.59
362,3.5
363,3.59
364,3.59
365,3.59
366,3.59
367,3.59
368,3.59
369,3.59
370,3.59
371,3.59
372,3.59
373,3.59
374,3.59
375,3.59
376,3.59
377,3.59
378,3.59
379,3.59
380,3.59
381,3.59
382,3.59
383,3.59
384,3.59
385,3.59
386,3.59
387,3.59
388,3.59
389,3.7
390,3.7
391,3.7
392,3.7
393,3.7
394,3.7
395,3.7
396,3.59
397,3.7
398,3.7
399,3.7
400,3.7
401,3.7
402,3.7
403,3.7
404,3.7
405,3.7
406,3.59
407,3.59
408,3.59
409,3.59
410,3.59
411,3.59
412,3.59
413,3.59
414,3.59
415,3.59
416,3.59
417,3.59
418,3.59
419,3.59
420,3.59
421,3.59
422,3.59
