row_index,WROT.CptVolHigh.Bl3
1,59.24
2,59.08
3,59.2
4,59.18
5,58.99
6,58.86
7,58.8
8,59.37
9,59.02
10,59.08
11,59.04
12,59.39
13,59.04
14,59.32
15,59.42
16,58.96
17,58.93
18,59.19
19,59.35
20,58.97
21,59.37
22,58.99
23,58.93
24,59.21
25,59.24
26,59.27
27,58.99
28,59.11
29,59.09
30,58.98
31,59.12
32,59.09
33,58.97
34,59.24
35,59.36
36,59.09
37,59.0
38,59.02
39,59.33
40,59.0
41,59.37
42,59.32
43,59.33
44,59.34
45,59.09
46,59.4
47,58.99
48,59.33
49,58.84
50,59.37
51,58.99
52,59.3
53,59.22
54,59.31
55,59.08
56,59.42
57,59.21
58,59.54
59,59.37
60,58.78
61,59.35
62,59.36
63,59.37
64,58.91
65,59.24
66,59.09
67,59.35
68,58.89
69,59.29
70,58.73
71,59.33
72,59.09
73,59.42
74,59.34
75,59.1
76,59.0
77,58.96
78,58.96
79,59.37
80,59.33
81,58.98
82,59.03
83,58.79
84,59.4
85,59.23
86,59.4
87,59.42
88,59.34
89,59.17
90,58.96
91,58.99
92,59.34
93,59.33
94,59.04
95,59.02
96,58.94
97,59.38
98,59.25
99,58.93
100,59.06
101,59.34
102,59.31
103,59.08
104,59.4
105,58.85
106,58.86
107,59.2
108,58.99
109,59.28
110,58.87
111,59.34
112,59.09
113,59.16
114,59.42
115,59.27
116,59.07
117,58.75
118,59.36
119,58.91
120,59.27
121,59.42
122,59.13
123,59.13
124,59.42
125,59.08
126,59.16
127,59.14
128,59.37
129,59.13
130,59.16
131,59.36
132,59.39
133,59.02
134,59.33
135,59.37
136,58.84
137,58.79
138,58.85
139,58.71
140,59.3
141,59.34
142,58.97
143,59.31
144,59.27
145,58.87
146,59.3
147,59.29
148,59.39
149,58.99
150,58.97
151,59.34
152,59.37
153,59.11
154,59.38
155,59.04
156,59.36
157,58.98
158,59.33
159,59.37
160,59.38
161,59.38
162,58.72
163,59.2
164,59.2
165,59.06
166,59.04
167,58.75
168,59.33
169,58.96
170,59.18
171,58.95
172,58.81
173,59.3
174,59.1
175,58.93
176,58.95
177,59.05
178,59.33
179,58.99
180,58.93
181,59.31
182,59.33
183,58.99
184,59.05
185,59.0
186,58.55
187,58.84
188,59.31
189,59.09
190,58.72
191,59.39
192,59.35
193,59.37
194,59.1
195,59.29
196,59.21
197,59.32
198,59.31
199,58.81
200,58.9
201,58.98
202,59.11
203,58.96
204,59.06
205,59.35
206,58.96
207,59.27
208,58.94
209,59.24
210,59.42
211,59.43
212,59.33
213,58.8
214,59.33
215,59.33
216,58.76
217,59.33
218,59.33
219,59.29
220,59.15
221,59.35
222,58.96
223,59.34
224,59.17
225,59.28
226,59.32
227,59.37
228,59.28
229,59.32
230,59.39
231,59.39
232,59.0
233,58.94
234,59.4
235,58.97
236,58.92
237,59.23
238,59.03
239,58.69
240,59.25
241,59.29
242,58.84
243,59.36
244,59.0
245,58.84
246,59.34
247,59.22
248,59.19
249,59.14
250,59.07
251,58.93
252,59.09
253,59.37
254,59.15
255,59.2
256,59.01
257,59.4
258,59.41
259,59.04
260,59.03
261,58.81
262,59.05
263,58.99
264,58.9
265,59.08
266,59.06
267,59.15
268,59.27
269,59.11
270,59.35
271,59.01
272,59.11
273,59.32
274,58.85
275,59.26
276,59.4
277,58.85
278,59.06
279,59.15
280,58.91
281,59.23
282,59.13
283,59.15
284,58.94
285,59.1
286,59.21
287,59.33
288,59.01
289,58.81
290,58.98
291,59.03
292,59.02
293,59.06
294,59.2
295,59.53
296,59.37
297,59.17
298,58.96
299,58.73
300,58.88
301,59.08
302,59.36
303,59.39
304,59.33
305,59.37
306,58.84
307,58.93
308,58.87
309,59.31
310,59.0
311,58.99
312,58.82
313,59.35
314,59.36
315,59.39
316,59.35
317,59.37
318,59.36
319,59.1
320,59.16
321,59.34
322,59.05
323,59.36
324,59.09
325,59.07
326,59.36
327,59.13
328,59.15
329,59.25
330,59.1
331,59.33
332,59.03
333,59.32
334,58.99
335,59.07
336,58.95
337,59.36
338,59.04
339,59.17
340,59.22
341,58.74
342,59.41
343,59.16
344,59.28
345,59.04
346,59.28
347,58.94
348,59.21
349,59.38
350,59.29
351,59.02
352,58.95
353,58.93
354,59.26
355,59.25
356,58.97
357,58.95
358,59.07
359,58.98
360,59.14
361,59.52
362,58.99
363,58.67
364,59.21
365,59.24
366,59.06
367,59.4
368,59.37
369,59.38
370,59.35
371,59.09
372,59.33
373,59.37
374,59.35
375,59.38
376,58.8
377,59.37
378,58.95
379,59.15
380,59.01
381,59.09
382,59.37
383,59.33
384,59.33
385,59.29
386,59.06
387,59.05
388,58.94
389,59.36
390,59.35
391,58.97
392,58.94
393,59.25
394,59.08
395,59.35
396,58.78
397,59.04
398,58.97
399,58.93
400,59.25
401,59.21
402,58.99
403,59.33
404,59.22
405,59.1
406,59.06
407,59.1
408,59.23
409,58.96
410,59.35
411,58.98
412,59.34
413,59.06
414,58.99
415,58.75
416,58.98
417,58.99
418,59.01
419,59.36
420,58.75
421,59.24
422,59.31
423,59.0
424,58.83
425,58.97
426,58.92
427,59.04
428,59.39
429,59.4
430,59.28
431,59.36
432,59.37
433,59.38
434,58.98
435,58.8
436,59.04
437,59.04
438,58.91
439,59.29
440,59.0
441,58.83
442,59.19
443,59.27
444,58.89
445,58.91
446,58.84
447,58.94
448,59.34
449,59.28
450,59.37
451,59.37
452,59.38
453,59.09
454,59.14
455,58.98
456,59.29
457,59.21
458,58.91
459,58.73
460,58.72
461,58.73
462,59.03
463,59.34
464,59.15
465,59.37
466,58.99
467,59.38
468,59.3
469,59.21
470,59.25
471,59.07
472,58.94
473,59.29
474,59.28
475,59.18
476,58.93
477,59.37
478,58.84
479,59.36
480,58.74
481,59.36
482,59.35
483,59.37
484,58.73
485,58.74
486,59.03
487,58.74
488,58.93
489,58.87
490,59.02
491,59.34
492,58.81
493,59.11
494,59.02
495,59.21
496,59.08
497,59.03
498,59.28
499,59.41
500,59.24
501,59.39
502,59.35
503,59.09
504,59.35
505,59.38
506,59.25
507,59.35
508,59.05
509,59.33
510,58.96
511,59.22
512,59.38
513,58.91
514,59.16
515,59.21
516,59.37
517,59.29
518,58.91
519,59.32
520,59.35
521,58.78
522,59.36
523,58.98
524,59.17
525,59.04
526,58.71
527,59.23
528,58.73
529,58.92
530,58.8
531,58.92
532,59.34
533,59.02
534,59.41
535,58.95
536,59.16
537,59.3
538,59.37
539,59.04
540,59.01
541,59.4
542,59.29
543,59.07
544,59.39
545,59.0
546,59.39
547,59.0
548,59.19
549,59.34
550,58.94
551,59.22
552,59.27
553,59.41
554,59.24
555,58.98
556,59.22
557,59.35
558,59.0
559,58.81
560,59.4
561,58.97
562,59.26
563,59.38
564,59.05
565,59.22
566,59.32
567,59.21
568,59.4
569,59.31
570,59.25
571,59.19
572,59.16
573,59.05
574,59.42
575,59.14
576,58.83
577,59.35
578,59.37
579,59.26
580,59.15
581,59.32
582,58.94
583,59.29
584,59.24
585,59.26
586,59.08
587,59.04
588,59.18
589,59.07
590,59.11
591,59.08
592,58.99
593,59.09
594,58.97
595,59.01
596,59.41
597,59.33
598,58.94
599,59.1
600,58.84
601,59.34
602,59.1
603,59.1
604,59.33
605,59.32
606,59.37
607,59.36
608,58.76
609,59.23
610,59.09
611,59.33
612,59.37
613,59.37
614,59.4
615,59.37
616,59.17
617,58.98
618,59.25
619,59.22
620,59.31
621,59.25
622,58.74
623,59.08
624,59.07
625,59.37
626,59.27
627,59.36
628,58.99
629,59.37
630,59.34
631,59.34
632,58.96
633,59.21
634,59.11
635,59.37
636,58.88
637,59.0
638,58.76
639,59.11
640,59.04
641,59.35
642,59.07
643,59.02
644,59.36
645,59.36
646,59.27
647,59.08
648,59.0
649,59.35
650,58.96
651,58.89
652,59.35
653,59.33
654,59.37
655,59.38
656,58.72
657,58.97
658,58.73
659,59.34
660,59.07
661,59.39
662,59.29
663,59.32
664,59.34
665,59.04
666,59.14
667,58.98
668,58.79
669,59.09
670,59.0
671,59.33
672,59.3
673,59.16
674,59.07
675,59.46
676,59.33
677,59.35
678,59.36
679,59.34
680,59.37
681,59.41
682,59.0
683,59.25
684,59.38
685,59.31
686,58.93
687,59.02
688,58.85
689,59.13
690,59.35
691,59.03
692,59.17
693,59.19
694,58.93
695,59.18
696,59.1
697,59.09
698,58.81
699,59.4
700,58.97
701,59.05
702,59.34
703,59.32
704,59.27
705,59.16
706,59.27
707,58.9
708,59.25
709,58.83
710,59.26
711,59.34
712,59.27
713,59.15
714,59.39
715,59.08
716,58.97
717,59.2
718,59.12
719,58.91
720,58.96
721,59.09
722,59.36
723,59.11
724,59.42
725,59.29
726,59.22
727,59.37
728,59.05
729,59.06
730,59.37
731,59.01
732,59.12
733,59.1
734,59.04
735,58.76
736,59.29
737,59.0
738,59.2
739,59.25
740,58.82
741,59.11
742,59.39
743,59.42
744,59.11
745,59.25
746,59.1
747,59.23
748,59.25
749,59.1
750,59.4
751,59.01
752,59.37
753,59.34
754,59.03
755,58.98
756,59.26
757,59.34
758,59.28
759,59.2
760,58.89
761,59.3
762,59.07
763,59.04
764,58.83
765,59.32
766,58.94
767,58.88
768,59.31
769,59.06
770,59.28
771,59.22
772,58.99
773,58.94
774,58.78
775,58.74
776,59.4
777,58.9
778,59.32
779,59.33
780,59.09
781,59.39
782,59.39
783,59.16
784,59.26
785,58.97
786,59.25
787,58.95
788,59.32
789,58.97
790,58.99
791,58.81
792,59.07
793,58.99
794,59.37
795,59.37
796,59.36
797,59.02
798,59.23
799,58.75
800,59.37
801,59.36
802,59.22
803,59.09
804,59.4
805,59.43
806,59.46
807,59.18
808,59.53
809,59.22
810,59.33
811,59.03
812,59.37
813,59.42
814,59.11
815,59.33
816,59.09
817,59.35
818,58.99
819,59.4
820,59.31
821,59.25
822,58.99
823,59.33
824,59.39
825,59.05
826,59.3
827,59.12
828,59.27
829,58.98
830,58.84
831,59.21
832,59.27
833,58.92
834,58.97
835,59.36
836,59.41
837,59.28
838,59.07
839,59.1
840,59.21
841,58.8
842,59.16
843,59.11
844,59.25
845,59.27
846,59.0
847,59.39
848,59.03
849,59.2
850,59.07
851,58.99
852,58.98
853,59.02
854,59.27
855,58.78
856,59.07
857,58.98
858,59.08
859,59.22
860,59.03
861,59.32
862,59.27
863,59.09
864,59.37
865,59.36
866,59.37
867,59.05
868,59.36
869,58.78
870,59.35
871,58.95
872,58.99
873,59.1
874,59.0
875,59.21
876,59.42
877,59.06
878,59.37
879,59.0
880,59.03
881,59.38
882,59.4
883,59.27
884,58.94
885,58.9
886,59.38
887,59.09
888,59.29
889,59.34
890,58.79
891,59.1
892,59.07
893,59.37
894,59.06
895,58.94
896,59.34
897,58.81
898,59.27
899,59.29
900,59.36
901,58.93
902,59.09
903,58.98
904,59.31
905,59.13
906,59.36
907,59.07
908,59.28
909,59.25
910,59.1
911,59.06
912,59.31
913,59.34
914,59.17
915,59.05
916,59.08
917,58.89
918,59.02
919,59.07
920,59.04
921,58.93
922,59.32
923,59.34
924,59.36
925,59.32
926,58.92
927,59.31
928,59.06
929,59.36
930,58.76
931,59.34
932,59.07
933,59.05
934,58.83
935,58.92
936,59.03
937,59.1
938,59.08
939,59.13
940,58.91
941,59.38
942,58.98
943,59.45
944,58.85
945,59.38
946,58.99
947,59.03
948,58.99
949,59.12
950,59.35
951,58.95
952,59.34
953,59.37
954,59.32
955,59.36
956,59.38
957,58.97
958,59.04
959,59.37
960,59.37
961,59.1
962,59.11
963,59.38
964,59.08
965,58.98
966,59.29
967,59.03
968,59.22
969,59.07
970,59.08
971,59.31
972,59.38
973,59.21
974,59.3
975,58.92
976,59.37
977,58.76
978,59.07
979,59.29
980,59.06
981,59.23
982,59.3
983,58.89
984,59.15
985,59.18
986,59.16
987,59.06
988,59.5
989,59.38
990,59.39
991,59.36
992,59.32
993,59.29
994,59.12
995,59.33
996,59.36
997,59.11
998,59.41
999,59.42
1000,59.09
1001,59.48
1002,59.12
1003,59.25
1004,58.91
1005,59.38
1006,59.31
1007,58.9
1008,59.41
1009,59.34
1010,58.91
1011,59.42
1012,59.0
1013,59.41
1014,59.2
1015,58.76
1016,59.15
1017,59.41
1018,59.11
1019,59.03
1020,59.16
1021,58.89
1022,59.38
1023,59.33
1024,59.2
1025,59.08
1026,59.07
1027,59.29
1028,59.36
1029,59.02
1030,59.1
1031,59.33
1032,58.96
1033,59.55
1034,59.29
1035,59.37
1036,59.5
1037,59.31
1038,59.32
1039,59.31
1040,59.36
1041,59.34
1042,59.35
1043,59.06
1044,59.04
1045,59.37
1046,59.35
1047,59.24
1048,59.36
1049,59.29
1050,59.03
1051,59.15
1052,59.41
1053,58.94
1054,59.27
1055,58.98
1056,58.87
1057,58.79
1058,58.89
1059,58.89
1060,59.11
1061,59.41
1062,59.02
1063,58.95
1064,59.32
1065,59.41
1066,59.33
1067,59.3
1068,59.2
1069,59.05
1070,59.1
1071,58.95
1072,59.39
1073,59.36
1074,58.88
1075,58.81
1076,59.24
1077,58.99
1078,59.01
1079,59.36
1080,59.38
1081,59.09
1082,59.37
1083,59.4
1084,59.42
1085,59.36
1086,58.99
1087,58.94
1088,58.8
1089,59.37
1090,59.36
1091,59.01
1092,59.08
1093,59.36
1094,59.13
1095,59.09
1096,59.37
1097,59.32
1098,58.97
1099,59.35
1100,59.4
1101,59.1
1102,59.38
1103,59.35
1104,59.34
1105,59.02
1106,59.26
1107,58.98
1108,59.37
1109,59.09
1110,58.92
1111,59.47
1112,59.1
1113,59.11
1114,59.42
1115,58.95
1116,59.32
1117,59.23
1118,58.93
1119,59.24
1120,59.35
1121,59.39
1122,59.19
1123,58.89
1124,58.82
1125,59.07
1126,59.15
1127,59.37
1128,58.92
1129,59.14
1130,59.05
1131,59.24
1132,58.9
1133,59.17
1134,59.28
1135,59.06
1136,59.23
1137,59.16
1138,59.39
1139,59.08
1140,59.07
1141,59.06
1142,59.11
1143,59.34
1144,58.88
1145,59.07
1146,59.03
1147,59.38
1148,59.04
1149,59.38
1150,59.31
1151,58.78
1152,58.99
1153,59.28
1154,58.73
1155,59.05
1156,58.87
1157,58.93
1158,59.36
1159,59.1
1160,59.08
1161,59.32
1162,59.39
1163,59.04
1164,59.37
1165,59.31
1166,59.09
1167,59.25
1168,59.01
1169,59.33
1170,59.36
1171,59.1
1172,59.11
1173,59.0
1174,59.32
1175,59.29
1176,58.92
1177,59.11
1178,59.23
1179,59.08
1180,59.41
1181,58.98
1182,59.35
1183,59.32
1184,59.16
1185,59.08
1186,58.99
1187,59.45
1188,59.42
1189,58.97
1190,59.02
1191,59.29
1192,59.36
1193,59.36
1194,59.12
1195,59.32
1196,59.2
1197,59.13
1198,59.33
1199,59.25
1200,59.38
1201,59.4
1202,59.37
1203,58.95
1204,59.3
1205,59.36
1206,59.34
1207,59.3
1208,59.09
1209,59.0
1210,59.13
1211,59.14
1212,58.8
1213,59.37
1214,59.36
1215,59.0
1216,58.99
1217,58.99
1218,59.0
1219,59.16
1220,59.09
1221,59.32
1222,58.95
1223,59.36
1224,59.24
1225,59.38
1226,59.43
1227,59.43
1228,59.35
1229,59.01
1230,59.12
1231,59.02
1232,59.05
1233,59.0
1234,58.99
1235,59.06
1236,59.35
1237,59.3
1238,58.96
1239,59.35
1240,59.26
1241,58.98
1242,59.02
1243,59.09
1244,58.86
1245,58.93
1246,59.04
1247,59.0
1248,59.23
1249,59.39
1250,59.31
1251,59.32
1252,59.33
1253,59.35
1254,59.07
1255,59.32
1256,59.3
1257,59.33
1258,59.36
1259,59.18
1260,59.33
1261,58.78
1262,59.34
1263,59.31
1264,59.2
1265,59.12
1266,59.38
1267,59.36
1268,59.39
1269,58.92
1270,59.27
1271,58.89
1272,59.42
1273,59.34
1274,59.44
1275,59.37
1276,59.39
1277,59.38
1278,59.09
1279,59.08
1280,59.42
1281,59.31
1282,58.92
1283,59.15
1284,59.33
1285,58.79
1286,59.35
1287,58.87
1288,59.37
1289,58.94
1290,59.35
1291,59.31
1292,59.35
1293,59.02
1294,59.21
1295,58.96
1296,59.28
1297,59.33
1298,59.34
1299,59.33
1300,59.05
1301,59.31
1302,59.35
1303,59.41
1304,59.41
1305,59.41
1306,58.73
1307,59.38
1308,59.34
1309,59.31
1310,59.09
1311,59.29
1312,59.36
1313,59.28
1314,58.99
1315,59.26
1316,59.26
1317,59.39
1318,58.86
1319,59.3
1320,59.23
1321,59.29
1322,59.38
1323,59.39
1324,59.36
1325,59.36
1326,59.15
1327,59.04
1328,58.75
1329,58.87
1330,59.15
1331,59.38
1332,59.19
1333,58.98
1334,59.37
1335,59.32
1336,59.25
1337,58.94
1338,59.03
