row_index,WROT.CptVolLow.Bl2
1,29.82
2,29.76
3,29.86
4,29.8
5,29.5
6,29.79
7,29.84
8,29.32
9,29.8
10,29.85
11,29.82
12,29.44
13,29.84
14,29.8
15,29.87
16,29.88
17,29.42
18,29.8
19,29.46
20,29.89
21,29.78
22,29.78
23,29.81
24,29.85
25,29.84
26,29.86
27,29.86
28,29.77
29,29.83
30,29.81
31,29.76
32,29.88
33,29.88
34,29.83
35,29.45
36,29.83
37,29.82
38,29.5
39,29.75
40,29.78
41,29.4
42,29.46
43,29.34
44,29.79
45,29.59
46,29.81
47,29.89
48,29.41
49,29.38
50,29.64
51,29.91
52,29.39
53,29.84
54,29.32
55,29.81
56,29.34
57,29.89
58,29.34
59,29.38
60,29.88
61,29.39
62,29.33
63,29.34
64,29.41
65,29.39
66,29.81
67,29.66
68,29.82
69,29.81
70,29.77
71,29.53
72,29.83
73,29.45
74,29.78
75,29.89
76,29.9
77,29.88
78,29.9
79,29.35
80,29.35
81,29.9
82,29.87
83,29.88
84,29.19
85,29.87
86,29.4
87,29.86
88,29.41
89,29.72
90,29.83
91,29.89
92,29.62
93,29.38
94,29.62
95,29.87
96,29.44
97,29.39
98,29.26
99,29.83
100,29.66
101,29.8
102,29.39
103,29.75
104,29.32
105,29.88
106,29.72
107,29.77
108,29.86
109,29.34
110,29.85
111,29.47
112,29.86
113,29.44
114,29.35
115,29.4
116,29.76
117,29.8
118,29.43
119,29.12
120,29.56
121,29.85
122,29.84
123,29.4
124,29.78
125,29.83
126,29.83
127,29.79
128,29.41
129,29.76
130,29.38
131,29.48
132,29.36
133,29.78
134,29.76
135,29.48
136,29.81
137,29.78
138,29.69
139,29.83
140,29.79
141,29.5
142,29.39
143,29.45
144,29.51
145,29.46
146,29.44
147,29.61
148,29.82
149,29.87
150,29.41
151,29.44
152,29.86
153,29.43
154,29.79
155,29.92
156,29.37
157,29.82
158,29.45
159,29.76
160,29.8
161,29.82
162,29.49
163,29.8
164,29.41
165,29.33
166,29.77
167,29.77
168,29.8
169,29.42
170,29.4
171,29.8
172,29.82
173,29.38
174,29.76
175,29.91
176,29.83
177,29.36
178,29.83
179,29.34
180,29.84
181,29.85
182,29.89
183,29.92
184,29.91
185,29.88
186,29.63
187,29.88
188,29.47
189,29.48
190,29.8
191,29.85
192,29.42
193,29.49
194,29.4
195,29.81
196,29.42
197,29.4
198,29.74
199,29.82
200,29.83
201,29.39
202,29.61
203,29.44
204,29.76
205,29.61
206,29.79
207,29.48
208,29.39
209,29.48
210,29.39
211,29.73
212,29.8
213,29.85
214,29.9
215,29.88
216,29.89
217,29.84
218,29.89
219,29.71
220,29.4
221,29.78
222,29.34
223,29.86
224,29.47
225,29.53
226,29.82
227,29.83
