row_index,WROT.PtPwSupDCLow.Bl3
1,0.11
2,0.07
3,0.08
4,0.05
5,-0.33
6,-0.05
7,-0.1
8,-0.31
9,-0.28
10,-0.23
11,0.56
12,-0.29
13,0.39
14,0.64
15,0.56
16,0.19
17,-0.49
18,0.48
19,-0.23
20,0.56
21,0.56
22,-0.04
23,-0.23
24,0.08
25,0.14
26,0.13
27,-0.44
28,-0.31
29,-0.16
30,0.54
31,0.55
32,-0.22
33,-0.33
34,0.17
35,0.54
36,-0.24
37,0.47
38,-0.47
39,0.14
40,-0.16
41,-0.21
42,0.51
43,0.53
44,0.56
45,-0.2
46,-0.22
47,0.56
48,0.59
49,0.29
50,-0.22
51,-0.19
52,0.6
53,0.06
54,0.6
55,-0.21
56,0.47
57,0.06
58,-0.21
59,0.57
60,-0.35
61,-0.4
62,0.65
63,0.64
64,0.02
65,0.03
66,-0.22
67,0.36
68,-0.29
69,0.61
70,-0.41
71,0.57
72,-0.22
73,0.48
74,0.56
75,0.3
76,-0.19
77,-0.19
78,-0.22
79,-0.25
80,-0.22
81,-0.21
82,-0.17
83,-0.04
84,0.63
85,0.36
86,0.65
87,-0.2
88,0.45
89,-0.05
90,0.12
91,0.55
92,0.4
93,-0.21
94,0.12
95,-0.19
96,-0.48
97,0.66
98,0.59
99,0.62
100,-0.16
101,-0.15
102,0.49
103,-0.24
104,0.58
105,-0.36
106,-0.2
107,0.0
108,0.52
109,0.61
110,-0.17
111,0.62
112,-0.21
113,-0.03
114,-0.28
115,0.49
116,-0.12
117,0.17
118,0.55
119,0.07
120,0.19
121,-0.25
122,0.02
123,0.53
124,-0.16
125,-0.2
126,-0.04
127,0.21
128,-0.5
129,-0.15
130,0.23
131,0.55
132,-0.47
133,-0.16
134,0.65
135,0.65
136,0.07
137,0.24
138,-0.1
139,0.0
140,0.48
141,0.65
142,0.5
143,0.49
144,-0.29
145,0.12
146,0.37
147,0.61
148,0.39
149,-0.55
150,0.57
151,0.57
152,-0.23
153,-0.2
154,0.57
155,-0.16
156,0.08
157,0.07
158,0.53
159,0.65
160,0.62
161,-0.18
162,0.04
163,0.0
164,0.03
165,0.4
166,-0.13
167,0.22
168,0.62
169,-0.29
170,0.03
171,-0.59
172,0.07
173,0.19
174,-0.18
175,-0.33
176,-0.44
177,-0.1
178,0.38
179,0.53
180,-0.4
181,-0.22
182,-0.23
183,-0.22
184,-0.17
185,-0.18
186,-0.39
187,0.28
188,0.61
189,0.19
190,0.01
191,-0.16
192,0.65
193,0.64
194,-0.19
195,0.54
196,0.01
197,0.59
198,-0.19
199,0.06
200,-0.33
201,-0.08
202,-0.22
203,0.08
204,-0.11
205,-0.25
206,-0.33
207,0.61
208,0.63
209,0.05
210,0.56
211,0.55
212,0.66
213,0.38
214,0.65
215,0.25
216,0.23
217,0.66
218,0.56
219,0.62
220,0.0
221,0.56
222,0.54
223,-0.24
224,0.22
225,0.47
226,0.62
227,-0.29
228,-0.1
229,-0.3
230,0.57
231,0.47
232,-0.14
233,0.6
234,0.54
235,-0.25
236,-0.26
237,0.01
238,0.19
239,-0.39
240,0.37
241,0.57
242,0.02
243,0.61
244,0.49
245,-0.09
246,-0.4
247,0.39
248,0.06
249,-0.05
250,-0.25
251,0.6
252,-0.23
253,-0.18
254,0.5
255,0.02
256,0.56
257,0.5
258,0.5
259,-0.19
260,0.37
261,-0.09
262,-0.2
263,-0.22
264,-0.57
265,-0.2
266,-0.12
267,0.12
268,-0.43
269,-0.12
270,0.25
271,-0.15
272,-0.47
273,0.6
274,-0.12
275,0.02
276,-0.18
277,-0.01
278,-0.13
279,-0.04
280,0.02
281,-0.22
282,-0.06
283,0.05
284,0.6
285,-0.25
286,-0.18
287,0.46
288,-0.22
289,0.0
290,-0.21
291,-0.2
292,-0.18
293,-0.14
294,0.0
295,-0.21
296,0.56
297,0.01
298,-0.48
299,0.24
300,0.08
301,-0.24
302,0.54
303,-0.35
304,0.61
305,0.53
306,-0.09
307,-0.46
308,0.07
309,0.52
310,0.56
311,0.49
312,0.21
313,-0.23
314,0.47
315,0.51
316,0.49
317,0.49
318,0.46
319,0.48
320,-0.04
321,-0.19
322,0.11
323,0.63
324,-0.25
325,-0.02
326,0.55
327,-0.22
328,-0.01
329,0.08
330,-0.24
331,-0.46
332,0.39
333,0.54
334,0.44
335,-0.16
336,-0.24
337,0.3
338,0.29
339,0.19
340,0.17
341,0.21
342,-0.22
343,-0.09
344,0.6
345,-0.13
346,-0.36
347,0.6
348,0.36
349,0.64
350,0.5
351,-0.04
352,-0.27
353,-0.51
354,0.64
355,-0.03
356,-0.24
357,-0.32
358,-0.19
359,0.56
360,0.0
361,0.55
362,0.1
363,0.24
364,0.42
365,0.13
366,-0.14
367,-0.2
368,0.46
369,0.48
370,0.38
371,0.04
372,0.61
373,-0.16
374,0.49
375,0.42
376,0.23
377,0.53
378,-0.24
379,0.14
380,0.3
381,-0.25
382,0.54
383,0.44
384,0.57
