row_index,WCNV.Conver_setup_igbt2
1,27.42
2,27.42
3,27.42
4,27.42
5,27.42
6,27.42
7,27.42
8,27.42
9,27.42
10,27.42
11,27.42
12,27.42
13,27.42
14,27.42
15,27.42
16,27.47
17,27.37
18,27.42
19,27.47
20,27.42
21,27.47
22,27.42
23,27.47
24,27.42
25,27.47
26,27.42
27,27.42
28,27.42
29,27.42
30,27.42
31,27.42
32,27.42
33,27.42
34,27.42
35,27.42
36,27.42
37,27.42
38,27.42
39,27.47
40,27.42
41,27.42
42,27.42
43,27.42
44,27.42
45,27.42
46,27.47
47,27.42
48,27.47
49,27.42
50,27.42
51,27.47
52,27.42
53,27.42
54,27.42
55,27.47
56,27.42
57,27.47
58,27.42
59,27.47
60,27.42
61,27.37
62,27.47
63,27.42
64,27.42
65,27.47
66,27.47
67,27.42
68,27.47
69,27.47
70,27.47
71,27.47
72,27.47
73,27.47
74,27.47
75,27.42
76,27.42
77,27.42
78,27.42
79,27.42
80,27.47
81,27.42
82,27.42
83,27.47
84,27.47
85,27.42
86,27.42
87,27.42
88,27.42
89,27.47
90,27.42
91,27.47
92,27.47
93,27.47
94,27.47
95,27.47
96,27.47
97,27.47
98,27.42
99,27.47
100,27.47
101,27.47
102,27.42
103,27.47
104,27.42
105,27.47
106,27.47
107,27.47
108,27.42
109,27.47
110,27.42
111,27.47
112,27.47
113,27.47
114,27.47
115,27.47
116,27.47
117,27.47
118,27.42
119,27.42
120,27.47
121,27.42
122,27.42
123,27.42
124,27.42
125,27.42
126,27.42
127,27.42
128,27.42
129,27.42
130,27.37
131,27.47
132,27.47
133,27.42
134,27.42
135,27.47
136,27.42
137,27.42
138,27.47
139,27.47
140,27.42
141,27.42
142,27.47
143,27.47
144,27.47
145,27.42
146,27.47
147,27.47
148,27.42
149,27.42
150,27.47
151,27.42
152,27.42
153,27.47
154,27.47
155,27.42
156,27.42
157,27.42
158,27.42
159,27.47
160,27.47
161,27.42
162,27.42
163,27.42
164,27.42
165,27.47
166,27.42
167,27.42
168,27.47
169,27.42
170,27.42
171,27.42
172,27.47
173,27.47
174,27.42
175,27.47
176,27.42
177,27.47
178,27.47
179,27.47
180,27.42
181,27.47
182,27.42
183,27.42
184,27.47
185,27.47
186,27.47
187,27.42
188,27.42
189,27.47
190,27.42
191,27.47
192,27.47
193,27.37
194,27.47
195,27.42
196,27.47
197,27.47
198,27.42
199,27.42
200,27.47
201,27.47
202,27.47
203,27.47
204,27.47
205,27.42
206,27.42
207,27.42
208,27.42
209,27.42
210,27.42
211,27.47
212,27.42
213,27.42
214,27.42
215,27.42
216,27.47
217,27.42
218,27.47
219,27.47
220,27.42
221,27.47
222,27.37
223,27.42
224,27.47
225,27.47
226,27.42
227,27.47
228,27.47
229,27.47
230,27.42
231,27.42
232,27.47
233,27.42
234,27.42
235,27.47
236,27.42
237,27.47
238,27.47
239,27.42
240,27.47
241,27.47
242,27.42
243,27.42
244,27.42
245,27.42
246,27.42
247,27.47
248,27.47
249,27.47
250,27.42
251,27.42
252,27.42
253,27.47
254,27.47
255,27.42
256,27.47
257,27.42
258,27.47
259,27.47
260,27.42
