row_index,WCNV.Conver_chopper_igbt_temp
1,27.61
2,27.66
3,27.66
4,27.61
5,27.66
6,27.66
7,27.61
8,27.61
9,27.61
10,27.66
11,27.61
12,27.66
13,27.66
14,27.61
15,27.61
16,27.61
17,27.66
18,27.61
19,27.66
20,27.66
21,27.66
22,27.61
23,27.61
24,27.61
25,27.66
26,27.61
27,27.66
28,27.66
29,27.61
30,27.61
31,27.66
32,27.61
33,27.66
34,27.61
35,27.66
36,27.61
37,27.66
38,27.66
39,27.61
40,27.61
41,27.66
42,27.61
43,27.61
44,27.61
45,27.66
46,27.66
47,27.66
48,27.61
49,27.61
50,27.61
51,27.61
52,27.61
53,27.66
54,27.66
55,27.66
56,27.66
57,27.66
58,27.66
59,27.66
60,27.66
61,27.61
62,27.61
63,27.61
64,27.61
65,27.66
66,27.66
67,27.66
68,27.66
69,27.61
70,27.66
71,27.61
72,27.66
73,27.66
74,27.66
75,27.66
76,27.66
77,27.66
78,27.66
79,27.66
80,27.61
81,27.66
82,27.66
83,27.66
84,27.66
85,27.66
86,27.66
87,27.66
88,27.66
89,27.61
90,27.66
91,27.61
92,27.66
93,27.66
94,27.66
95,27.66
96,27.66
97,27.66
98,27.66
99,27.66
100,27.66
101,27.61
102,27.66
103,27.66
104,27.61
105,27.66
106,27.66
107,27.66
108,27.66
109,27.61
110,27.66
111,27.61
112,27.66
113,27.66
114,27.66
115,27.66
116,27.66
117,27.66
118,27.66
119,27.66
120,27.61
121,27.66
122,27.66
123,27.66
124,27.61
125,27.66
126,27.66
127,27.61
128,27.66
129,27.66
130,27.61
131,27.66
132,27.66
133,27.66
134,27.61
135,27.66
136,27.66
137,27.66
138,27.66
139,27.61
140,27.61
141,27.66
142,27.66
143,27.61
144,27.61
145,27.66
146,27.66
147,27.66
148,27.66
149,27.61
150,27.66
151,27.61
152,27.66
153,27.66
154,27.66
155,27.66
156,27.66
157,27.66
158,27.61
159,27.66
160,27.66
161,27.61
162,27.61
163,27.66
164,27.66
165,27.66
166,27.61
167,27.66
168,27.61
169,27.66
170,27.66
171,27.61
172,27.61
173,27.66
174,27.61
175,27.66
176,27.66
177,27.66
178,27.66
179,27.66
180,27.61
181,27.66
182,27.61
183,27.66
184,27.66
185,27.61
186,27.61
187,27.61
188,27.66
189,27.66
190,27.66
191,27.61
192,27.66
193,27.66
194,27.66
195,27.61
196,27.61
197,27.66
198,27.66
199,27.66
200,27.66
201,27.66
202,27.66
203,27.66
204,27.66
205,27.66
206,27.66
207,27.66
208,27.66
209,27.66
210,27.61
211,27.61
212,27.66
213,27.66
214,27.66
215,27.61
216,27.66
217,27.66
218,27.61
219,27.66
220,27.66
221,27.66
222,27.66
223,27.61
224,27.66
225,27.66
226,27.66
227,27.66
228,27.66
229,27.66
230,27.61
231,27.66
232,27.66
233,27.61
234,27.66
235,27.61
236,27.66
237,27.66
238,27.66
239,27.61
240,27.61
241,27.66
242,27.61
243,27.66
244,27.66
245,27.66
246,27.66
247,27.61
248,27.61
249,27.66
250,27.61
251,27.66
252,27.61
253,27.66
254,27.61
255,27.66
256,27.66
257,27.66
258,27.66
259,27.66
260,27.66
261,27.61
262,27.61
263,27.61
264,27.66
265,27.61
266,27.66
267,27.61
268,27.66
269,27.66
270,27.66
271,27.66
272,27.61
273,27.61
274,27.66
275,27.66
276,27.66
277,27.66
278,27.66
279,27.61
280,27.66
281,27.66
282,27.66
283,27.66
284,27.66
285,27.61
286,27.61
287,27.66
288,27.66
289,27.66
290,27.61
291,27.61
292,27.66
293,27.61
294,27.61
295,27.66
296,27.61
297,27.66
298,27.61
299,27.66
300,27.66
301,27.66
302,27.66
303,27.66
304,27.66
305,27.66
306,27.66
307,27.66
308,27.66
309,27.66
310,27.66
311,27.61
312,27.66
313,27.66
314,27.71
315,27.61
316,27.66
317,27.66
318,27.66
319,27.66
320,27.61
321,27.66
322,27.66
323,27.66
324,27.66
325,27.66
326,27.61
327,27.66
328,27.66
329,27.66
330,27.66
331,27.61
332,27.66
333,27.66
334,27.61
335,27.66
336,27.61
337,27.66
338,27.66
339,27.66
340,27.61
341,27.66
342,27.66
343,27.66
344,27.66
345,27.66
346,27.66
347,27.66
348,27.66
349,27.66
350,27.66
351,27.56
352,27.66
353,27.66
354,27.66
355,27.61
356,27.66
357,27.61
358,27.66
359,27.66
360,27.66
361,27.61
362,27.61
363,27.71
364,27.66
365,27.66
366,27.61
367,27.66
368,27.61
369,27.61
370,27.66
371,27.66
372,27.61
373,27.66
374,27.66
375,27.61
376,27.66
377,27.66
378,27.66
379,27.66
380,27.66
381,27.61
382,27.66
383,27.61
384,27.66
385,27.66
386,27.61
387,27.66
388,27.66
389,27.66
390,27.61
391,27.66
392,27.66
393,27.61
394,27.66
395,27.61
396,27.66
397,27.61
398,27.66
399,27.66
400,27.61
401,27.66
402,27.61
403,27.66
404,27.61
405,27.66
406,27.66
407,27.61
408,27.61
409,27.66
410,27.66
411,27.66
412,27.66
413,27.66
414,27.61
415,27.66
416,27.66
417,27.66
418,27.66
419,27.66
420,27.66
421,27.66
422,27.66
423,27.66
424,27.66
425,27.61
426,27.66
427,27.66
428,27.66
429,27.61
430,27.66
431,27.66
432,27.61
433,27.66
434,27.66
435,27.66
436,27.61
437,27.66
438,27.66
439,27.66
440,27.66
441,27.61
442,27.61
443,27.61
444,27.66
445,27.66
446,27.66
447,27.61
448,27.66
449,27.56
450,27.66
451,27.71
452,27.66
453,27.61
454,27.66
455,27.66
456,27.61
457,27.66
458,27.61
459,27.66
460,27.66
461,27.66
462,27.66
463,27.61
464,27.66
465,27.66
466,27.61
467,27.66
468,27.61
469,27.66
470,27.66
471,27.66
472,27.66
473,27.66
474,27.61
