row_index,WGEN.Conver_grid_L1a_igbt_Tep.i
1,27.47
2,27.56
3,27.56
4,27.56
5,27.47
6,27.47
7,27.47
8,27.56
9,27.47
10,27.56
11,27.56
12,27.56
13,27.56
14,27.56
15,27.56
16,27.56
17,27.56
18,27.56
19,27.56
20,27.56
21,27.56
22,27.56
23,27.47
24,27.56
25,27.47
26,27.47
27,27.56
28,27.56
29,27.47
30,27.47
31,27.47
32,27.56
33,27.56
34,27.56
35,27.47
36,27.56
37,27.47
38,27.47
39,27.56
40,27.42
41,27.47
42,27.47
43,27.56
44,27.61
45,27.56
46,27.47
47,27.56
48,27.56
49,27.56
50,27.47
51,27.56
52,27.47
53,27.56
54,27.56
55,27.56
56,27.42
57,27.56
58,27.47
59,27.56
60,27.56
61,27.56
62,27.56
63,27.56
64,27.47
65,27.47
66,27.47
67,27.47
68,27.56
69,27.56
70,27.47
71,27.56
72,27.47
73,27.56
74,27.56
75,27.56
76,27.47
77,27.56
78,27.56
79,27.47
80,27.56
81,27.56
82,27.47
83,27.47
84,27.47
85,27.47
86,27.47
87,27.56
88,27.56
89,27.47
90,27.56
91,27.61
92,27.56
93,27.47
94,27.56
95,27.56
96,27.47
97,27.56
98,27.47
99,27.56
100,27.56
101,27.56
102,27.56
103,27.47
104,27.47
105,27.47
106,27.47
107,27.56
108,27.56
109,27.47
110,27.56
111,27.56
112,27.56
113,27.56
114,27.56
115,27.56
116,27.47
117,27.56
118,27.47
119,27.56
120,27.56
121,27.47
122,27.47
123,27.47
124,27.56
125,27.47
126,27.56
127,27.47
128,27.56
129,27.47
130,27.47
131,27.47
132,27.56
133,27.56
134,27.56
135,27.56
136,27.47
137,27.47
138,27.56
139,27.56
140,27.56
141,27.56
142,27.47
143,27.47
144,27.47
145,27.56
146,27.47
147,27.56
148,27.47
149,27.56
150,27.56
151,27.56
152,27.47
153,27.56
154,27.56
155,27.47
156,27.47
157,27.56
158,27.56
159,27.47
160,27.47
161,27.56
162,27.47
163,27.47
164,27.56
165,27.47
166,27.47
167,27.47
168,27.47
169,27.56
170,27.47
171,27.56
172,27.47
173,27.47
174,27.47
175,27.47
176,27.56
177,27.56
178,27.56
179,27.56
180,27.56
181,27.56
182,27.56
183,27.56
184,27.56
185,27.56
186,27.47
187,27.56
188,27.47
189,27.47
190,27.56
191,27.56
192,27.47
193,27.56
194,27.56
195,27.56
196,27.47
197,27.56
198,27.47
199,27.56
200,27.56
201,27.56
202,27.56
203,27.56
204,27.56
205,27.47
206,27.56
207,27.56
208,27.56
209,27.56
210,27.56
211,27.47
212,27.47
213,27.47
214,27.56
215,27.47
216,27.47
217,27.56
218,27.56
219,27.47
220,27.47
221,27.56
222,27.56
223,27.56
224,27.47
225,27.56
226,27.56
227,27.56
228,27.56
229,27.47
230,27.56
231,27.56
232,27.56
233,27.47
234,27.47
235,27.56
236,27.56
237,27.56
238,27.56
239,27.47
240,27.47
241,27.56
242,27.56
243,27.56
244,27.56
245,27.47
246,27.47
247,27.56
248,27.47
249,27.47
250,27.56
251,27.56
252,27.47
253,27.56
254,27.47
255,27.56
256,27.47
257,27.56
258,27.56
259,27.56
260,27.56
261,27.47
262,27.56
263,27.56
264,27.56
265,27.56
266,27.56
267,27.47
268,27.56
269,27.56
270,27.47
271,27.56
272,27.56
273,27.47
274,27.47
275,27.56
276,27.56
277,27.47
278,27.56
279,27.56
280,27.56
281,27.56
282,27.56
283,27.47
284,27.47
285,27.56
286,27.56
287,27.56
288,27.47
289,27.56
290,27.56
291,27.56
292,27.56
293,27.47
294,27.56
295,27.56
296,27.56
297,27.56
298,27.47
299,27.56
300,27.47
301,27.47
302,27.56
303,27.56
304,27.56
305,27.56
306,27.47
307,27.56
308,27.56
309,27.56
310,27.56
311,27.47
312,27.56
313,27.56
314,27.47
315,27.56
316,27.47
317,27.56
318,27.56
319,27.56
320,27.47
321,27.56
322,27.56
323,27.56
324,27.47
325,27.56
326,27.56
327,27.56
328,27.47
329,27.61
330,27.47
331,27.47
332,27.47
333,27.56
334,27.47
335,27.56
336,27.47
337,27.56
338,27.47
339,27.47
340,27.47
341,27.47
342,27.56
343,27.47
344,27.56
345,27.56
346,27.56
347,27.56
348,27.56
349,27.56
350,27.56
351,27.47
352,27.47
353,27.56
354,27.56
355,27.47
356,27.56
357,27.56
358,27.56
359,27.56
360,27.56
361,27.47
362,27.56
363,27.56
364,27.47
365,27.56
366,27.47
367,27.56
368,27.47
369,27.47
370,27.56
371,27.47
372,27.56
373,27.56
374,27.56
375,27.47
376,27.47
377,27.56
378,27.56
379,27.47
380,27.47
381,27.47
382,27.56
383,27.56
384,27.47
385,27.47
386,27.56
387,27.56
388,27.56
389,27.47
390,27.47
391,27.47
392,27.47
393,27.56
394,27.47
395,27.47
396,27.56
397,27.56
398,27.56
399,27.56
400,27.47
401,27.47
402,27.47
403,27.47
404,27.47
405,27.56
406,27.56
407,27.47
408,27.47
409,27.56
410,27.56
411,27.47
412,27.47
413,27.56
414,27.47
415,27.47
416,27.47
417,27.56
418,27.56
419,27.47
420,27.56
421,27.47
422,27.56
423,27.56
424,27.56
425,27.47
426,27.56
427,27.56
428,27.47
429,27.56
430,27.56
431,27.56
432,27.47
433,27.47
434,27.47
435,27.47
436,27.47
437,27.47
438,27.47
439,27.56
440,27.56
441,27.56
442,27.47
443,27.47
444,27.47
445,27.47
446,27.56
447,27.47
448,27.47
449,27.47
450,27.56
451,27.47
452,27.47
453,27.47
454,27.47
455,27.47
456,27.56
457,27.56
458,27.47
459,27.47
460,27.47
461,27.56
462,27.56
463,27.47
464,27.56
465,27.56
466,27.56
467,27.56
468,27.56
469,27.56
470,27.47
471,27.47
472,27.56
473,27.56
474,27.47
475,27.56
476,27.56
477,27.56
478,27.47
479,27.56
480,27.47
481,27.56
482,27.47
483,27.47
484,27.47
485,27.56
486,27.47
487,27.47
488,27.56
489,27.47
490,27.47
491,27.47
492,27.47
493,27.47
494,27.47
495,27.56
496,27.56
497,27.56
498,27.47
499,27.56
500,27.56
501,27.47
502,27.56
503,27.56
504,27.56
505,27.56
506,27.56
507,27.56
508,27.56
509,27.47
510,27.56
511,27.56
512,27.47
513,27.47
514,27.47
515,27.56
516,27.56
517,27.47
518,27.47
519,27.56
520,27.47
521,27.56
522,27.56
523,27.56
524,27.56
525,27.56
526,27.56
527,27.47
528,27.47
529,27.56
530,27.56
531,27.56
532,27.56
533,27.56
534,27.56
535,27.47
536,27.47
537,27.56
538,27.56
539,27.47
540,27.47
541,27.47
542,27.56
543,27.47
544,27.56
545,27.56
546,27.56
547,27.47
548,27.56
549,27.47
550,27.56
551,27.56
552,27.56
553,27.56
554,27.56
555,27.56
556,27.47
557,27.56
558,27.56
559,27.47
560,27.56
561,27.56
562,27.56
563,27.47
564,27.56
565,27.47
566,27.56
567,27.47
568,27.47
569,27.56
570,27.56
571,27.47
572,27.47
573,27.56
574,27.56
575,27.47
576,27.56
577,27.56
578,27.56
579,27.47
580,27.56
581,27.56
582,27.56
583,27.56
584,27.56
585,27.56
586,27.56
587,27.56
588,27.56
589,27.56
590,27.56
591,27.56
592,27.56
593,27.56
594,27.56
595,27.56
596,27.56
597,27.56
598,27.56
599,27.56
600,27.56
601,27.56
602,27.47
603,27.56
604,27.56
605,27.56
606,27.56
607,27.56
608,27.56
609,27.47
610,27.56
611,27.47
612,27.56
613,27.56
614,27.47
615,27.56
616,27.61
617,27.56
618,27.56
619,27.47
620,27.47
621,27.56
622,27.56
623,27.47
624,27.56
625,27.56
626,27.47
627,27.56
628,27.56
629,27.47
630,27.47
631,27.56
632,27.56
633,27.56
634,27.56
635,27.56
636,27.47
637,27.47
638,27.56
639,27.61
640,27.56
641,27.47
642,27.56
643,27.47
644,27.47
645,27.47
646,27.47
647,27.56
648,27.47
649,27.47
650,27.56
651,27.47
652,27.56
653,27.56
654,27.47
655,27.47
656,27.47
657,27.56
658,27.47
659,27.56
660,27.47
661,27.56
662,27.56
663,27.56
664,27.47
665,27.56
666,27.47
667,27.56
668,27.47
669,27.56
670,27.56
671,27.56
672,27.56
673,27.47
674,27.47
675,27.56
676,27.56
677,27.56
678,27.47
679,27.47
680,27.56
681,27.42
682,27.47
683,27.56
684,27.47
685,27.56
686,27.47
687,27.47
688,27.56
689,27.56
690,27.56
691,27.56
692,27.56
693,27.56
694,27.56
695,27.47
696,27.47
697,27.47
698,27.56
699,27.56
700,27.56
701,27.47
702,27.56
703,27.47
704,27.56
705,27.47
706,27.56
707,27.56
708,27.61
709,27.56
710,27.47
711,27.56
712,27.56
713,27.56
714,27.56
715,27.56
716,27.61
717,27.56
718,27.56
719,27.56
720,27.47
721,27.56
722,27.56
723,27.56
724,27.47
725,27.56
726,27.56
727,27.56
728,27.56
729,27.56
730,27.56
731,27.56
732,27.56
733,27.47
734,27.47
735,27.56
736,27.56
737,27.47
738,27.56
739,27.56
740,27.56
741,27.56
742,27.47
743,27.61
744,27.47
745,27.56
746,27.56
747,27.56
748,27.56
749,27.56
750,27.56
751,27.56
752,27.56
753,27.47
754,27.47
755,27.56
756,27.47
757,27.47
758,27.56
759,27.47
760,27.47
761,27.56
762,27.56
763,27.56
764,27.56
765,27.56
766,27.47
767,27.56
768,27.56
769,27.47
770,27.56
771,27.47
772,27.56
773,27.56
774,27.56
775,27.56
776,27.47
777,27.47
778,27.56
779,27.56
780,27.47
781,27.56
782,27.56
783,27.47
784,27.56
785,27.56
786,27.47
787,27.47
788,27.47
789,27.56
790,27.56
791,27.56
792,27.56
793,27.56
794,27.56
795,27.56
796,27.47
797,27.47
798,27.56
799,27.47
800,27.56
801,27.47
802,27.56
803,27.47
804,27.47
805,27.56
806,27.56
807,27.56
808,27.56
809,27.56
810,27.56
811,27.47
