row_index,WGEN.Conver_grid_L3b_igbt_Tep.i
1,27.66
2,27.66
3,27.71
4,27.66
5,27.61
6,27.66
7,27.61
8,27.66
9,27.66
10,27.61
11,27.66
12,27.66
13,27.61
14,27.61
15,27.66
16,27.66
17,27.66
18,27.61
19,27.66
20,27.66
21,27.66
22,27.66
23,27.66
24,27.66
25,27.66
26,27.66
27,27.66
28,27.66
29,27.61
30,27.61
31,27.66
32,27.66
33,27.66
34,27.61
35,27.66
36,27.61
37,27.61
38,27.66
39,27.61
40,27.61
41,27.66
42,27.66
43,27.61
44,27.66
45,27.61
46,27.66
47,27.66
48,27.66
49,27.61
50,27.66
51,27.61
52,27.66
53,27.61
54,27.61
55,27.66
56,27.66
57,27.66
58,27.66
59,27.66
60,27.66
61,27.66
62,27.66
63,27.56
64,27.66
65,27.71
66,27.61
67,27.66
68,27.66
69,27.66
70,27.61
71,27.66
72,27.66
73,27.61
74,27.66
75,27.66
76,27.66
77,27.66
78,27.71
79,27.66
80,27.66
81,27.66
82,27.66
83,27.61
84,27.66
85,27.66
86,27.66
87,27.61
88,27.66
89,27.61
90,27.66
91,27.66
92,27.66
93,27.61
94,27.66
95,27.66
96,27.66
97,27.66
98,27.66
99,27.66
100,27.66
101,27.66
102,27.66
103,27.66
104,27.66
105,27.66
106,27.66
107,27.66
108,27.66
109,27.71
110,27.66
111,27.66
112,27.61
113,27.66
114,27.71
115,27.71
116,27.71
117,27.66
118,27.66
119,27.66
120,27.66
121,27.66
122,27.71
123,27.61
124,27.61
125,27.66
126,27.66
127,27.66
128,27.66
129,27.66
130,27.61
131,27.66
132,27.61
133,27.66
134,27.61
135,27.66
136,27.66
137,27.66
138,27.66
139,27.71
140,27.66
141,27.66
142,27.66
143,27.61
144,27.71
145,27.66
146,27.66
147,27.61
148,27.61
149,27.66
150,27.66
151,27.66
152,27.66
153,27.66
154,27.66
155,27.66
156,27.66
157,27.66
158,27.71
159,27.61
160,27.61
161,27.71
162,27.66
163,27.61
164,27.61
165,27.61
166,27.66
167,27.61
168,27.66
169,27.66
170,27.66
171,27.71
172,27.71
173,27.61
174,27.66
175,27.66
