row_index,WGEN.Conver_grid_igbt_Tep.Max.f
1,27.71
2,27.71
3,27.71
4,27.71
5,27.71
6,27.81
7,27.66
8,27.71
9,27.71
10,27.66
11,27.71
12,27.81
13,27.71
14,27.71
15,27.71
16,27.71
17,27.81
18,27.71
19,27.81
20,27.71
21,27.71
22,27.66
23,27.71
24,27.71
25,27.71
26,27.71
27,27.81
28,27.71
29,27.71
30,27.71
31,27.71
32,27.66
33,27.71
34,27.71
35,27.71
36,27.71
37,27.71
38,27.71
39,27.71
40,27.66
41,27.71
42,27.71
43,27.71
44,27.71
45,27.66
46,27.71
47,27.71
48,27.66
49,27.71
50,27.71
51,27.71
52,27.66
53,27.71
54,27.71
55,27.81
56,27.81
57,27.81
58,27.71
59,27.71
60,27.71
61,27.81
62,27.81
63,27.81
64,27.71
65,27.71
66,27.71
67,27.71
68,27.71
69,27.71
70,27.71
71,27.71
72,27.71
73,27.71
74,27.71
75,27.71
76,27.71
77,27.71
78,27.71
79,27.71
80,27.71
81,27.71
82,27.81
83,27.71
84,27.71
85,27.66
86,27.66
87,27.71
88,27.81
89,27.71
90,27.71
91,27.71
92,27.71
93,27.71
94,27.81
95,27.71
96,27.71
97,27.71
98,27.81
99,27.71
100,27.71
101,27.71
102,27.71
103,27.71
104,27.71
105,27.66
106,27.71
107,27.81
108,27.71
109,27.71
110,27.71
111,27.71
112,27.66
113,27.71
114,27.71
115,27.71
116,27.81
117,27.71
118,27.66
119,27.71
120,27.71
121,27.71
122,27.71
123,27.71
124,27.71
125,27.66
126,27.71
127,27.71
128,27.66
129,27.71
130,27.66
131,27.71
132,27.71
133,27.71
134,27.66
135,27.71
136,27.71
137,27.71
138,27.71
139,27.71
140,27.71
141,27.71
142,27.71
143,27.71
144,27.71
145,27.71
146,27.66
147,27.71
148,27.71
149,27.71
150,27.71
151,27.71
152,27.71
153,27.71
154,27.71
155,27.71
156,27.71
157,27.71
158,27.71
159,27.66
160,27.66
161,27.71
162,27.66
163,27.66
164,27.71
165,27.71
166,27.71
167,27.71
168,27.71
169,27.71
170,27.71
171,27.71
172,27.71
173,27.71
174,27.71
175,27.71
176,27.71
177,27.71
178,27.71
179,27.66
180,27.81
181,27.71
182,27.71
183,27.71
184,27.71
185,27.81
186,27.71
187,27.81
188,27.71
189,27.71
190,27.81
191,27.71
192,27.71
193,27.71
194,27.71
195,27.71
196,27.71
197,27.71
198,27.71
199,27.71
200,27.71
201,27.71
202,27.81
203,27.71
204,27.71
205,27.71
206,27.71
207,27.71
208,27.71
209,27.66
210,27.71
211,27.66
212,27.81
213,27.71
214,27.71
215,27.71
216,27.71
217,27.71
218,27.71
219,27.71
220,27.71
221,27.66
222,27.71
223,27.71
224,27.71
225,27.71
226,27.71
227,27.66
228,27.71
229,27.71
230,27.71
231,27.71
232,27.71
233,27.71
234,27.71
235,27.81
236,27.66
237,27.71
238,27.66
239,27.71
240,27.71
241,27.71
242,27.66
243,27.71
244,27.66
245,27.71
246,27.81
247,27.71
248,27.71
249,27.66
250,27.71
251,27.71
252,27.71
253,27.71
254,27.81
255,27.71
256,27.71
257,27.71
258,27.71
259,27.81
260,27.71
