row_index,WGEN.Conver_Rectifier_Tepf
1,7.8
2,7.69
3,7.69
4,7.69
5,7.69
6,7.69
7,7.59
8,7.59
9,7.59
10,7.59
11,7.59
12,7.59
13,7.59
14,7.59
15,7.5
16,7.5
17,7.5
18,7.5
19,7.5
20,7.5
21,7.5
22,7.5
23,7.5
24,7.4
25,7.4
26,7.3
27,7.3
28,7.3
29,7.3
30,7.3
31,7.3
32,7.19
33,7.19
34,7.19
35,7.19
36,7.09
37,7.09
38,7.09
39,7.09
40,7.09
41,7.0
42,7.0
43,7.0
44,7.0
45,7.0
46,7.0
47,7.0
48,7.0
49,6.9
50,6.9
51,6.9
52,6.9
53,6.9
54,6.9
55,7.0
56,7.0
57,7.0
58,7.0
59,7.0
60,7.0
61,7.0
62,7.0
63,7.0
64,7.09
65,7.09
66,7.09
67,7.09
68,7.09
69,7.19
70,7.3
71,7.3
72,7.3
73,7.3
74,7.3
75,7.4
76,7.5
77,7.5
78,7.5
79,7.5
80,7.59
81,7.59
82,7.59
83,7.69
84,7.69
85,7.69
86,7.8
87,7.8
88,7.8
89,7.8
90,7.8
91,7.8
92,7.8
93,7.9
94,8.0
95,8.0
96,8.0
97,8.0
98,8.0
99,8.0
100,8.1
101,8.1
102,8.1
103,8.1
104,8.1
105,8.1
106,8.19
107,8.19
108,8.3
109,8.3
110,8.3
111,8.3
112,8.3
113,8.3
114,8.3
115,8.3
116,8.3
117,8.3
118,8.3
119,8.3
120,8.3
121,8.3
122,8.3
123,8.3
124,8.3
125,8.3
126,8.3
127,8.3
128,8.3
129,8.3
130,8.3
131,8.3
132,8.3
133,8.3
134,8.3
135,8.19
136,8.19
137,8.1
138,8.1
139,8.1
140,8.1
141,8.1
142,8.1
143,8.1
144,8.1
145,8.0
146,8.0
147,8.0
148,8.0
149,8.0
150,8.0
151,8.0
152,8.0
153,8.0
154,8.0
155,7.9
156,8.0
157,7.9
158,7.9
159,7.9
160,7.9
161,7.9
162,7.9
163,7.8
164,7.8
165,7.8
166,7.8
167,7.8
168,7.8
169,7.8
170,7.8
171,7.8
172,7.8
173,7.8
174,7.9
175,7.9
176,7.9
177,7.9
178,8.0
179,8.0
180,7.9
181,7.9
182,8.0
183,7.9
184,7.9
185,7.9
186,7.9
187,7.9
188,7.9
189,7.8
190,7.8
191,7.8
192,7.8
193,7.8
194,7.8
195,7.8
196,7.9
197,7.8
198,7.9
199,7.9
200,7.9
201,7.9
202,8.0
203,7.9
204,8.0
205,8.0
206,8.0
207,8.0
208,8.1
209,8.1
210,8.1
211,8.1
212,8.19
213,8.19
214,8.19
215,8.3
216,8.3
217,8.3
218,8.3
219,8.3
220,8.3
221,8.3
222,8.3
223,8.39
224,8.39
225,8.39
226,8.39
227,8.5
228,8.5
229,8.5
230,8.5
231,8.5
232,8.5
233,8.5
234,8.5
235,8.5
236,8.5
237,8.5
238,8.5
239,8.5
240,8.5
241,8.5
242,8.5
243,8.5
244,8.5
245,8.5
246,8.5
247,8.5
248,8.5
249,8.5
250,8.5
251,8.5
252,8.5
253,8.5
254,8.5
255,8.5
256,8.5
257,8.5
258,8.5
259,8.5
260,8.5
261,8.5
262,8.5
263,8.5
264,8.5
265,8.5
266,8.5
267,8.5
268,8.5
269,8.5
270,8.5
271,8.5
272,8.5
273,8.5
274,8.5
275,8.5
276,8.5
277,8.5
278,8.5
279,8.5
280,8.5
281,8.5
282,8.5
283,8.5
284,8.6
285,8.6
286,8.6
287,8.6
288,8.69
289,8.69
290,8.69
291,8.8
292,8.8
293,8.8
294,8.89
295,8.8
296,8.89
297,8.89
298,8.89
299,8.89
300,9.0
301,9.0
302,9.0
303,9.0
304,9.0
305,9.1
306,9.0
307,9.1
308,9.1
309,9.1
310,9.1
311,9.19
312,9.3
313,9.3
314,9.3
315,9.3
316,9.3
317,9.39
318,9.39
319,9.5
320,9.5
321,9.5
322,9.5
323,9.5
324,9.6
325,9.6
326,9.6
327,9.6
328,9.6
329,9.6
330,9.6
331,9.6
332,9.6
333,9.6
334,9.6
335,9.6
336,9.6
337,9.6
338,9.6
339,9.5
340,9.5
341,9.5
342,9.5
343,9.5
344,9.5
345,9.5
346,9.5
347,9.39
348,9.39
349,9.3
350,9.39
351,9.39
352,9.3
353,9.3
354,9.3
355,9.3
356,9.3
357,9.19
358,9.1
359,9.1
360,9.1
361,9.1
362,9.1
363,9.0
364,9.0
365,9.0
366,9.0
367,9.0
368,8.89
369,8.89
370,8.89
371,8.8
372,8.8
373,8.8
374,8.8
375,8.69
376,8.69
377,8.69
378,8.69
379,8.6
380,8.6
381,8.6
382,8.5
383,8.5
384,8.5
385,8.5
386,8.39
387,8.39
388,8.39
389,8.3
390,8.3
391,8.3
392,8.3
393,8.3
394,8.3
395,8.19
396,8.19
397,8.1
398,8.1
399,8.1
400,8.1
401,8.1
402,8.1
403,8.1
404,8.0
405,8.0
406,8.0
407,8.0
408,8.0
409,8.0
410,8.0
411,7.9
412,7.9
413,7.9
414,7.9
415,7.9
416,7.8
417,7.8
418,7.9
419,7.9
420,7.9
421,7.9
422,7.9
423,7.9
424,7.9
425,7.9
426,7.9
427,7.9
428,7.9
429,8.0
430,8.0
431,8.0
432,8.0
433,8.0
434,8.0
435,8.0
436,8.0
437,8.0
438,8.0
439,8.0
440,8.0
441,8.0
442,8.0
443,8.0
444,8.0
445,8.0
446,8.0
447,8.0
448,8.0
449,7.9
450,7.9
451,7.9
452,7.9
453,8.0
454,7.9
455,7.9
456,7.9
457,7.9
458,7.9
459,7.9
460,7.9
461,7.9
462,7.9
463,7.9
464,7.9
465,7.9
466,7.9
467,7.9
468,7.9
469,8.0
470,8.0
471,8.0
472,8.0
473,8.0
474,8.1
475,8.1
476,8.1
477,8.19
478,8.3
479,8.3
480,8.3
481,8.3
482,8.39
483,8.39
