row_index,WGEN.Conver_Dc_Inductor_Tep.f
1,55.7
2,55.79
3,55.7
4,55.7
5,55.7
6,55.59
7,55.7
8,55.7
9,55.79
10,55.7
11,55.7
12,55.7
13,55.7
14,55.7
15,55.7
16,55.59
17,55.7
18,55.59
19,55.7
20,55.59
21,55.59
22,55.59
23,55.59
24,55.59
25,55.59
26,55.59
27,55.59
28,55.59
29,55.59
30,55.59
31,55.59
32,55.59
33,55.59
34,55.59
35,55.59
36,55.59
37,55.59
38,55.5
39,55.5
40,55.5
41,55.59
42,55.5
43,55.5
44,55.5
45,55.5
46,55.5
47,55.5
48,55.5
49,55.5
50,55.5
51,55.4
52,55.5
53,55.5
54,55.4
55,55.4
56,55.4
57,55.5
58,55.4
59,55.4
60,55.29
61,55.29
62,55.4
63,55.29
64,55.29
65,55.29
66,55.4
67,55.29
68,55.29
69,55.29
70,55.29
71,55.29
72,55.29
73,55.29
74,55.29
75,55.29
76,55.29
77,55.2
78,55.2
79,55.2
80,55.2
81,55.09
82,55.09
83,55.2
84,55.09
85,55.2
86,55.2
87,55.09
88,55.09
89,55.09
90,55.09
91,55.09
92,55.09
93,55.09
94,55.09
95,55.09
96,55.09
97,55.09
98,55.09
99,55.09
100,55.09
101,55.09
102,55.09
103,55.09
104,55.09
105,55.09
106,55.09
107,55.09
108,55.09
109,55.09
110,55.09
111,55.09
112,55.09
113,55.09
114,55.09
115,55.09
116,55.09
117,55.09
118,55.09
119,55.09
120,55.09
121,55.09
122,55.09
123,55.09
124,55.09
125,55.0
126,55.09
127,55.09
128,55.09
129,55.09
130,55.09
131,55.09
132,55.09
133,55.09
134,55.09
135,55.09
136,55.09
137,55.09
138,55.09
139,55.09
140,55.09
141,55.09
142,55.09
143,55.09
144,55.09
145,55.0
146,55.09
147,55.09
148,55.09
149,55.09
150,55.09
151,55.09
152,55.09
153,55.0
154,55.09
155,55.09
156,55.09
157,55.09
158,55.09
159,55.09
160,55.09
161,55.09
162,55.09
163,55.09
164,55.09
165,55.09
166,55.09
167,55.09
168,55.09
169,55.09
170,55.09
171,55.09
172,55.09
173,55.09
174,55.09
