row_index,WCNV.Conver_generator_capacitors.tmp.f
1,7.9
2,7.9
3,8.0
4,7.9
5,8.0
6,7.9
7,8.0
8,8.0
9,7.9
10,8.0
11,7.9
12,8.0
13,7.9
14,8.0
15,7.9
16,8.0
17,7.9
18,7.9
19,7.9
20,7.9
21,7.9
22,7.9
23,7.9
24,7.9
25,7.9
26,7.9
27,7.8
28,7.8
29,7.8
30,7.9
31,7.8
32,7.8
33,7.9
34,7.8
35,7.8
36,7.8
37,7.8
38,7.9
39,7.8
40,7.8
41,7.8
42,7.8
43,7.9
44,7.8
45,7.9
46,7.9
47,7.8
48,7.8
49,7.8
50,7.8
51,7.9
52,7.8
53,7.8
54,7.8
55,7.8
56,7.8
57,7.8
58,7.8
59,7.8
60,7.8
61,7.8
62,7.8
63,7.8
64,7.8
65,7.8
66,7.8
67,7.8
68,7.8
69,7.8
70,7.8
71,7.8
72,7.8
73,7.8
74,7.8
75,7.8
76,7.8
77,7.8
78,7.8
79,7.8
80,7.8
81,7.8
82,7.8
83,7.8
84,7.8
85,7.8
86,7.8
87,7.8
88,7.8
89,7.8
90,7.9
91,7.8
92,7.8
93,7.8
94,7.8
95,7.8
96,7.8
97,7.8
98,7.8
99,7.8
100,7.8
101,7.8
102,7.8
103,7.8
104,7.8
105,7.8
106,7.8
107,7.8
108,7.8
109,7.8
110,7.8
111,7.8
112,7.8
113,7.8
114,7.8
115,7.8
116,7.8
117,7.69
118,7.8
119,7.8
120,7.8
121,7.8
122,7.8
123,7.8
124,7.8
125,7.8
126,7.8
127,7.8
128,7.8
129,7.8
130,7.8
131,7.8
132,7.8
133,7.9
134,7.8
135,7.9
136,7.8
137,7.8
138,7.8
139,7.8
140,7.8
141,7.8
142,7.8
143,7.8
144,7.8
145,7.8
146,7.8
147,7.8
148,7.8
149,7.8
150,7.8
151,7.8
152,7.8
153,7.8
154,7.8
155,7.8
156,7.8
157,7.8
158,7.8
159,7.8
160,7.8
161,7.8
162,7.8
163,7.8
164,7.8
165,7.8
166,7.8
167,7.8
168,7.8
169,7.8
170,7.8
171,7.9
172,7.9
173,7.9
174,7.9
175,7.9
176,7.9
177,7.9
178,7.9
179,7.8
180,7.9
181,7.9
182,7.9
183,7.9
184,7.8
185,7.8
186,7.8
187,7.8
188,7.8
189,7.8
190,7.8
