row_index,WGEN.Conver_DC_Volt_negative
1,-550.99
2,-550.99
3,-550.65
4,-550.99
5,-549.96
6,-549.62
7,-549.96
8,-550.65
9,-550.65
10,-549.96
11,-549.96
12,-550.99
13,-549.62
14,-550.65
15,-549.96
16,-549.96
17,-549.96
18,-549.96
19,-549.96
20,-549.96
21,-549.62
22,-550.65
23,-549.96
24,-549.62
25,-549.96
26,-549.96
27,-550.65
28,-549.62
29,-549.96
30,-549.96
31,-549.96
32,-549.28
33,-549.62
34,-549.28
35,-549.96
36,-549.62
37,-549.96
38,-550.65
39,-549.62
40,-549.96
41,-549.96
42,-549.96
43,-549.96
44,-549.96
45,-549.96
46,-549.96
47,-549.96
48,-549.96
49,-549.96
50,-549.96
51,-549.62
52,-549.96
53,-549.96
54,-549.96
55,-549.96
56,-549.62
57,-549.96
58,-549.28
59,-550.99
60,-549.96
61,-550.65
62,-550.65
63,-550.65
64,-549.96
65,-549.96
66,-550.65
67,-550.99
68,-549.96
69,-550.65
70,-550.65
71,-550.65
72,-549.96
73,-550.99
74,-550.65
75,-551.33
76,-551.33
77,-550.99
78,-551.33
79,-551.33
80,-551.33
81,-551.33
82,-551.33
83,-551.33
84,-551.67
85,-551.33
86,-551.33
87,-550.99
88,-550.99
89,-551.67
90,-551.33
91,-551.67
92,-551.33
93,-550.99
94,-551.67
95,-550.99
96,-551.67
97,-551.33
98,-551.33
99,-550.65
100,-551.33
101,-550.99
102,-552.01
103,-551.67
104,-551.33
105,-551.67
106,-550.99
107,-551.67
108,-551.67
109,-551.33
110,-551.33
111,-551.67
112,-551.33
113,-550.99
114,-550.65
115,-551.33
116,-551.67
117,-551.33
118,-551.33
119,-551.33
120,-550.99
121,-551.33
122,-550.99
123,-550.99
124,-551.67
125,-551.33
126,-550.65
127,-551.33
128,-549.96
129,-551.33
130,-550.99
131,-551.67
132,-550.65
133,-550.65
134,-550.65
135,-551.33
136,-550.99
137,-549.96
138,-550.65
139,-550.99
140,-550.65
141,-549.96
142,-550.65
143,-549.96
144,-550.65
145,-549.96
146,-550.65
147,-550.99
148,-550.65
149,-549.96
150,-550.65
151,-549.96
152,-549.96
153,-550.99
154,-550.99
155,-550.99
156,-549.96
157,-550.65
158,-550.99
159,-550.99
160,-549.96
161,-549.62
162,-550.65
163,-550.65
164,-551.33
165,-550.99
166,-550.65
167,-551.33
168,-550.99
169,-550.65
170,-550.65
171,-550.65
172,-550.99
173,-551.33
174,-550.65
175,-551.67
176,-551.33
177,-550.99
178,-550.99
179,-550.65
180,-551.67
181,-549.96
182,-551.33
183,-550.65
184,-550.99
185,-550.99
186,-550.65
187,-549.96
188,-550.99
189,-550.65
190,-550.65
191,-551.33
192,-550.99
193,-549.96
194,-549.96
195,-550.99
196,-551.33
197,-551.33
198,-550.99
199,-551.33
200,-550.99
201,-550.99
202,-552.01
203,-550.99
204,-552.01
205,-552.01
206,-551.67
207,-552.01
208,-551.33
209,-551.67
210,-551.67
211,-550.99
212,-552.01
213,-551.67
214,-552.01
215,-551.67
216,-551.33
217,-551.67
218,-551.33
219,-551.67
220,-551.67
221,-552.01
222,-551.33
223,-551.33
224,-551.33
225,-551.33
226,-552.01
227,-551.33
228,-550.65
229,-552.01
230,-550.99
231,-551.67
232,-551.33
233,-551.67
234,-551.67
235,-550.99
236,-551.33
237,-551.33
238,-551.67
239,-551.33
240,-551.67
241,-551.67
242,-550.99
243,-551.67
244,-552.01
245,-551.67
246,-551.33
247,-551.67
248,-550.99
249,-551.67
250,-551.67
251,-550.99
252,-551.33
253,-551.67
254,-551.67
255,-550.99
256,-551.67
257,-551.33
258,-551.33
259,-551.33
260,-551.33
261,-551.67
262,-551.67
263,-551.33
264,-551.33
265,-550.99
266,-551.33
267,-551.67
268,-551.33
269,-551.67
270,-550.65
271,-551.33
272,-551.67
273,-551.33
274,-550.99
275,-551.67
276,-550.99
277,-550.65
278,-551.67
279,-550.99
280,-551.33
281,-551.67
282,-551.67
283,-552.01
284,-552.36
285,-552.01
286,-551.67
287,-551.67
288,-552.01
289,-552.36
290,-552.36
291,-553.04
292,-552.01
293,-552.01
294,-553.04
295,-553.04
296,-551.67
297,-553.04
298,-553.04
299,-552.01
300,-552.01
301,-552.01
302,-552.01
303,-551.67
304,-552.01
305,-552.01
306,-553.04
307,-552.36
308,-553.04
309,-553.04
310,-553.38
311,-553.04
312,-553.04
313,-552.36
314,-552.36
315,-553.04
316,-553.04
317,-553.04
318,-553.38
319,-553.38
320,-552.36
321,-552.36
322,-553.38
323,-553.04
324,-552.01
325,-553.38
326,-552.36
327,-552.36
328,-552.36
329,-551.33
330,-551.67
331,-552.01
332,-551.67
333,-551.67
334,-552.01
335,-552.36
336,-552.36
337,-552.36
338,-553.04
339,-551.67
340,-552.01
341,-552.01
342,-551.67
343,-552.01
344,-552.01
345,-552.36
346,-552.01
347,-552.01
348,-552.01
349,-551.67
350,-552.01
351,-551.67
352,-552.01
353,-552.01
354,-551.67
355,-552.01
356,-550.99
357,-551.67
358,-551.67
359,-551.33
360,-551.33
361,-551.33
362,-551.67
363,-551.33
364,-551.67
365,-551.67
366,-551.33
367,-550.99
368,-551.33
369,-551.33
370,-550.99
371,-551.67
372,-551.33
373,-551.33
374,-551.33
375,-550.99
376,-551.33
377,-551.67
378,-550.99
379,-551.33
380,-550.99
381,-550.65
382,-550.65
383,-550.99
384,-550.65
385,-551.33
386,-550.99
387,-550.99
388,-551.33
389,-550.99
390,-550.99
391,-550.99
392,-550.65
393,-550.65
394,-550.65
395,-550.99
396,-549.96
397,-550.65
398,-550.99
399,-549.96
400,-550.65
401,-550.65
402,-550.65
403,-550.65
404,-549.96
405,-550.65
406,-550.99
407,-550.99
408,-550.65
409,-550.65
410,-549.96
411,-551.33
412,-550.65
413,-549.96
414,-550.65
415,-550.99
416,-550.65
417,-550.99
418,-549.96
419,-550.99
420,-550.65
421,-550.99
422,-550.99
423,-551.33
424,-550.65
425,-551.67
426,-550.65
427,-550.99
428,-551.33
429,-550.99
430,-551.33
431,-550.65
432,-549.96
433,-549.96
434,-551.33
435,-550.99
436,-550.99
437,-550.99
438,-550.99
439,-550.99
440,-550.65
441,-551.33
442,-551.33
443,-550.65
444,-550.99
445,-551.33
446,-550.65
447,-550.65
448,-550.99
449,-550.65
450,-551.33
451,-550.65
452,-550.65
453,-550.65
454,-550.99
455,-550.99
456,-551.33
457,-550.99
458,-551.33
459,-550.65
460,-551.33
461,-550.99
462,-551.67
463,-550.99
464,-551.33
465,-550.99
466,-551.33
467,-551.33
468,-551.33
469,-550.99
470,-552.01
471,-550.99
472,-552.01
473,-551.33
474,-550.65
475,-552.01
476,-552.01
477,-552.36
478,-551.67
479,-551.67
480,-550.99
481,-550.65
482,-550.99
483,-551.67
484,-551.33
485,-550.65
486,-550.65
487,-550.65
488,-551.33
489,-550.99
490,-551.33
491,-551.33
492,-551.67
493,-550.65
494,-550.99
495,-550.99
496,-551.33
497,-550.99
498,-551.67
499,-551.33
500,-550.99
501,-550.65
502,-550.99
503,-550.65
504,-550.65
505,-550.99
506,-550.99
507,-550.99
508,-551.33
509,-550.99
510,-551.33
511,-551.67
512,-551.33
513,-551.33
514,-550.99
515,-550.99
516,-551.33
517,-552.01
518,-552.01
519,-551.67
520,-551.33
521,-551.33
522,-551.67
523,-551.67
524,-551.67
525,-552.36
526,-551.67
527,-552.01
528,-551.67
529,-551.67
530,-551.33
531,-552.01
532,-551.33
533,-550.99
534,-550.99
535,-551.33
536,-551.33
537,-550.99
538,-551.67
539,-551.33
540,-551.33
541,-551.33
542,-550.99
543,-551.33
544,-551.67
545,-551.67
546,-551.67
547,-552.01
548,-552.01
549,-552.01
550,-552.36
551,-551.67
552,-552.01
553,-552.01
554,-552.01
555,-553.04
556,-552.01
557,-552.36
