row_index,WGEN.Conver_I_DC
1,177.98
2,182.37
3,184.57
4,183.47
5,179.08
6,181.27
7,179.08
8,175.78
9,177.98
10,177.98
11,175.78
12,175.78
13,180.18
14,177.98
15,175.78
16,175.78
17,171.39
18,175.78
19,172.49
20,168.09
21,173.58
22,170.29
23,172.49
24,169.19
25,164.79
26,164.79
27,162.6
28,162.6
29,162.6
30,164.79
31,165.89
32,160.4
33,160.4
34,159.3
35,162.6
36,160.4
37,154.91
38,157.1
39,159.3
40,156.01
41,160.4
42,153.81
43,160.4
44,156.01
45,160.4
46,164.79
47,159.3
48,154.91
49,161.5
50,163.7
51,164.79
52,170.29
53,172.49
54,165.89
55,170.29
56,172.49
57,179.08
58,182.37
59,181.27
60,180.18
61,184.57
62,191.16
63,190.06
64,187.87
65,188.97
66,193.36
67,190.06
68,193.36
69,199.95
70,199.95
71,202.15
72,208.74
73,207.64
74,210.94
75,214.23
76,214.23
77,212.04
78,214.23
79,212.04
80,209.84
81,218.63
82,218.63
83,218.63
84,217.53
85,218.63
86,219.73
87,218.63
88,226.32
89,221.93
90,221.93
91,226.32
92,228.52
93,227.42
94,229.62
95,225.22
96,226.32
97,230.71
98,229.62
99,227.42
100,229.62
101,228.52
102,229.62
103,226.32
104,229.62
105,229.62
106,234.01
107,232.91
108,229.62
109,228.52
110,224.12
111,220.83
112,221.93
113,221.93
114,221.93
115,219.73
116,224.12
117,218.63
118,225.22
119,221.93
120,220.83
121,220.83
122,217.53
123,215.33
124,215.33
125,214.23
126,216.43
127,215.33
128,210.94
129,208.74
130,206.54
131,210.94
132,206.54
133,207.64
134,205.45
135,205.45
136,201.05
137,203.25
138,205.45
139,206.54
140,205.45
141,201.05
142,201.05
143,199.95
144,201.05
145,201.05
146,199.95
147,203.25
148,201.05
149,205.45
150,203.25
151,202.15
152,199.95
153,201.05
154,195.56
155,199.95
156,199.95
157,199.95
158,197.75
159,195.56
160,193.36
161,190.06
162,190.06
163,197.75
164,201.05
165,202.15
166,198.85
167,201.05
168,205.45
169,207.64
170,207.64
171,209.84
172,210.94
173,216.43
174,210.94
175,209.84
176,210.94
177,212.04
178,209.84
179,207.64
180,205.45
181,206.54
182,202.15
183,205.45
184,201.05
185,201.05
186,198.85
187,197.75
188,197.75
189,202.15
190,202.15
191,202.15
192,207.64
193,207.64
194,207.64
195,207.64
196,215.33
197,212.04
198,215.33
199,221.93
200,224.12
201,225.22
202,229.62
203,236.21
204,235.11
205,230.71
206,236.21
207,234.01
208,235.11
209,236.21
210,238.41
211,240.6
212,236.21
213,232.91
214,232.91
215,235.11
216,234.01
217,232.91
218,238.41
219,235.11
220,238.41
221,235.11
222,239.5
223,235.11
224,234.01
225,234.01
226,230.71
227,235.11
228,232.91
229,235.11
230,229.62
231,229.62
232,230.71
233,229.62
234,226.32
235,226.32
236,229.62
237,228.52
238,228.52
239,229.62
240,235.11
241,228.52
242,232.91
243,232.91
244,229.62
245,229.62
246,230.71
247,232.91
248,235.11
249,232.91
250,232.91
251,235.11
252,232.91
253,232.91
254,228.52
255,228.52
256,234.01
257,230.71
258,232.91
259,232.91
260,235.11
261,229.62
262,227.42
263,226.32
264,228.52
265,228.52
266,228.52
267,228.52
268,226.32
269,225.22
270,229.62
271,229.62
272,225.22
273,226.32
274,227.42
275,230.71
276,229.62
277,227.42
278,227.42
279,228.52
280,238.41
281,242.8
282,248.29
283,252.69
284,254.89
285,257.08
286,251.59
287,257.08
288,255.98
289,257.08
290,261.48
291,259.28
292,263.67
293,261.48
294,261.48
295,259.28
296,262.58
297,264.77
298,268.07
299,264.77
300,270.27
301,264.77
302,262.58
303,265.87
304,262.58
305,266.97
306,270.27
307,265.87
308,268.07
309,268.07
310,273.56
311,272.46
312,277.96
313,275.76
314,281.25
315,277.96
316,283.45
317,283.45
318,290.04
319,288.94
320,284.55
321,282.35
322,285.65
323,288.94
324,291.14
325,283.45
326,276.86
327,266.97
328,249.39
329,247.19
330,254.89
331,259.28
332,262.58
333,257.08
334,258.18
335,257.08
336,261.48
337,258.18
338,259.28
339,259.28
340,258.18
341,261.48
342,255.98
343,255.98
344,257.08
345,258.18
346,254.89
347,253.79
348,252.69
349,246.1
350,247.19
351,240.6
352,240.6
353,236.21
354,237.31
355,236.21
356,230.71
357,227.42
358,226.32
359,227.42
360,228.52
361,225.22
362,226.32
363,226.32
364,224.12
365,224.12
366,225.22
367,219.73
368,220.83
369,224.12
370,221.93
371,220.83
372,217.53
373,219.73
374,219.73
375,218.63
376,220.83
377,219.73
378,216.43
379,214.23
380,217.53
381,215.33
382,214.23
383,208.74
384,212.04
385,210.94
386,205.45
387,207.64
388,202.15
389,201.05
390,201.05
391,197.75
392,199.95
393,198.85
394,201.05
395,198.85
396,198.85
397,198.85
398,198.85
399,201.05
400,199.95
401,201.05
402,196.66
403,196.66
404,195.56
405,193.36
406,196.66
407,196.66
408,195.56
409,197.75
410,202.15
411,197.75
412,201.05
413,207.64
414,207.64
415,203.25
416,203.25
417,201.05
418,202.15
419,203.25
420,199.95
421,201.05
422,201.05
423,203.25
424,209.84
425,217.53
426,212.04
427,214.23
428,218.63
429,216.43
430,214.23
431,212.04
432,214.23
433,212.04
434,208.74
435,210.94
436,209.84
437,208.74
438,205.45
439,203.25
440,202.15
441,203.25
442,203.25
443,203.25
444,199.95
445,198.85
446,201.05
447,202.15
448,198.85
449,202.15
450,201.05
451,206.54
452,202.15
453,203.25
454,199.95
455,201.05
456,201.05
457,205.45
458,205.45
459,208.74
460,206.54
461,212.04
462,214.23
463,209.84
464,216.43
465,215.33
466,219.73
467,220.83
468,227.42
469,230.71
470,235.11
471,232.91
472,230.71
473,232.91
474,235.11
475,237.31
476,242.8
477,239.5
478,242.8
479,240.6
480,232.91
481,226.32
482,218.63
483,217.53
484,208.74
485,203.25
486,206.54
487,206.54
488,207.64
489,214.23
490,214.23
491,216.43
492,219.73
493,218.63
494,219.73
495,221.93
496,221.93
497,226.32
498,221.93
499,220.83
500,217.53
501,216.43
502,215.33
503,216.43
504,214.23
505,218.63
506,218.63
507,220.83
508,218.63
509,221.93
510,220.83
511,224.12
512,225.22
513,219.73
514,219.73
515,224.12
516,221.93
517,225.22
518,228.52
519,232.91
520,236.21
521,234.01
522,239.5
523,240.6
524,243.9
525,239.5
526,239.5
527,240.6
528,236.21
529,232.91
530,230.71
531,226.32
532,224.12
533,225.22
534,225.22
535,227.42
536,227.42
537,225.22
538,224.12
539,226.32
540,225.22
541,226.32
542,227.42
543,228.52
544,227.42
545,228.52
546,234.01
547,239.5
548,247.19
549,249.39
550,255.98
551,257.08
552,258.18
553,258.18
554,261.48
555,264.77
556,264.77
557,271.37
558,274.66
559,273.56
560,271.37
561,271.37
562,271.37
563,284.55
564,281.25
565,284.55
566,291.14
567,291.14
568,291.14
569,286.75
570,290.04
571,284.55
572,291.14
573,286.75
574,281.25
575,286.75
576,283.45
577,276.86
578,281.25
579,285.65
580,286.75
581,294.44
582,301.03
583,303.23
584,299.93
585,305.42
586,304.33
587,299.93
588,298.83
589,295.54
590,293.34
591,294.44
592,295.54
593,291.14
594,292.24
595,303.23
596,305.42
597,303.23
