row_index,WGEN.Conver_rectifier_U
1,664.47
2,664.81
3,664.81
4,663.1
5,662.76
6,664.47
7,662.76
8,662.76
9,663.44
10,663.44
11,663.78
12,663.78
13,664.47
14,664.81
15,664.13
16,663.44
17,663.78
18,662.76
19,662.76
20,664.13
21,664.47
22,665.15
23,665.49
24,663.44
25,664.47
26,666.18
27,666.18
28,666.18
29,665.49
30,665.15
31,667.2
32,665.84
33,665.84
34,666.86
35,667.2
36,666.86
37,666.86
38,668.57
39,668.57
40,668.91
41,669.6
42,667.54
43,669.25
44,668.91
45,667.54
46,665.49
47,667.89
48,668.57
49,668.91
50,667.89
51,667.2
52,666.18
53,665.15
54,665.15
55,665.49
56,666.18
57,666.52
58,664.81
59,665.49
60,664.47
61,665.49
62,664.47
63,664.81
64,664.47
65,665.15
66,669.6
67,672.67
68,678.14
69,684.98
70,689.42
71,692.84
72,699.33
73,702.07
74,704.8
75,709.59
76,713.69
77,715.4
78,714.03
79,714.71
80,714.71
81,718.82
82,720.18
83,719.5
84,721.55
85,721.89
86,723.94
87,726.34
88,729.41
89,730.44
90,730.44
91,732.83
92,737.62
93,735.91
94,735.56
95,734.88
96,736.59
97,738.3
98,738.64
99,737.62
100,737.96
101,736.93
102,736.59
103,735.91
104,737.62
105,741.03
106,743.08
107,743.08
108,741.03
109,738.98
110,733.51
111,729.75
112,723.94
113,722.23
114,721.89
115,723.94
116,725.99
117,728.04
118,729.41
119,725.31
120,721.89
121,719.5
122,715.74
123,715.74
124,712.66
125,709.93
126,710.95
127,714.37
128,709.93
129,707.19
130,704.12
131,703.09
132,703.09
133,702.41
134,698.31
135,697.28
136,694.89
137,692.84
138,692.5
139,692.5
140,691.81
141,686.69
142,686.69
143,688.05
144,688.74
145,688.74
146,690.1
147,690.1
148,691.47
149,691.81
150,691.47
151,686.34
152,683.27
153,683.27
154,683.61
155,684.64
156,683.27
157,680.53
158,676.43
159,673.36
160,669.94
161,669.6
162,671.3
163,675.75
164,681.22
165,687.71
166,691.81
167,696.26
168,698.31
169,701.04
170,706.17
171,710.95
172,712.32
173,712.32
174,709.25
175,709.59
176,707.19
177,705.14
178,705.14
179,701.04
180,697.97
181,693.86
182,692.15
183,687.71
184,686.69
185,683.61
186,682.93
187,683.95
188,687.03
189,690.1
190,692.15
191,693.52
192,694.55
193,698.31
194,703.78
195,706.17
196,711.98
197,716.76
198,721.89
199,726.68
200,731.8
201,734.88
202,740.01
203,745.13
204,746.16
205,747.19
206,745.82
207,747.19
208,748.21
209,749.92
210,750.26
211,748.21
212,748.21
213,745.13
214,744.11
215,744.45
216,746.84
217,747.87
218,747.53
219,747.53
220,749.92
221,749.24
222,749.92
223,748.55
224,748.21
225,744.79
226,746.16
227,743.08
228,742.06
229,742.4
230,740.35
231,739.67
232,740.69
233,737.62
234,738.64
235,737.62
236,737.27
237,736.59
238,740.35
239,741.03
240,742.4
241,742.06
242,740.01
243,738.98
244,739.32
245,739.32
246,739.32
247,739.32
248,741.38
249,743.08
250,743.08
251,741.72
252,740.35
253,741.38
254,741.03
255,740.35
256,742.06
257,743.43
258,743.08
259,744.79
260,742.06
261,741.38
262,739.32
263,736.25
264,735.56
265,736.93
266,735.56
267,735.91
268,735.22
269,736.59
270,737.27
271,737.96
272,736.59
273,735.91
274,735.56
275,736.25
276,737.62
277,739.32
278,741.72
279,743.08
280,748.55
281,755.73
282,763.25
283,769.75
284,769.75
285,771.11
286,768.72
287,772.14
288,774.53
289,777.61
290,779.66
291,778.97
292,779.66
293,780.34
294,781.37
295,781.02
296,781.71
297,783.76
298,785.81
299,784.78
300,783.42
301,785.47
302,783.08
303,782.05
304,784.1
305,784.1
306,787.52
307,788.54
308,786.84
309,787.86
310,790.94
311,792.99
312,795.72
313,797.09
314,799.48
315,802.56
316,805.29
317,805.63
318,809.74
319,808.37
320,807.69
321,807.34
322,810.08
323,810.76
324,810.08
325,808.03
326,795.04
327,782.73
328,770.09
329,767.69
330,770.43
331,774.19
332,775.9
333,775.9
334,774.19
335,775.56
336,776.58
337,777.26
338,778.29
339,781.02
340,777.95
341,775.9
342,774.87
343,776.92
344,777.26
345,774.53
346,773.85
347,770.77
348,768.04
349,764.62
350,762.57
351,756.07
352,751.63
353,748.21
354,745.13
355,742.4
356,738.64
357,737.62
358,738.98
359,736.25
360,734.2
361,732.83
362,733.17
363,730.44
364,729.75
365,728.73
366,726.68
367,727.36
368,727.7
369,725.99
370,725.31
371,722.58
372,722.58
373,724.63
374,725.65
375,724.63
376,723.26
377,722.23
378,719.84
379,715.74
380,712.32
381,708.9
382,706.51
383,707.54
384,704.8
385,704.12
386,700.7
387,697.97
388,694.21
389,691.47
390,689.08
391,686.69
392,684.29
393,683.95
394,685.66
395,686.34
396,686.69
397,686.69
398,684.98
399,683.95
400,682.24
401,680.88
402,680.19
403,677.46
404,672.67
405,671.3
406,673.01
407,676.09
408,678.82
409,681.56
410,682.93
411,685.32
412,689.42
413,693.18
414,692.5
415,690.1
416,692.5
417,693.18
418,691.81
419,691.81
420,690.79
421,691.81
422,691.47
423,700.02
424,707.88
425,712.32
426,714.37
427,718.13
428,721.21
429,718.47
430,717.11
431,713.35
432,709.93
433,707.88
434,706.51
435,703.43
436,701.38
437,700.36
438,697.97
439,695.91
440,694.55
441,695.23
442,694.21
443,692.5
444,690.1
445,690.1
446,689.76
447,688.74
448,690.1
449,692.84
450,694.55
451,691.81
452,690.79
453,689.42
454,691.13
455,691.81
456,692.84
457,696.6
458,698.65
459,701.04
460,706.17
461,709.25
462,712.32
463,711.64
464,713.35
465,715.74
466,720.52
467,727.7
468,733.17
469,739.67
470,745.48
471,745.13
472,742.4
473,741.38
474,743.77
475,747.53
476,752.65
477,754.71
478,758.47
479,755.05
480,743.77
481,733.17
482,722.92
483,714.03
484,701.38
485,695.23
486,693.86
487,697.97
488,705.14
489,711.98
490,714.37
491,717.11
492,720.52
493,721.55
494,722.92
495,724.28
496,727.36
497,725.31
498,725.31
499,718.47
500,715.74
501,712.66
502,712.32
503,716.08
504,716.08
505,717.11
506,719.84
507,723.6
508,724.63
509,724.97
510,726.68
511,726.34
512,728.04
513,727.36
514,726.68
515,729.07
516,730.44
517,734.54
518,738.64
519,740.69
520,744.11
521,749.92
522,753.34
523,754.71
524,755.05
525,754.02
526,753.34
527,750.26
528,744.45
529,741.72
530,737.62
531,734.2
532,732.83
533,730.1
534,729.41
535,730.78
536,732.49
537,730.78
538,730.1
539,731.12
540,734.2
541,732.83
542,732.15
543,734.88
544,737.62
545,738.98
546,746.16
547,756.07
548,764.28
549,769.06
550,775.21
551,773.85
552,774.87
553,776.58
554,779.66
555,783.08
556,787.52
557,790.6
558,792.3
559,789.91
560,786.15
561,787.52
562,794.01
563,801.19
564,806.66
565,811.45
566,817.94
567,815.89
568,815.89
569,813.5
570,812.47
571,810.42
572,809.39
573,811.1
574,807.0
575,805.63
576,804.95
577,801.53
578,803.58
579,808.03
580,812.81
581,821.7
582,826.14
583,824.78
584,825.46
585,829.56
586,826.83
587,826.83
588,825.8
589,823.41
590,821.36
591,818.62
592,818.28
593,815.89
594,823.41
595,826.14
596,832.3
597,832.3
598,831.61
599,830.59
600,827.51
601,826.83
602,826.49
603,826.49
604,823.75
605,825.8
606,823.75
607,823.41
608,826.49
609,824.43
610,823.41
611,821.02
612,821.7
613,824.09
614,829.9
615,832.98
616,830.93
