row_index,WTUR.air_input_temp
1,2.0
2,2.0
3,2.09
4,2.29
5,2.4
6,2.5
7,2.29
8,2.29
9,2.09
10,2.0
11,1.89
12,2.09
13,2.09
14,2.09
15,2.2
16,2.0
17,1.79
18,2.09
19,2.5
20,2.4
21,2.4
22,2.0
23,1.6
24,1.89
25,1.7
26,1.7
27,2.0
28,2.29
29,2.4
30,2.2
31,2.2
32,2.09
33,2.29
34,2.4
35,2.4
36,2.09
37,1.89
38,2.0
39,2.09
40,2.2
41,2.2
42,2.0
43,1.7
44,1.79
45,2.09
46,2.09
47,2.5
48,2.29
49,2.09
50,2.0
51,2.0
52,1.79
53,2.09
54,2.2
55,2.2
56,2.09
57,2.5
58,2.09
59,1.7
60,1.5
61,1.89
62,2.29
63,2.29
64,2.2
65,2.29
66,2.09
67,2.09
68,2.09
69,2.0
70,2.0
71,1.89
72,2.09
73,2.29
74,2.5
75,2.29
76,2.2
77,2.2
78,2.29
79,2.29
80,2.2
81,2.29
82,2.09
83,2.09
84,2.0
85,2.09
86,2.2
87,2.2
88,2.2
89,2.09
90,2.0
91,1.89
92,2.2
93,2.4
94,2.2
95,2.09
96,1.89
97,2.0
98,1.79
99,2.0
100,2.2
101,2.09
102,1.79
103,1.79
104,2.0
105,2.2
106,2.09
107,2.0
108,2.0
109,2.09
110,2.29
111,2.4
112,2.09
113,1.89
114,2.0
115,2.29
116,2.2
117,2.2
118,2.29
119,2.29
120,2.0
121,2.0
122,2.09
123,2.2
124,2.09
125,2.2
126,2.29
127,2.29
128,2.29
129,2.59
130,2.7
131,2.2
132,2.09
133,2.0
134,1.89
135,2.0
136,2.09
137,2.09
138,2.0
139,2.0
140,2.0
141,2.2
142,2.29
143,2.0
144,1.7
145,1.79
146,1.89
147,2.09
148,2.2
149,2.2
150,2.09
151,2.0
152,1.79
153,1.79
154,2.2
155,2.4
156,2.29
157,1.89
158,1.79
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.2
166,2.4
167,2.5
168,2.5
169,2.09
170,2.0
171,2.29
172,2.29
173,2.29
174,2.09
175,2.0
176,2.0
177,2.29
178,2.4
179,2.09
180,1.79
181,2.09
182,2.0
183,2.0
184,2.0
185,1.79
186,2.0
187,2.0
188,1.79
189,1.79
190,2.09
191,2.29
192,2.29
193,2.2
194,2.29
195,2.29
196,2.29
197,2.09
198,2.0
199,1.79
200,2.0
201,2.2
202,2.09
203,2.0
204,2.09
205,2.09
206,2.0
207,1.79
208,2.09
209,2.09
210,2.29
211,2.5
212,1.89
213,1.39
214,1.6
215,1.89
216,1.79
217,1.79
218,2.09
219,2.4
220,2.4
221,2.29
222,2.09
223,1.89
224,1.79
225,2.09
226,2.09
227,2.29
228,2.09
229,2.09
230,2.09
231,1.89
232,1.79
233,2.09
234,2.29
235,2.4
236,2.4
237,2.4
238,1.89
239,1.89
240,2.09
241,2.29
