row_index,WMAN.Tm
1,2018-01-04 00:00:00
2,2018-01-04 00:00:07
3,2018-01-04 00:00:15
4,2018-01-04 00:00:22
5,2018-01-04 00:00:29
6,2018-01-04 00:00:37
7,2018-01-04 00:00:44
8,2018-01-04 00:00:51
9,2018-01-04 00:00:58
10,2018-01-04 00:01:05
11,2018-01-04 00:01:13
12,2018-01-04 00:01:20
13,2018-01-04 00:01:27
14,2018-01-04 00:01:34
15,2018-01-04 00:01:41
16,2018-01-04 00:01:49
17,2018-01-04 00:01:56
18,2018-01-04 00:02:03
19,2018-01-04 00:02:10
20,2018-01-04 00:02:17
21,2018-01-04 00:02:25
22,2018-01-04 00:02:32
23,2018-01-04 00:02:39
24,2018-01-04 00:02:46
25,2018-01-04 00:02:54
26,2018-01-04 00:03:01
27,2018-01-04 00:03:08
28,2018-01-04 00:03:15
29,2018-01-04 00:03:22
30,2018-01-04 00:03:30
31,2018-01-04 00:03:37
32,2018-01-04 00:03:44
33,2018-01-04 00:03:51
34,2018-01-04 00:03:58
35,2018-01-04 00:04:06
36,2018-01-04 00:04:13
37,2018-01-04 00:04:20
38,2018-01-04 00:04:27
39,2018-01-04 00:04:34
40,2018-01-04 00:04:42
41,2018-01-04 00:04:49
42,2018-01-04 00:04:56
43,2018-01-04 00:05:03
44,2018-01-04 00:05:10
45,2018-01-04 00:05:18
46,2018-01-04 00:05:25
47,2018-01-04 00:05:32
48,2018-01-04 00:05:39
49,2018-01-04 00:05:46
50,2018-01-04 00:05:54
51,2018-01-04 00:06:01
52,2018-01-04 00:06:08
53,2018-01-04 00:06:15
54,2018-01-04 00:06:22
55,2018-01-04 00:06:30
56,2018-01-04 00:06:37
57,2018-01-04 00:06:44
58,2018-01-04 00:06:51
59,2018-01-04 00:06:59
60,2018-01-04 00:07:06
61,2018-01-04 00:07:13
62,2018-01-04 00:07:20
63,2018-01-04 00:07:27
64,2018-01-04 00:07:35
65,2018-01-04 00:07:42
66,2018-01-04 00:07:49
67,2018-01-04 00:07:56
68,2018-01-04 00:08:03
69,2018-01-04 00:08:11
70,2018-01-04 00:08:18
71,2018-01-04 00:08:25
72,2018-01-04 00:08:32
73,2018-01-04 00:08:39
74,2018-01-04 00:08:47
75,2018-01-04 00:08:54
76,2018-01-04 00:09:01
77,2018-01-04 00:09:08
78,2018-01-04 00:09:15
79,2018-01-04 00:09:23
80,2018-01-04 00:09:30
81,2018-01-04 00:09:37
82,2018-01-04 00:09:44
83,2018-01-04 00:09:51
84,2018-01-04 00:09:59
85,2018-01-04 00:10:02
86,2018-01-04 00:10:10
87,2018-01-04 00:10:17
88,2018-01-04 00:10:24
89,2018-01-04 00:10:32
90,2018-01-04 00:10:39
91,2018-01-04 00:10:46
92,2018-01-04 00:10:53
93,2018-01-04 00:11:00
94,2018-01-04 00:11:08
95,2018-01-04 00:11:15
96,2018-01-04 00:11:22
97,2018-01-04 00:11:29
98,2018-01-04 00:11:36
99,2018-01-04 00:11:44
100,2018-01-04 00:11:51
101,2018-01-04 00:11:58
102,2018-01-04 00:12:05
103,2018-01-04 00:12:12
104,2018-01-04 00:12:20
105,2018-01-04 00:12:27
106,2018-01-04 00:12:34
107,2018-01-04 00:12:41
108,2018-01-04 00:12:48
109,2018-01-04 00:12:56
