row_index,WTUR.CTim.Wt.F32.WindElec
1,27239.38
2,27239.38
3,27239.38
4,27239.38
5,27239.39
6,27239.39
7,27239.39
8,27239.39
9,27239.39
10,27239.4
11,27239.4
12,27239.4
13,27239.4
14,27239.4
15,27239.41
16,27239.41
17,27239.41
18,27239.41
19,27239.41
20,27239.42
21,27239.42
22,27239.42
23,27239.42
24,27239.42
25,27239.43
26,27239.43
27,27239.43
28,27239.43
29,27239.43
30,27239.44
31,27239.44
32,27239.44
33,27239.44
34,27239.44
35,27239.45
36,27239.45
37,27239.45
38,27239.45
39,27239.45
40,27239.46
41,27239.46
42,27239.46
43,27239.46
44,27239.46
45,27239.47
46,27239.47
47,27239.47
48,27239.47
49,27239.47
50,27239.48
51,27239.48
52,27239.48
53,27239.48
54,27239.48
55,27239.49
56,27239.49
57,27239.49
58,27239.49
59,27239.49
60,27239.5
61,27239.5
62,27239.5
63,27239.5
64,27239.5
65,27239.51
66,27239.51
67,27239.51
68,27239.51
69,27239.51
70,27239.52
71,27239.52
72,27239.52
73,27239.52
74,27239.52
75,27239.53
76,27239.53
77,27239.53
78,27239.53
79,27239.53
80,27239.54
81,27239.54
82,27239.54
83,27239.54
84,27239.54
85,27239.55
86,27239.55
87,27239.55
88,27239.55
89,27239.55
90,27239.56
91,27239.56
92,27239.56
93,27239.56
94,27239.56
95,27239.57
96,27239.57
97,27239.57
98,27239.57
99,27239.57
100,27239.58
101,27239.58
102,27239.58
103,27239.58
104,27239.58
105,27239.59
106,27239.59
107,27239.59
108,27239.59
109,27239.59
110,27239.6
111,27239.6
112,27239.6
113,27239.6
114,27239.6
115,27239.61
116,27239.61
117,27239.61
118,27239.61
119,27239.61
120,27239.62
121,27239.62
122,27239.62
123,27239.62
124,27239.62
125,27239.63
126,27239.63
127,27239.63
128,27239.63
129,27239.63
130,27239.64
131,27239.64
132,27239.64
133,27239.64
134,27239.64
135,27239.65
136,27239.65
137,27239.65
138,27239.65
139,27239.65
140,27239.66
141,27239.66
142,27239.66
143,27239.66
144,27239.66
145,27239.67
146,27239.67
147,27239.67
148,27239.67
149,27239.67
150,27239.68
151,27239.68
152,27239.68
153,27239.68
154,27239.68
155,27239.69
156,27239.69
157,27239.69
158,27239.69
159,27239.69
160,27239.7
161,27239.7
162,27239.7
163,27239.7
164,27239.7
165,27239.71
166,27239.71
167,27239.71
168,27239.71
169,27239.71
170,27239.71
171,27239.72
172,27239.72
173,27239.72
174,27239.72
175,27239.72
176,27239.73
177,27239.73
178,27239.73
179,27239.73
180,27239.73
181,27239.74
182,27239.74
183,27239.74
184,27239.74
185,27239.74
186,27239.75
187,27239.75
188,27239.75
189,27239.75
190,27239.75
191,27239.76
192,27239.76
193,27239.76
194,27239.76
195,27239.76
196,27239.77
197,27239.77
198,27239.77
199,27239.77
200,27239.77
201,27239.78
202,27239.78
203,27239.78
204,27239.78
205,27239.78
206,27239.79
207,27239.79
208,27239.79
209,27239.79
210,27239.79
211,27239.8
212,27239.8
213,27239.8
214,27239.8
215,27239.8
216,27239.81
217,27239.81
218,27239.81
219,27239.81
220,27239.81
221,27239.82
222,27239.82
223,27239.82
224,27239.82
225,27239.82
226,27239.83
227,27239.83
228,27239.83
229,27239.83
230,27239.83
231,27239.84
232,27239.84
233,27239.84
234,27239.84
235,27239.84
236,27239.85
237,27239.85
238,27239.85
239,27239.85
240,27239.85
241,27239.86
242,27239.86
243,27239.86
244,27239.86
245,27239.86
246,27239.87
247,27239.87
248,27239.87
249,27239.87
250,27239.87
251,27239.88
252,27239.88
253,27239.88
254,27239.88
255,27239.88
256,27239.88
257,27239.89
258,27239.89
259,27239.89
260,27239.89
261,27239.89
262,27239.9
263,27239.9
264,27239.9
265,27239.9
266,27239.9
267,27239.91
268,27239.91
269,27239.91
270,27239.91
271,27239.92
272,27239.92
273,27239.92
274,27239.92
275,27239.92
276,27239.93
277,27239.93
278,27239.93
279,27239.93
280,27239.93
281,27239.94
282,27239.94
283,27239.94
284,27239.94
285,27239.94
286,27239.95
287,27239.95
288,27239.95
289,27239.95
290,27239.95
291,27239.96
292,27239.96
293,27239.96
294,27239.96
295,27239.96
296,27239.97
297,27239.97
298,27239.97
299,27239.97
300,27239.97
301,27239.98
302,27239.98
303,27239.98
304,27239.98
305,27239.98
306,27239.99
307,27239.99
308,27239.99
309,27239.99
310,27239.99
311,27240.0
312,27240.0
313,27240.0
314,27240.0
315,27240.0
316,27240.01
317,27240.01
318,27240.01
319,27240.01
320,27240.01
321,27240.02
322,27240.02
323,27240.02
324,27240.02
325,27240.02
326,27240.03
327,27240.03
328,27240.03
329,27240.03
330,27240.03
331,27240.04
332,27240.04
333,27240.04
334,27240.04
335,27240.04
336,27240.05
337,27240.05
338,27240.05
339,27240.05
340,27240.05
341,27240.05
342,27240.06
343,27240.06
344,27240.06
345,27240.06
346,27240.06
347,27240.07
348,27240.07
349,27240.07
350,27240.07
351,27240.07
352,27240.08
353,27240.08
354,27240.08
355,27240.08
356,27240.08
357,27240.09
358,27240.09
359,27240.09
360,27240.09
361,27240.09
362,27240.1
363,27240.1
364,27240.1
365,27240.1
366,27240.1
367,27240.11
368,27240.11
369,27240.11
370,27240.11
371,27240.11
372,27240.12
373,27240.12
374,27240.12
375,27240.12
376,27240.12
377,27240.13
378,27240.13
379,27240.13
380,27240.13
381,27240.13
382,27240.14
383,27240.14
384,27240.14
385,27240.14
386,27240.14
387,27240.15
388,27240.15
389,27240.15
390,27240.15
391,27240.16
392,27240.16
393,27240.16
394,27240.16
395,27240.16
396,27240.17
397,27240.17
398,27240.17
399,27240.17
400,27240.17
401,27240.18
402,27240.18
403,27240.18
404,27240.18
405,27240.18
406,27240.19
407,27240.19
408,27240.19
409,27240.19
410,27240.19
411,27240.2
412,27240.2
413,27240.2
414,27240.2
415,27240.2
416,27240.21
417,27240.21
418,27240.21
419,27240.21
420,27240.21
421,27240.21
422,27240.22
423,27240.22
424,27240.22
425,27240.22
426,27240.22
427,27240.23
428,27240.23
429,27240.23
430,27240.23
431,27240.23
432,27240.24
433,27240.24
434,27240.24
435,27240.24
436,27240.24
437,27240.25
438,27240.25
439,27240.25
440,27240.25
441,27240.25
442,27240.26
443,27240.26
444,27240.26
445,27240.26
446,27240.26
447,27240.27
448,27240.27
449,27240.27
450,27240.27
451,27240.27
452,27240.28
453,27240.28
454,27240.28
455,27240.28
456,27240.28
457,27240.29
458,27240.29
459,27240.29
460,27240.29
461,27240.29
462,27240.3
463,27240.3
464,27240.3
465,27240.3
466,27240.3
467,27240.31
468,27240.31
469,27240.31
470,27240.31
471,27240.31
472,27240.32
473,27240.32
474,27240.32
475,27240.32
476,27240.32
477,27240.33
478,27240.33
479,27240.33
480,27240.33
481,27240.33
482,27240.34
483,27240.34
484,27240.34
485,27240.34
486,27240.34
487,27240.35
488,27240.35
489,27240.35
490,27240.35
491,27240.35
492,27240.36
493,27240.36
494,27240.36
495,27240.36
496,27240.36
497,27240.37
498,27240.37
499,27240.37
500,27240.37
501,27240.37
502,27240.38
503,27240.38
504,27240.38
505,27240.38
506,27240.38
507,27240.38
508,27240.39
509,27240.39
510,27240.39
511,27240.39
512,27240.39
513,27240.4
514,27240.4
515,27240.4
516,27240.4
517,27240.4
518,27240.41
519,27240.41
520,27240.41
521,27240.41
522,27240.41
523,27240.42
524,27240.42
525,27240.42
526,27240.42
527,27240.42
528,27240.43
529,27240.43
530,27240.43
531,27240.43
532,27240.43
533,27240.44
534,27240.44
535,27240.44
536,27240.44
537,27240.44
538,27240.45
539,27240.45
540,27240.45
541,27240.45
542,27240.45
543,27240.46
544,27240.46
545,27240.46
546,27240.46
547,27240.46
548,27240.47
549,27240.47
550,27240.47
551,27240.47
552,27240.47
553,27240.48
554,27240.48
555,27240.48
556,27240.48
557,27240.48
558,27240.49
559,27240.49
560,27240.49
561,27240.49
562,27240.49
563,27240.5
564,27240.5
565,27240.5
566,27240.5
567,27240.5
568,27240.51
569,27240.51
570,27240.51
571,27240.51
572,27240.51
573,27240.52
574,27240.52
575,27240.52
576,27240.52
577,27240.52
578,27240.53
579,27240.53
580,27240.53
581,27240.53
582,27240.53
583,27240.54
584,27240.54
585,27240.54
586,27240.54
587,27240.54
588,27240.55
589,27240.55
590,27240.55
591,27240.55
592,27240.55
593,27240.55
594,27240.56
595,27240.56
596,27240.56
597,27240.56
598,27240.56
599,27240.57
600,27240.57
601,27240.57
602,27240.57
603,27240.57
604,27240.58
605,27240.58
606,27240.58
607,27240.58
608,27240.58
609,27240.59
610,27240.59
611,27240.59
612,27240.59
613,27240.59
614,27240.6
615,27240.6
616,27240.6
617,27240.6
618,27240.6
619,27240.61
620,27240.61
621,27240.61
622,27240.61
623,27240.61
624,27240.62
625,27240.62
626,27240.62
627,27240.62
628,27240.62
629,27240.63
630,27240.63
631,27240.63
632,27240.63
633,27240.63
634,27240.64
635,27240.64
636,27240.64
637,27240.64
638,27240.64
639,27240.65
640,27240.65
641,27240.65
642,27240.65
643,27240.65
644,27240.66
645,27240.66
646,27240.66
647,27240.66
648,27240.66
649,27240.67
650,27240.67
651,27240.67
652,27240.67
653,27240.67
654,27240.68
655,27240.68
656,27240.68
657,27240.68
658,27240.68
659,27240.69
660,27240.69
661,27240.69
662,27240.69
663,27240.69
664,27240.7
665,27240.7
666,27240.7
667,27240.7
668,27240.7
669,27240.71
670,27240.71
671,27240.71
672,27240.71
673,27240.71
674,27240.72
675,27240.72
676,27240.72
677,27240.72
678,27240.72
679,27240.73
680,27240.73
681,27240.73
682,27240.73
683,27240.73
684,27240.74
685,27240.74
686,27240.74
687,27240.74
688,27240.74
689,27240.75
690,27240.75
691,27240.75
692,27240.75
693,27240.75
694,27240.76
695,27240.76
696,27240.76
697,27240.76
698,27240.76
699,27240.77
700,27240.77
701,27240.77
702,27240.77
703,27240.77
704,27240.78
705,27240.78
706,27240.78
707,27240.78
708,27240.78
709,27240.79
710,27240.79
711,27240.79
712,27240.79
713,27240.79
714,27240.8
715,27240.8
716,27240.8
717,27240.8
718,27240.8
719,27240.81
720,27240.81
721,27240.81
722,27240.81
723,27240.81
724,27240.82
725,27240.82
726,27240.82
727,27240.82
728,27240.82
729,27240.83
730,27240.83
731,27240.83
732,27240.83
733,27240.83
734,27240.84
735,27240.84
736,27240.84
737,27240.84
738,27240.84
739,27240.85
740,27240.85
741,27240.85
742,27240.85
743,27240.85
744,27240.86
745,27240.86
746,27240.86
747,27240.86
748,27240.86
749,27240.87
750,27240.87
751,27240.87
752,27240.87
753,27240.87
754,27240.88
755,27240.88
756,27240.88
757,27240.88
758,27240.88
759,27240.88
760,27240.89
761,27240.89
762,27240.89
763,27240.89
764,27240.89
765,27240.9
766,27240.9
767,27240.9
768,27240.9
769,27240.9
770,27240.91
771,27240.91
772,27240.91
773,27240.91
774,27240.91
775,27240.92
776,27240.92
777,27240.92
778,27240.92
779,27240.92
780,27240.93
781,27240.93
782,27240.93
783,27240.93
784,27240.93
785,27240.94
786,27240.94
787,27240.94
788,27240.94
789,27240.94
790,27240.95
791,27240.95
792,27240.95
793,27240.95
794,27240.95
795,27240.96
796,27240.96
797,27240.96
798,27240.96
799,27240.96
800,27240.97
801,27240.97
802,27240.97
803,27240.97
804,27240.97
805,27240.98
806,27240.98
807,27240.98
808,27240.98
809,27240.99
810,27240.99
811,27240.99
812,27240.99
813,27240.99
814,27241.0
815,27241.0
816,27241.0
817,27241.0
818,27241.0
819,27241.01
820,27241.01
821,27241.01
822,27241.01
823,27241.01
824,27241.02
825,27241.02
826,27241.02
827,27241.02
828,27241.02
829,27241.03
830,27241.03
831,27241.03
832,27241.03
833,27241.03
834,27241.04
835,27241.04
836,27241.04
837,27241.04
838,27241.04
839,27241.05
840,27241.05
841,27241.05
842,27241.05
843,27241.05
844,27241.05
845,27241.06
846,27241.06
847,27241.06
848,27241.06
849,27241.06
850,27241.07
851,27241.07
852,27241.07
853,27241.07
854,27241.07
855,27241.08
856,27241.08
857,27241.08
858,27241.08
859,27241.08
860,27241.09
861,27241.09
862,27241.09
863,27241.09
864,27241.09
865,27241.1
866,27241.1
867,27241.1
868,27241.1
869,27241.1
870,27241.11
871,27241.11
872,27241.11
873,27241.11
874,27241.11
875,27241.12
876,27241.12
877,27241.12
878,27241.12
879,27241.12
880,27241.13
881,27241.13
882,27241.13
883,27241.13
884,27241.13
885,27241.14
886,27241.14
887,27241.14
888,27241.14
889,27241.14
890,27241.15
891,27241.15
892,27241.15
893,27241.15
894,27241.15
895,27241.16
896,27241.16
897,27241.16
898,27241.16
899,27241.16
