row_index,WNAC.WSpd.InstMag.TenSf
1,4.68
2,4.63
3,4.47
4,4.43
5,4.47
6,4.68
7,4.53
8,4.57
9,4.73
10,4.56
11,4.56
12,4.4
13,4.43
14,4.37
15,4.28
16,4.5
17,4.54
18,4.52
19,4.31
20,4.46
21,4.45
22,4.57
23,4.18
24,4.08
25,4.28
26,4.16
27,4.31
28,3.98
29,4.16
30,4.1
31,4.31
32,4.15
33,4.19
34,4.22
35,4.15
36,4.07
37,4.28
38,4.28
39,4.06
40,4.19
41,4.37
42,4.17
43,4.16
44,4.43
45,4.21
46,4.06
47,4.24
48,4.16
49,4.22
50,4.18
51,4.42
52,4.03
53,4.01
54,4.25
55,4.32
56,4.55
57,4.26
58,4.34
59,4.18
60,4.26
61,4.31
62,4.2
63,4.4
64,4.31
65,4.2
66,4.35
67,4.27
68,4.56
69,4.5
70,4.67
71,4.52
72,4.69
73,4.46
74,4.71
75,4.56
76,4.66
77,4.82
78,4.79
79,4.79
80,4.63
81,4.88
82,4.51
83,4.66
84,4.77
85,4.84
86,4.98
87,4.79
88,4.76
89,5.04
90,4.78
91,4.87
92,4.87
93,4.88
94,4.87
95,4.56
96,4.93
97,5.1
98,4.9
99,4.68
100,4.79
101,4.77
102,4.95
103,4.71
104,4.74
105,4.73
106,4.8
107,5.16
108,4.78
109,4.72
110,4.73
111,4.77
112,5.14
113,4.96
114,4.75
115,4.85
116,4.87
117,4.87
118,4.8
119,5.08
120,5.04
121,4.71
122,4.95
123,4.94
124,5.02
125,5.04
126,4.94
127,4.9
128,4.88
129,5.01
130,4.75
131,4.8
132,4.77
133,4.76
134,4.79
135,4.91
136,4.57
137,4.88
138,4.86
139,4.64
140,4.61
141,4.69
142,4.72
143,4.82
144,4.68
145,5.11
146,5.17
147,4.78
148,4.81
149,4.82
150,4.87
151,4.73
152,4.9
153,4.81
154,4.68
155,4.73
156,5.06
157,4.89
158,4.75
159,4.73
160,4.74
161,4.52
162,4.7
163,4.73
164,4.88
165,4.83
166,4.62
167,4.85
168,4.84
169,4.97
170,4.92
171,5.11
172,5.17
173,5.09
174,4.95
175,5.02
176,4.94
177,5.17
178,4.85
179,5.01
180,4.86
181,5.0
182,4.64
183,4.66
184,4.74
185,4.77
186,4.78
187,4.82
188,4.82
189,4.79
190,4.76
191,4.55
192,4.76
193,4.68
194,4.82
195,4.86
196,4.92
197,4.91
198,5.07
199,5.12
200,5.07
201,5.3
202,5.18
203,4.96
204,5.2
205,5.1
206,5.07
207,5.0
208,5.05
209,5.1
210,5.05
211,5.0
212,5.21
213,5.14
214,5.0
215,5.15
216,5.17
217,5.12
218,5.12
219,5.05
220,5.13
221,5.1
222,5.15
223,5.07
224,5.23
225,5.33
226,5.18
227,5.26
228,5.21
229,5.25
230,5.22
231,5.22
232,5.36
233,5.47
234,5.32
235,5.26
236,5.34
237,5.21
238,5.24
239,5.41
240,4.95
241,5.3
242,5.22
243,5.2
244,5.39
245,5.18
246,5.16
247,5.12
248,5.41
249,5.43
250,5.32
251,5.31
252,5.48
253,5.24
254,5.53
255,5.35
256,5.25
257,5.27
258,5.05
259,5.23
260,5.35
261,5.36
262,5.27
263,5.12
264,5.11
265,5.17
266,5.21
267,5.18
268,5.39
269,5.22
270,5.12
271,4.99
272,5.01
273,5.08
274,5.01
275,5.01
276,4.92
277,5.22
278,5.1
279,5.21
280,5.27
281,5.14
282,5.53
283,5.39
284,5.52
285,5.62
286,5.45
287,5.63
288,5.63
289,5.4
290,5.51
291,5.36
292,5.51
293,5.48
294,5.33
295,5.57
296,5.51
297,5.57
298,5.3
299,5.43
300,5.48
301,5.41
302,5.75
303,5.37
304,5.52
305,5.54
306,5.4
307,5.59
308,5.43
309,5.52
310,5.29
311,5.49
312,5.44
313,5.66
314,5.53
315,5.49
316,5.57
317,5.55
318,5.63
319,5.46
320,5.61
321,5.52
322,5.62
323,5.77
324,5.6
325,5.38
326,5.22
327,5.29
328,5.01
329,5.42
330,5.2
331,5.38
332,5.26
333,5.2
334,5.28
335,5.49
336,5.24
337,5.43
338,5.49
339,5.3
