row_index,WNAC.WSpd.InstMag.TenMf
1,4.51
2,4.52
3,4.52
4,4.52
5,4.52
6,4.52
7,4.53
8,4.53
9,4.53
10,4.53
11,4.53
12,4.53
13,4.52
14,4.51
15,4.5
16,4.5
17,4.5
18,4.5
19,4.49
20,4.48
21,4.48
22,4.48
23,4.47
24,4.45
25,4.44
26,4.42
27,4.41
28,4.39
29,4.38
30,4.37
31,4.35
32,4.34
33,4.34
34,4.34
35,4.33
36,4.32
37,4.32
38,4.32
39,4.31
40,4.3
41,4.3
42,4.3
43,4.29
44,4.29
45,4.29
46,4.28
47,4.27
48,4.26
49,4.26
50,4.25
51,4.25
52,4.24
53,4.23
54,4.22
55,4.22
56,4.24
57,4.24
58,4.24
59,4.24
60,4.25
61,4.25
62,4.24
63,4.25
64,4.25
65,4.25
66,4.25
67,4.25
68,4.26
69,4.28
70,4.3
71,4.31
72,4.34
73,4.35
74,4.36
75,4.37
76,4.38
77,4.41
78,4.44
79,4.46
80,4.48
81,4.5
82,4.51
83,4.51
84,4.53
85,4.54
86,4.57
87,4.58
88,4.59
89,4.61
90,4.63
91,4.63
92,4.64
93,4.66
94,4.67
95,4.67
96,4.69
97,4.71
98,4.72
99,4.72
100,4.72
101,4.72
102,4.74
103,4.74
104,4.75
105,4.75
106,4.75
107,4.77
108,4.78
109,4.78
110,4.78
111,4.78
112,4.8
113,4.81
114,4.81
115,4.81
116,4.81
117,4.81
118,4.82
119,4.83
120,4.84
121,4.85
122,4.84
123,4.84
124,4.84
125,4.85
126,4.85
127,4.86
128,4.86
129,4.87
130,4.87
131,4.86
132,4.86
133,4.86
134,4.86
135,4.86
136,4.84
137,4.85
138,4.85
139,4.83
140,4.83
141,4.82
142,4.82
143,4.81
144,4.8
145,4.82
146,4.83
147,4.83
148,4.84
149,4.83
150,4.83
151,4.83
152,4.83
153,4.83
154,4.83
155,4.82
156,4.83
157,4.83
158,4.82
159,4.81
160,4.82
161,4.8
162,4.8
163,4.79
164,4.79
165,4.79
166,4.79
167,4.79
168,4.79
169,4.8
170,4.81
171,4.82
172,4.84
173,4.85
174,4.86
175,4.87
176,4.87
177,4.88
178,4.89
179,4.89
180,4.89
181,4.9
182,4.89
183,4.88
184,4.87
185,4.86
186,4.86
187,4.84
188,4.84
189,4.84
190,4.83
191,4.82
192,4.82
193,4.81
194,4.81
195,4.81
196,4.81
197,4.82
198,4.83
199,4.85
200,4.86
201,4.88
202,4.9
203,4.91
204,4.92
205,4.93
206,4.94
207,4.95
208,4.96
209,4.97
210,4.98
211,4.97
212,4.99
213,5.0
214,5.0
215,5.0
216,5.01
217,5.02
218,5.03
219,5.02
220,5.02
221,5.03
222,5.03
223,5.04
224,5.05
225,5.06
226,5.07
227,5.08
228,5.08
229,5.09
230,5.09
231,5.1
232,5.11
233,5.12
234,5.14
235,5.15
236,5.15
237,5.16
238,5.17
239,5.17
240,5.17
241,5.17
242,5.16
243,5.17
244,5.18
245,5.18
246,5.18
247,5.18
248,5.19
249,5.2
250,5.22
251,5.22
252,5.23
253,5.23
254,5.24
255,5.25
256,5.25
257,5.26
258,5.26
259,5.26
260,5.26
261,5.27
262,5.26
263,5.25
264,5.24
265,5.23
266,5.23
267,5.22
268,5.23
269,5.23
270,5.23
271,5.22
272,5.21
273,5.2
274,5.2
275,5.19
276,5.18
277,5.18
278,5.18
279,5.18
280,5.18
281,5.18
282,5.19
283,5.21
284,5.23
285,5.25
286,5.26
287,5.28
288,5.29
289,5.3
290,5.31
291,5.33
292,5.34
293,5.35
294,5.35
295,5.36
296,5.37
297,5.37
298,5.38
299,5.38
300,5.39
301,5.39
302,5.4
303,5.41
304,5.41
305,5.42
306,5.41
307,5.42
308,5.42
309,5.42
310,5.42
311,5.42
312,5.42
313,5.43
314,5.43
315,5.44
316,5.45
317,5.46
318,5.47
319,5.47
320,5.47
321,5.48
322,5.49
323,5.51
324,5.52
325,5.52
326,5.51
327,5.5
328,5.48
329,5.47
330,5.45
331,5.45
332,5.44
333,5.43
334,5.42
335,5.42
336,5.42
337,5.41
338,5.42
339,5.41
340,5.41
341,5.4
342,5.4
343,5.4
344,5.4
345,5.39
346,5.39
347,5.38
348,5.37
349,5.36
350,5.35
351,5.33
352,5.31
353,5.29
354,5.27
355,5.25
356,5.23
357,5.21
358,5.21
359,5.2
360,5.18
361,5.16
362,5.15
363,5.14
364,5.13
365,5.11
366,5.1
367,5.09
368,5.08
369,5.07
370,5.06
371,5.05
372,5.04
373,5.03
374,5.03
375,5.02
376,5.02
377,5.0
378,5.0
379,4.99
380,4.99
381,4.97
382,4.95
383,4.93
384,4.91
385,4.89
386,4.87
387,4.86
388,4.84
389,4.82
390,4.8
391,4.78
392,4.77
393,4.76
394,4.74
395,4.73
396,4.71
397,4.7
398,4.68
399,4.68
400,4.67
401,4.67
402,4.65
403,4.63
404,4.62
405,4.6
406,4.6
407,4.59
408,4.58
409,4.58
410,4.57
411,4.57
412,4.57
413,4.58
414,4.57
415,4.57
416,4.57
417,4.59
418,4.6
419,4.61
420,4.61
421,4.61
422,4.61
423,4.62
424,4.64
425,4.66
426,4.67
427,4.7
428,4.71
429,4.72
430,4.73
431,4.73
432,4.73
433,4.72
434,4.72
435,4.7
436,4.68
437,4.69
438,4.69
439,4.7
440,4.7
441,4.7
442,4.71
443,4.71
444,4.7
445,4.69
446,4.68
447,4.68
448,4.67
449,4.67
450,4.67
451,4.66
452,4.65
453,4.65
454,4.65
455,4.64
456,4.63
457,4.63
458,4.65
459,4.65
460,4.65
461,4.67
462,4.69
463,4.69
464,4.69
465,4.71
466,4.71
467,4.73
468,4.76
469,4.78
470,4.8
471,4.81
472,4.82
473,4.83
474,4.84
475,4.84
476,4.85
477,4.86
478,4.88
479,4.9
480,4.91
481,4.94
482,4.96
483,4.96
484,4.98
485,4.99
486,4.99
487,5.01
488,5.02
489,5.03
490,5.06
491,5.08
492,5.1
493,5.11
494,5.13
495,5.15
496,5.16
497,5.17
498,5.17
499,5.17
500,5.18
501,5.19
502,5.19
503,5.2
504,5.21
505,5.21
506,5.21
507,5.2
508,5.21
509,5.21
510,5.21
511,5.2
512,5.19
513,5.19
514,5.2
515,5.23
516,5.25
517,5.26
518,5.26
519,5.27
520,5.28
521,5.28
522,5.29
523,5.29
524,5.3
525,5.3
526,5.31
527,5.32
528,5.32
529,5.32
530,5.31
531,5.3
532,5.31
533,5.3
534,5.3
