source_file,page_num,risks,layout_risk,avg_confidence,char_count,line_count,preview
"大型燃气-蒸汽联合循环电厂培训教材 M701F燃气轮机汽轮机分册 (深圳能源集团月亮湾燃机电厂，中国电机工程学会燃气轮机发电专业委员会编 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",375,短行过多、平均置信度偏低、版面顺序high,high,0.3692,185,33,全)-PK也PN了 (的-上K[|DK 5 ox)ae DK] @©-xK ®S re交 |af A 4 fd|ga|aX 3中 IE &多 a KI ee]5 和 & X时 ll ze |3 =玛 We <is e He gE ¢E)}p<— E)@)4= SS z a 2 T be p=!pe! be sc 3r by BS bs Rin oa be ...
"燃气轮机原理、结构与应用 下 (沈阳黎明航空发动机（集团）有限责任公司编著, Pdg2Pic) (z-library.sk, 1lib.sk, z-lib.sk).pdf",131,平均置信度偏低、版面顺序high,high,0.2051,3014,33,"emcees SRC MATRA BLOF SSSI,ES 66 AMMA IR.m a MNO A RCE TL BNI FRAGA RMR UL SCORER,b OD AR CR BENE ee— We-tee CRM oe rRmMMM AMM ROOT ER.PE. Aiea cre UAE RES, a4s sueKNNA RCSL RA ML..."
"燃气轮机原理、结构与应用 下 (沈阳黎明航空发动机（集团）有限责任公司编著, Pdg2Pic) (z-library.sk, 1lib.sk, z-lib.sk).pdf",451,平均置信度偏低、版面顺序high,high,0.2497,2184,34,"Gy RNS.HOE LAA RR I SRA EERO mimcteaeR. CLI RRR re eel rererrr iy. AGM RSI zm Se OO RO 2AM A RO 多片能估大的失信变,才能迷供和大的 REMUS—A aa ZAERO AER AK mano se aR RK A BLL.27 OR CRN ocr mL,aR A..."
"燃气轮机与燃气-蒸汽联合循环装置 下 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",269,平均置信度偏低、版面顺序high,high,0.2669,721,46,Me MUeh ym eR eM ERE FMP AKG HRSG OE ‘em ce[TD ‘ome ce A amamE mre Pore ory Pe CO eC，本所如 foe)“snk Korea [TCD Pres sia ks coca!用内水的和 TD HRSG A Anes TY Ab ie marae REAKAFOAD arcu ov...
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",95,平均置信度偏低、版面顺序high,high,0.3073,509,21,负号意味著册过程中BARMTAR He tx. LF OMRRR PEP Sw pe Re HAE° BUR RARE© —_—~err ECE es A AYER¢Acs 4 8 Fhe HUIS O°TIKES Ae Miki MEER ME MERE LARK HAES 热WORK HAASE.RSDP RSG Stee“ER Oe»Paneth o...
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",129,平均置信度偏低、版面顺序high,high,0.31,498,29,"WHURME AA«Ai Reverch Mamtactriog Cox)I lea ae ne ed ee homeo, wena,me le So 124 es ed eed PO ee Cod) worm ES[ee]oe|vo—[=J-F ore fram im om[ay hae=[ae[al omen OR[awe]om|as=peer “rr..."
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",109,平均置信度偏低、版面顺序high,high,0.3136,234,15,By TEAST REIN TL AA w 209 US© 例题”EAM 2-3 ne Ae而[ARSE ROU Bo UR +30884 CAE) ARATE 9.0284{-#)。 L oo 第可知RRA Rik Roy tee SHAR LT RMR TG By ee 解RAD eset la PR AUR OUR BR MPa HR te 5+DH...
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",46,平均置信度偏低、版面顺序high,high,0.3226,376,34,AAS a2)Ww REA TEES SHR SABA ARES Colbie«AL Seka?o> XARA* Rint i Olea RRR Ret RRR AEE PARA BARAT Bo应局 合还的公式pinning Beg BALI AET TES RANA BE”芝 SBR S BAY SEER nea Laetisx 3 a A hs Ma...
"燃气轮机与燃气-蒸汽联合循环装置 上 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",116,平均置信度偏低、版面顺序high,high,0.3269,8851,39,HM_AL eye RA Mom RE 式中“口一分子扩用系数， Vix Ve AUR A CO PERI ie Se.OSEAN PS Wee 男57 matinee PURSE CRS“CORI BRIO REAL IG TAUREN 28 Drecw mm 8s SANSA所以 ss es APES Ses.Mea RFA TICE LHR IH. ...
"燃气轮机与燃气-蒸汽联合循环装置 下 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",295,平均置信度偏低、版面顺序high,high,0.3333,624,43,ML_Behe eA aA MOORE 表246中给出了电厂的建设进度.。 表24.7中给出了电厂的运行性能指标. 表24.8中给出了进行电厂技术经济分析时，所选用的电厂费用和财务计算数据 us aremete aren en PRL ED i wat os—01—o1 aw arimntemms as armenia ae an [Seas cee a6...
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",141,平均置信度偏低、版面顺序high,high,0.336,691,34,"[RE ‘PRS ston Gan Tuas URIEE Takes,RONEN.T RHSM Gear Doon Hm- Wis WARAM Gul-tavt Taine ABD mA sw|Re[RRP mITER|Ses gop]| 和二和GT村，二民有一人机，=GH—ROTIORTRR, 136 so'[m alee vn woe|e|e[ge C..."
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",306,平均置信度偏低、版面顺序high,high,0.341,415,24,"六roayess at gorse! HER(9-66 FB $7+170(7814+9—3248+1) QRH CRS WBA-3 5)。Sgt,MAMTC.Hue MAL Fb xng 570275 Bs or f=ag= LOR/AE),HRAHEIE®90°C,Bie UEL 气热力性质表得: 2 5C时，区scj-2064.1【〔痰卡/莫尔]5 ..."
"燃气轮机原理、结构与应用 下 (沈阳黎明航空发动机（集团）有限责任公司编著, Pdg2Pic) (z-library.sk, 1lib.sk, z-lib.sk).pdf",417,平均置信度偏低、版面顺序high,high,0.3483,5049,27,"Ba.72 BR HC MURR RM OM,He RRO Wh,该旅社在夏季每天平均所需电力 300K W 4825S ROH 1SORW EH HR OOK.EMM mS MAE AUR REARS,RRR IEA 一各RW单对骨气轮机,其所产生的电 力和高和只能满足一部分需要,不必的电| See KL MRA TL ERE WEN eT EE. TA..."
"燃气轮机与燃气-蒸汽联合循环装置 上 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",268,平均置信度偏低、版面顺序high,high,0.3527,3688,34,"BEL*ieh bet anMommRE 关系，对阻尼较小的系统，接近实际， 一单位质量的阻尼系数.， BLA《结构内阴力)等。 式(9-4)的通解为 -本-ww一 DL teak ATA, Ais Yes Amen,save. “FIA ATLL eat 1.es Se LA 055 RA LR SEERA,BI oyna)(2)=0.908700,= ..."
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",232,平均置信度偏低、版面顺序high,high,0.3539,414,20,"Bel PgiZlel MIPI>Leg leet PAl>12, 功大于所得到的功*ARATE SHADE ALAA PG MH©bk baie Ae> MES wakes ARITA© FBR ART AA TD PR 7 ailanee aus处处的压力得等区与。 BREAGE VRE MIRAE Rtwit o RHBE LAB DT STROKE..."
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",291,平均置信度偏低、版面顺序high,high,0.3548,824,38,"1&人Ke A|1 a sa i lj Ae laa ote one i P Mage5 wee Ibe as Ue ，ih,RA?APH OA SORE. t i+WW)i yi. EA t4|iy Py,._Y wR BIS Re occ MEST Feed x,te Rest pe Home Me ya So pee Lops ES fi]is ae..."
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",302,平均置信度偏低、版面顺序high,high,0.3571,367,24,"Fe,RTS t: 式中，凡标注了的均为燃料的矢: tas tg AR,ABS 6 Re Ks HST ARAM ft Bk an Gag lt AE Ba GT Vii ho 4‘riVr 代入上式得: Le lee ora D+He be Parity alae wih]+rxDltfc-et 3 将式{5一上9。)RIB,A: ga Tate Chg..."
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",330,平均置信度偏低、版面顺序high,high,0.3584,783,35,"=oye aati所 a.a eS La I ae机Pee了4£2, ee nee we Ne :.i i|_7 |I w BONO fo Ree ies,|二二/“ 和94 =本-一一一-er一一Ton moro 7 aa vv|人全sie,了we了|| 1 mi#1*.1二 Wi FEM BLS IE|关么9 cs”ee SL.、 GLA REP EE..."
"燃气轮机原理、结构与应用 上 (沈阳黎明航空发动机（集团）有限责任公司编著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",312,平均置信度偏低、版面顺序high,high,0.3605,516,31,"各种组成气体的低发热量,J/m;(或J/kg) on CT oor on or 196.2 oo ears 气体燃料中各组成气体的低发热其可以参考表5.4 BO sumone Coroners) -ET 3570.9 q ares oo 式申,为气体榴料中各种组成气体的标准体积百分数或重量百分数;1为气体燃料中 表5 3 RAAT TERA OPUS.56..."
"燃气涡轮发动机燃烧 第3版 (（英）A.H.勒菲沃（Arthur etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",421,平均置信度偏低、版面顺序high,high,0.3621,906,43,"402 SURE ARMANI(38 3版) te sex|AST iene ee|FMR]4, (no) aaa[sos m7 sane|crso)|8 ao se SR aR ‘=-47|pser2,ps seit cent|ceo|mus RIE(o/s) as29,a8, mosete|tata EE re 25h) AEB,上条昌林伦，私人通信2..."
"燃气轮机可靠性维护理论及应用 (张会生，周登极编著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",230,平均置信度偏低、版面顺序high,high,0.3624,853,53,#REEKE|REKKE x a ae &|x|Lame|Cae Re=en “|@|)Zeek|Swe P坚 B\|HEene|ween z基起 &|sreky ara wy 24 sau Bl/SEuRS|SeHNS aaa S#R @)x2 7%RE a 3 HE Re sis =Fa e Ey el x=Fl&ye #ES 4 ae K K =ig...
"燃气轮机 (南京燃气轮机研究所编) (z-library.sk, 1lib.sk, z-lib.sk).pdf",36,平均置信度偏低、版面顺序high,high,0.3652,2412,81,5 2« 所= =|S 3 se 2= «x= ~77 ae a) ee& a|o 9 S 2.8 on q 3 er=te a=wer i ee aca< 本er am|*| 5 1 1 1 19 5 327 821 62 44 55.423630 28 5 1 1 1 19 6 467 761 65 22 55.636398 ag 5 1 1 1 19...
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",321,平均置信度偏低、版面顺序high,high,0.3652,845,38,"rr i ee =See ee seats ee=sana ual=|=aires west Soe |a a oe a Gj-Ze |28 Sh RA SCR INHOTT|T>|a 一-上 加a SS Re ae Bie 5a BRP et Zoe fe 1 fe Sa~~(7b,|sc入. oye dk ie Ze oe.oc Bae ee tn t..."
"燃气轮机可靠性维护理论及应用 (张会生，周登极编著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",146,平均置信度偏低、版面顺序high,high,0.366,1480,32,"FRY REML DL TRA A FET 9 aie A OL REE 6.3”燃气轮机结构强度相关故障的FMECA 际机组的故障记录5=AR RCA FMECA的分析。将分析后的结果填人表6 1, ml|击间机报朗| al)[eae eA ALR SEA CH ULI COU AC HI AR 2.CAR COR LRN ROR A.(a ADH CH..."
"燃气轮机 (南京燃气轮机研究所编) (z-library.sk, 1lib.sk, z-lib.sk).pdf",37,平均置信度偏低、版面顺序high,high,0.3672,1382,61,型 An &入= z= =Fa. x|8= =Ee 长长 K bd Qg四 »<<<2<«<<z==z=26= ¥\»a 5 8 2 BE= Be Ee ES“FT *Je!38 8 8 een ee gees Rial==全ss= 3s|#)5 3S 2 6 SS 3 3人B&ES SS #/©S$&os©8&§4 oso NN wo Ss SS= x|...
