source_file,page_num,flags,accepted,reason,original_score,best_score,original_avg_confidence,chosen_avg_confidence,original_char_count,chosen_char_count,candidate_count,elapsed_s
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",53,平均置信度偏低、短行过多,True,quality_improved,40.5108,104.0614,0.4471,0.5276,63,1132,4,20.877
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",116,平均置信度偏低、版面顺序high,True,quality_improved,94.7202,103.0268,0.3777,0.4376,1154,21467,4,14.602
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",129,平均置信度偏低、版面顺序high,True,quality_improved,52.9676,147.7094,0.31,0.8144,498,10306,4,8.032
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",141,平均置信度偏低、版面顺序high,True,quality_improved,64.6303,147.554,0.336,0.801,691,9699,4,10.923
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",1,平均置信度偏低,True,quality_improved,63.3917,92.2153,0.2587,0.2496,662,2601,4,22.474
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",103,平均置信度偏低,False,candidate_lost_too_much_text,108.7844,155.2051,0.3974,0.3974,4784,4784,4,17.1
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",104,平均置信度偏低,False,candidate_lost_too_much_text,96.4139,121.4165,0.3035,0.3035,2980,2980,4,10.779
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",132,平均置信度偏低,True,quality_improved,55.6007,145.6646,0.3774,0.8282,427,4894,4,7.544
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",133,平均置信度偏低,True,quality_improved,99.9642,152.528,0.3391,0.8909,4639,15044,4,9.911
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",142,平均置信度偏低,False,candidate_lost_too_much_text,99.2286,127.1893,0.3591,0.3591,1924,1924,4,7.302
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",145,平均置信度偏低,True,quality_improved,55.9905,146.6092,0.3468,0.8464,497,21256,4,9.57
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",146,平均置信度偏低,True,quality_improved,42.1566,148.641,0.386,0.8675,134,7542,4,8.451
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",130,短行过多,True,quality_improved,71.4319,147.104,0.5573,0.8055,310,4280,4,7.12
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",7,版面顺序high,False,candidate_lost_too_much_text,138.1233,148.6859,0.7186,0.7186,15695,15695,2,8.383
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",44,版面顺序high,True,quality_improved,101.5683,112.036,0.5742,0.7208,630,488,2,6.238
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",50,版面顺序high,True,quality_improved,128.6509,151.6525,0.6788,0.8406,870,26102,2,7.726
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",52,版面顺序high,False,quality_not_improved_enough,130.9952,136.7648,0.816,0.816,577,577,2,5.322
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",68,版面顺序high,True,quality_improved,130.0947,143.3057,0.7205,0.8779,787,660,2,6.212
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",105,版面顺序high,False,quality_not_improved_enough,118.2007,124.3342,0.6948,0.6948,633,633,2,5.971
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",118,版面顺序high,False,quality_not_improved_enough,87.0388,88.6796,0.4736,0.4736,624,624,2,5.941
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",136,版面顺序high,True,quality_improved,96.5922,107.9838,0.6838,0.8039,327,434,2,3.664
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",137,版面顺序high,True,quality_improved,107.1656,144.6161,0.6311,0.7771,686,7313,2,5.136
