row_index,WNAC.Dir.InstMag.f
1,-4.11
2,-3.17
3,-2.33
4,-1.65
5,-1.33
6,-1.0
7,-0.82
8,-0.77
9,-0.64
10,-0.33
11,-0.08
12,0.31
13,0.63
14,0.8
15,0.72
16,0.81
17,1.02
18,1.21
19,1.38
20,1.55
21,1.57
22,1.64
23,1.17
24,0.54
25,0.07
26,-0.06
27,-0.14
28,0.04
29,0.26
30,0.29
31,0.29
32,0.74
33,1.07
34,1.39
35,1.5
36,1.49
37,1.5
38,1.38
39,1.15
40,1.31
41,1.39
42,1.42
43,1.22
44,0.89
45,0.57
46,0.31
47,-0.16
48,-0.29
49,-0.68
50,-0.95
51,-1.06
52,-1.69
53,-2.19
54,-2.34
55,-2.21
56,-1.94
57,-2.11
58,-2.73
59,-3.34
60,-3.76
61,-3.92
62,-4.61
63,-5.18
64,-5.67
65,-6.05
66,-6.31
67,-6.39
68,-6.78
69,-6.87
70,-6.67
71,-6.3
72,-6.16
73,-5.9
74,-5.62
75,-5.53
76,-5.43
77,-5.57
78,-5.54
79,-5.51
80,-5.29
81,-4.86
82,-4.38
83,-4.03
84,-3.95
85,-3.88
86,-3.66
87,-3.81
88,-4.01
89,-4.21
90,-4.54
91,-4.59
92,-4.98
93,-5.01
94,-4.7
95,-4.77
96,-4.67
97,-4.39
98,-4.41
99,-4.48
100,-4.04
101,-3.95
102,-4.09
103,-4.34
104,-4.38
105,-4.44
106,-4.69
107,-5.3
108,-5.77
109,-5.29
110,-4.72
111,-4.05
112,-3.23
113,-2.82
114,-2.64
115,-2.51
116,-2.11
117,-1.76
118,-1.66
119,-1.79
120,-1.78
121,-1.64
122,-1.77
123,-1.69
124,-1.4
125,-0.96
126,-0.72
127,-0.64
128,-0.72
129,-0.72
130,-0.53
131,-0.62
132,-0.91
133,-0.9
134,-1.03
135,-0.77
136,-0.49
137,-0.19
138,0.01
139,0.3
140,0.55
141,0.71
142,0.96
143,1.36
144,1.52
145,1.82
146,2.17
147,2.28
148,2.16
149,2.15
150,1.94
151,1.83
152,1.63
153,1.72
154,1.78
155,1.98
156,2.24
157,2.32
158,2.49
159,2.79
160,3.19
161,3.35
162,3.55
163,3.51
164,3.26
165,3.01
166,3.01
167,2.81
168,2.62
169,2.38
170,1.94
171,1.77
172,1.67
173,1.61
174,1.44
175,1.25
176,1.13
177,1.25
178,1.47
179,1.41
180,1.41
181,1.46
182,1.5
