row_index,WROT.RotSpd.InstMag_1.i
1,10.01
2,9.92
3,10.03
4,9.99
5,9.94
6,10.03
7,9.89
8,10.01
9,10.03
10,9.89
11,10.03
12,9.94
13,9.99
14,10.03
15,9.89
16,10.03
17,9.96
18,9.99
19,10.03
20,9.92
21,9.98
22,10.01
23,9.92
24,9.99
25,9.99
26,9.82
27,10.01
28,9.98
29,9.98
30,10.03
31,9.86
32,10.03
33,9.98
34,9.96
35,10.03
36,9.92
37,9.98
38,10.03
39,9.92
40,10.06
41,9.92
42,9.99
43,10.03
44,9.98
45,10.01
46,9.99
47,10.03
48,9.92
49,10.03
50,9.86
51,10.08
52,9.98
53,10.01
54,9.94
55,9.98
56,9.96
57,10.01
58,10.06
59,9.94
60,10.01
61,9.92
62,10.06
63,9.99
64,9.99
65,10.08
66,10.1
67,10.13
68,10.25
69,10.28
70,10.39
71,10.4
72,10.42
73,10.51
74,10.63
75,10.71
76,10.64
77,10.74
78,10.68
79,10.76
80,10.68
81,10.74
82,10.74
83,10.76
84,10.85
85,10.74
86,10.9
87,10.83
88,10.85
89,10.95
90,10.98
91,10.93
92,11.07
93,11.07
94,11.04
95,11.05
96,11.04
97,11.05
98,11.12
99,11.1
100,11.04
101,11.07
102,11.09
103,11.05
104,11.09
105,11.12
106,11.05
107,11.16
108,11.05
109,11.05
110,10.98
111,10.98
112,10.83
113,10.8
114,10.88
115,10.74
116,10.93
117,10.95
118,10.93
119,10.93
120,10.83
121,10.83
122,10.78
123,10.68
124,10.74
125,10.66
126,10.63
127,10.74
128,10.66
129,10.68
130,10.64
131,10.49
132,10.54
133,10.57
134,10.44
135,10.42
136,10.44
137,10.42
138,10.42
139,10.37
140,10.33
141,10.28
142,10.35
143,10.23
144,10.3
145,10.33
146,10.35
147,10.35
148,10.33
149,10.35
150,10.4
151,10.4
152,10.35
153,10.22
154,10.33
155,10.25
156,10.33
157,10.27
158,10.2
159,10.08
160,10.06
161,10.11
162,10.11
163,10.13
164,10.13
165,10.35
166,10.42
167,10.47
168,10.44
169,10.52
170,10.56
171,10.68
172,10.61
173,10.71
174,10.69
175,10.63
176,10.68
177,10.66
178,10.51
179,10.57
180,10.49
181,10.4
182,10.42
183,10.35
184,10.33
185,10.28
186,10.28
187,10.23
188,10.27
189,10.37
190,10.4
191,10.42
192,10.42
193,10.47
194,10.57
195,10.63
196,10.66
197,10.8
198,10.78
199,10.81
200,10.92
201,10.98
202,11.12
203,11.12
204,11.12
205,11.21
206,11.17
207,11.12
208,11.26
209,11.29
210,11.24
211,11.26
212,11.24
213,11.22
214,11.21
215,11.12
216,11.16
217,11.19
218,11.22
219,11.24
220,11.17
221,11.17
222,11.26
223,11.24
224,11.21
225,11.16
226,11.16
227,11.21
228,11.12
229,11.12
230,11.16
231,11.1
232,11.05
233,11.09
234,11.1
235,11.04
236,11.05
237,11.07
238,11.05
239,11.07
240,11.07
241,11.07
242,11.12
243,11.05
244,11.07
245,11.12
246,11.1
247,11.02
248,11.12
249,11.12
250,11.17
251,11.12
252,11.05
253,11.12
254,11.04
255,11.16
256,11.09
257,11.21
258,11.17
259,11.02
260,11.19
261,11.09
262,11.09
263,11.07
264,11.05
265,10.97
266,10.98
267,10.95
268,11.04
269,11.07
270,11.07
271,11.05
272,11.02
273,10.98
274,11.02
275,11.09
276,11.09
277,11.1
278,11.09
279,11.17
280,11.21
281,11.29
282,11.46
283,11.51
284,11.58
285,11.5
286,11.58
287,11.62
288,11.6
289,11.72
290,11.62
291,11.67
292,11.74
293,11.65
294,11.72
295,11.63
296,11.77
297,11.74
298,11.84
299,11.75
300,11.75
301,11.74
302,11.7
303,11.74
304,11.77
305,11.79
306,11.86
307,11.79
308,11.84
309,11.8
310,11.84
311,11.8
312,11.96
313,12.01
314,11.96
315,12.01
316,12.13
317,12.11
318,12.2
319,12.16
320,12.18
321,12.13
322,12.13
323,12.2
324,12.18
325,12.11
326,11.84
327,11.79
328,11.6
329,11.51
330,11.57
331,11.6
332,11.67
333,11.62
334,11.6
335,11.62
336,11.58
337,11.62
338,11.63
339,11.72
340,11.67
341,11.6
342,11.6
343,11.62
344,11.6
345,11.58
346,11.57
347,11.62
348,11.46
349,11.48
350,11.43
351,11.39
352,11.31
353,11.22
354,11.17
355,11.04
356,11.07
357,11.1
358,11.12
359,11.09
360,11.07
361,10.95
362,10.95
363,10.95
364,10.93
365,10.95
366,10.9
367,10.9
368,10.93
369,10.95
370,10.92
371,10.8
372,10.88
373,10.8
374,10.92
375,10.85
376,10.83
377,10.8
378,10.85
379,10.8
380,10.63
381,10.69
382,10.68
383,10.64
384,10.54
385,10.63
386,10.49
387,10.42
388,10.4
389,10.4
390,10.35
391,10.35
392,10.37
393,10.28
394,10.28
395,10.2
396,10.39
397,10.39
398,10.37
399,10.22
400,10.3
401,10.22
402,10.22
403,10.13
404,10.11
405,10.16
406,10.11
407,10.15
408,10.13
409,10.3
410,10.22
411,10.37
412,10.4
413,10.44
414,10.37
415,10.37
416,10.39
417,10.37
418,10.44
419,10.42
420,10.44
421,10.42
422,10.33
423,10.4
424,10.66
425,10.69
426,10.76
427,10.71
428,10.76
429,10.8
430,10.74
431,10.61
432,10.69
433,10.64
434,10.56
435,10.61
436,10.54
437,10.44
438,10.39
439,10.42
440,10.51
441,10.42
442,10.47
443,10.39
444,10.39
445,10.4
446,10.33
447,10.3
448,10.33
449,10.44
450,10.37
451,10.37
452,10.4
453,10.4
454,10.4
455,10.39
456,10.42
457,10.35
458,10.42
459,10.54
460,10.57
461,10.68
462,10.71
463,10.68
464,10.74
465,10.69
466,10.78
467,10.95
468,10.95
469,11.09
470,11.21
471,11.21
472,11.1
473,11.17
474,11.16
475,11.24
476,11.22
477,11.39
478,11.36
479,11.26
480,11.12
481,10.97
482,10.81
483,10.74
484,10.57
485,10.39
486,10.44
487,10.4
488,10.57
489,10.61
490,10.8
491,10.78
492,10.78
493,10.85
494,10.85
495,10.81
496,10.93
497,10.93
498,10.83
499,10.85
500,10.78
501,10.64
502,10.68
503,10.68
504,10.71
505,10.8
506,10.8
507,10.8
508,10.9
509,10.83
510,10.83
511,10.85
512,10.9
513,10.95
514,10.93
515,10.95
516,10.95
517,11.04
518,10.98
519,11.17
520,11.12
521,11.21
522,11.24
523,11.31
524,11.33
525,11.39
526,11.34
527,11.24
528,11.22
529,11.07
530,11.09
531,11.04
532,10.9
533,10.98
534,11.02
535,10.92
536,10.98
537,10.95
538,10.95
539,11.02
540,10.95
541,11.02
542,10.98
543,10.97
544,10.98
545,11.04
546,11.21
547,11.29
548,11.48
549,11.6
550,11.53
551,11.63
552,11.6
553,11.62
554,11.75
555,11.72
556,11.8
557,11.8
558,11.98
559,11.91
560,11.77
561,11.87
562,11.92
563,12.04
564,12.04
565,12.16
566,12.27
567,12.32
568,12.15
569,12.28
570,12.25
571,12.2
572,12.16
573,12.18
574,12.18
575,12.06
576,12.11
577,12.06
578,12.04
579,12.15
580,12.25
581,12.2
582,12.4
583,12.4
584,12.4
585,12.44
586,12.51
587,12.44
588,12.42
589,12.44
590,12.37
591,12.32
592,12.27
593,12.28
594,12.33
595,12.42
596,12.47
597,12.54
598,12.54
599,12.47
600,12.47
601,12.4
602,12.42
603,12.45
604,12.39
605,12.4
606,12.4
607,12.44
608,12.4
609,12.44
610,12.42
611,12.32
612,12.33
613,12.45
614,12.52
615,12.54
616,12.54
617,12.45
618,12.42
619,12.4
620,12.39
621,12.32
622,12.25
623,12.25
624,12.18
625,12.23
626,12.18
627,12.06
628,12.04
629,12.15
630,12.04
631,12.11
632,12.01
633,12.09
634,12.01
635,12.15
636,12.06
637,12.11
638,12.13
639,12.03
640,12.13
641,12.09
642,12.09
643,12.06
644,12.09
645,12.09
646,12.09
647,11.92
648,11.92
649,11.86
650,11.84
651,11.79
652,11.75
653,11.77
654,11.63
655,11.65
656,11.62
657,11.6
658,11.67
659,11.67
660,11.7
661,11.65
662,11.65
663,11.63
664,11.6
665,11.65
666,11.62
667,11.53
668,11.57
669,11.57
670,11.53
671,11.63
672,11.77
673,11.77
674,11.8
675,11.77
676,11.86
677,11.8
678,11.84
679,11.74
680,11.63
681,11.62
682,11.7
683,11.67
684,11.63
685,11.63
686,11.74
687,11.86
688,11.99
689,12.09
690,12.15
691,12.23
692,12.27
693,12.37
694,12.44
695,12.51
696,12.54
697,12.57
698,12.57
699,12.61
700,12.64
701,12.59
702,12.61
703,12.64
704,12.57
705,12.51
706,12.61
707,12.52
708,12.57
709,12.59
710,12.64
711,12.51
712,12.56
713,12.44
714,12.52
715,12.59
716,12.51
717,12.45
718,12.52
719,12.44
720,12.52
721,12.56
722,12.64
723,12.69
724,12.81
725,12.73
726,12.64
727,12.54
728,12.56
729,12.54
730,12.42
731,12.45
732,12.39
733,12.45
734,12.44
735,12.54
736,12.47
737,12.66
738,12.68
739,12.64
740,12.57
741,12.57
742,12.45
743,12.39
744,12.33
745,12.33
746,12.25
747,12.3
748,12.15
749,12.2
750,12.15
751,12.15
752,12.13
753,12.11
754,12.04
755,12.2
756,12.2
757,12.18
758,12.18
759,12.25
760,12.27
761,12.15
762,12.2
763,12.13
764,12.15
765,12.09
766,12.11
767,12.01
768,11.96
769,12.09
770,12.04
771,12.13
772,12.13
773,12.15
774,12.11
775,12.15
776,12.11
777,12.2
778,12.25
779,12.2
780,12.2
781,12.25
782,12.28
783,12.27
784,12.33
785,12.44
786,12.42
787,12.45
788,12.56
789,12.51
790,12.61
791,12.71
792,12.68
793,12.78
794,12.8
795,12.78
796,12.69
797,12.71
798,12.64
799,12.71
800,12.69
801,12.61
802,12.59
803,12.61
804,12.59
805,12.56
806,12.57
807,12.51
808,12.51
809,12.44
810,12.56
811,12.51
812,12.59
813,12.52
814,12.52
815,12.51
816,12.54
817,12.44
818,12.45
819,12.52
820,12.47
821,12.47
822,12.45
823,12.32
824,12.4
825,12.42
826,12.47
827,12.45
828,12.51
829,12.45
830,12.51
831,12.44
832,12.4
833,12.4
834,12.39
835,12.3
836,12.25
837,12.06
838,12.06
839,11.99
840,12.04
841,11.96
842,12.04
843,12.03
844,11.98
845,12.03
846,11.91
847,11.92
848,11.89
849,11.79
850,11.79
851,11.7
852,11.75
853,11.63
854,11.58
855,11.6
856,11.63
857,11.6
858,11.65
859,11.65
860,11.72
861,11.58
862,11.77
863,11.72
864,11.74
865,11.87
866,11.79
867,11.79
868,11.62
869,11.72
870,11.65
871,11.67
872,11.72
873,11.67
874,11.72
875,11.75
876,11.79
877,11.8
878,11.84
879,11.8
880,11.77
881,11.87
882,11.74
883,11.89
884,11.8
885,11.89
886,11.75
887,11.77
888,11.86
889,11.8
890,11.77
891,11.79
892,11.8
893,11.84
894,11.89
895,11.89
896,11.77
897,11.87
898,11.96
899,11.99
900,12.11
901,12.16
902,12.2
903,12.28
904,12.25
905,12.27
906,12.27
907,12.15
908,12.16
909,12.15
910,12.25
911,12.2
912,12.25
913,12.11
914,12.15
915,12.09
916,12.11
917,12.15
918,12.23
919,12.25
920,12.51
921,12.54
922,12.51
923,12.44
924,12.42
925,12.4
926,12.37
927,12.37
928,12.23
929,12.27
930,12.18
931,12.16
932,12.13
933,12.13
934,12.23
935,12.18
936,12.06
937,11.98
938,12.06
939,11.87
940,11.87
941,11.91
942,12.01
943,12.06
944,12.15
945,12.2
946,12.28
947,12.33
948,12.18
949,12.25
950,12.27
951,12.32
952,12.2
953,12.2
954,12.11
955,12.16
956,12.04
957,12.04
958,11.89
959,12.03
960,11.89
961,11.92
962,12.01
963,11.96
964,11.91
965,11.86
966,11.87
967,11.79
968,11.75
969,11.67
970,11.77
971,11.75
972,11.75
973,11.79
974,11.8
975,11.84
976,11.79
977,11.75
978,11.84
979,11.75
980,11.84
981,11.87
982,11.74
983,11.74
984,11.62
985,11.58
986,11.58
987,11.6
988,11.6
989,11.62
990,11.62
991,11.51
992,11.53
993,11.43
994,11.46
995,11.34
996,11.31
997,11.33
998,11.29
999,11.17
1000,11.19
1001,11.22
1002,11.34
1003,11.65
1004,11.92
1005,12.01
1006,12.18
1007,12.2
1008,12.06
1009,12.01
1010,11.99
1011,11.96
1012,11.96
1013,11.98
1014,11.87
1015,11.96
1016,11.96
1017,12.01
1018,12.06
1019,12.13
1020,12.11
1021,12.09
1022,12.04
1023,12.04
1024,12.09
1025,12.11
1026,12.27
1027,12.37
1028,12.51
1029,12.45
1030,12.52
1031,12.51
1032,12.51
1033,12.45
1034,12.56
1035,12.47
1036,12.47
1037,12.4
1038,12.44
1039,12.32
1040,12.3
1041,12.28
1042,12.25
1043,12.27
1044,12.23
1045,12.15
1046,12.09
1047,11.99
1048,12.03
1049,11.96
1050,11.91
1051,11.98
1052,11.98
1053,12.03
1054,11.91
1055,11.89
1056,11.87
1057,12.04
1058,12.23
1059,12.2
1060,12.25
1061,12.2
1062,12.03
1063,11.91
1064,11.8
1065,11.63
1066,11.62
1067,11.53
1068,11.58
1069,11.58
1070,11.5
1071,11.58
1072,11.57
1073,11.57
1074,11.57
1075,11.43
1076,11.5
1077,11.63
1078,11.65
1079,11.67
1080,11.63
1081,11.65
1082,11.62
1083,11.67
1084,11.58
1085,11.51
1086,11.53
1087,11.48
1088,11.58
1089,11.74
1090,11.77
1091,11.84
1092,11.77
1093,11.79
1094,11.8
1095,11.84
1096,11.92
1097,12.06
1098,12.18
1099,12.27
1100,12.3
1101,12.27
1102,12.28
1103,12.27
1104,12.18
1105,12.11
1106,12.18
1107,12.18
1108,12.23
1109,12.25
1110,12.27
1111,12.27
1112,12.3
1113,12.3
1114,12.37
1115,12.39
1116,12.16
1117,12.23
1118,12.2
1119,12.16
1120,12.04
1121,12.27
1122,12.25
1123,12.33
1124,12.18
1125,12.15
1126,12.03
1127,11.98
1128,11.96
1129,11.77
1130,11.84
1131,11.75
1132,11.84
1133,11.72
1134,11.8
1135,11.84
1136,11.74
1137,11.74
1138,11.67
1139,11.75
1140,11.72
1141,11.77
1142,11.84
1143,11.84
1144,11.77
1145,11.62
1146,11.62
1147,11.58
1148,11.58
1149,11.6
1150,11.51
1151,11.79
1152,11.86
1153,11.92
1154,11.99
1155,11.92
1156,11.91
1157,11.84
1158,11.86
1159,11.89
1160,11.84
1161,11.87
1162,11.99
1163,11.98
1164,11.96
1165,12.01
1166,11.87
1167,11.92
1168,11.91
1169,11.96
1170,11.89
1171,11.91
1172,11.91
1173,11.92
1174,11.92
1175,11.79
1176,11.87
1177,11.91
1178,11.79
1179,11.84
1180,11.72
1181,11.86
1182,11.77
1183,11.92
1184,11.91
1185,11.79
1186,11.86
1187,11.8
1188,11.86
1189,11.87
1190,11.92
1191,11.91
1192,11.79
1193,11.89
1194,11.77
1195,11.7
1196,11.65
1197,11.51
1198,11.51
1199,11.39
1200,11.34
1201,11.36
1202,11.43
1203,11.34
1204,11.39
1205,11.33
1206,11.34
1207,11.29
1208,11.38
1209,11.38
1210,11.36
1211,11.46
1212,11.46
1213,11.43
1214,11.62
1215,11.62
1216,11.75
1217,11.79
1218,11.84
1219,11.77
1220,11.89
1221,11.98
1222,11.92
1223,12.01
1224,11.99
1225,11.84
1226,11.89
1227,12.09
1228,12.11
1229,12.16
1230,12.18
1231,12.18
1232,12.16
1233,12.18
1234,12.18
1235,12.04
1236,11.91
1237,11.75
1238,11.92
1239,11.96
1240,12.11
1241,12.09
1242,12.03
1243,12.01
1244,11.96
1245,11.86
1246,11.86
1247,11.98
1248,11.92
1249,11.98
1250,12.01
1251,12.09
1252,12.09
1253,11.96
