row_index,WROT.PtMotorTmp.Bl3
1,0.1
2,0.1
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,-0.1
14,-0.1
15,-0.1
16,-0.1
17,-0.1
18,-0.1
19,-0.1
20,-0.1
21,-0.1
22,-0.2
23,-0.2
24,-0.2
25,-0.2
26,-0.2
27,-0.2
28,-0.2
29,-0.2
30,-0.2
31,-0.2
32,-0.2
33,-0.2
34,-0.2
35,-0.2
36,-0.2
37,-0.2
38,-0.2
39,-0.2
40,-0.2
41,-0.2
42,-0.2
43,-0.2
44,-0.2
45,-0.2
46,-0.2
47,-0.2
48,-0.2
49,-0.2
50,-0.3
51,-0.3
52,-0.3
53,-0.3
54,-0.3
55,-0.3
56,-0.3
57,-0.3
58,-0.3
59,-0.3
60,-0.3
61,-0.4
62,-0.3
63,-0.3
64,-0.3
65,-0.4
66,-0.3
67,-0.4
68,-0.4
69,-0.4
70,-0.4
71,-0.4
72,-0.4
73,-0.4
74,-0.4
75,-0.4
76,-0.4
77,-0.4
78,-0.4
79,-0.4
80,-0.4
81,-0.4
82,-0.4
83,-0.4
84,-0.4
85,-0.4
86,-0.4
87,-0.4
88,-0.4
89,-0.4
90,-0.4
91,-0.4
92,-0.4
93,-0.4
94,-0.4
95,-0.4
96,-0.4
97,-0.4
98,-0.4
99,-0.4
100,-0.4
101,-0.4
102,-0.4
103,-0.4
104,-0.4
105,-0.4
106,-0.4
107,-0.4
108,-0.4
109,-0.4
110,-0.4
111,-0.4
112,-0.4
113,-0.4
114,-0.4
115,-0.5
116,-0.4
117,-0.4
118,-0.5
119,-0.4
120,0.0
121,0.1
122,0.2
123,0.2
124,0.2
125,0.2
126,0.2
127,0.1
128,0.3
129,0.5
130,0.5
131,0.5
132,0.5
133,0.5
134,0.4
135,0.4
136,0.5
137,0.8
138,0.8
139,0.8
140,0.8
141,0.8
142,0.69
143,0.6
144,0.6
145,0.6
146,0.6
147,0.6
148,0.6
149,0.5
150,0.5
151,0.5
152,0.5
153,0.4
154,0.3
155,0.3
156,0.3
157,0.2
158,0.2
159,0.2
160,0.1
161,0.1
162,0.1
163,0.1
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,-0.1
173,-0.1
174,-0.1
175,-0.1
176,-0.1
177,-0.1
178,-0.1
179,-0.2
180,-0.2
181,-0.2
182,-0.2
183,-0.2
184,-0.2
185,-0.2
186,-0.2
187,0.0
188,0.1
189,0.2
190,0.3
191,0.3
192,0.2
193,0.2
194,0.2
195,0.2
196,0.3
197,0.3
198,0.3
199,0.3
200,0.3
201,0.2
202,0.2
203,0.1
204,0.1
205,0.1
206,0.1
207,0.1
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,-0.1
216,-0.1
217,-0.1
218,-0.1
219,-0.1
220,-0.1
221,0.0
222,0.1
223,0.1
224,0.1
225,0.1
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,-0.1
235,-0.1
236,-0.4
237,0.1
238,0.2
239,0.3
240,0.3
241,0.3
242,0.2
243,0.2
244,0.2
245,0.1
246,0.1
247,0.1
248,0.1
249,0.1
250,0.1
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,-0.1
259,-0.1
260,-0.1
261,-0.1
262,-0.1
263,-0.1
264,-0.1
265,-0.2
266,-0.2
267,-0.2
268,-0.2
269,-0.2
270,-0.2
271,-0.1
272,0.0
273,0.1
274,0.1
275,0.1
276,0.1
277,0.1
278,0.1
279,0.1
280,0.3
281,0.3
282,0.3
283,0.3
284,0.3
285,0.3
286,0.3
287,0.3
288,0.2
289,0.2
290,0.1
291,0.1
292,0.1
293,0.1
294,0.1
295,0.1
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,-0.1
304,-0.1
305,-0.1
306,-0.1
307,-0.1
308,-0.1
309,-0.2
310,-0.2
311,-0.2
312,-0.2
313,-0.2
314,-0.2
315,-0.2
316,-0.2
317,-0.2
318,-0.2
319,-0.2
320,-0.2
321,-0.2
322,-0.2
323,-0.2
324,-0.2
325,-0.2
326,-0.2
327,-0.3
328,-0.3
329,-0.3
330,-0.3
331,-0.3
332,-0.3
333,-0.3
334,-0.4
335,-0.4
336,-0.4
337,-0.4
338,-0.1
339,0.1
340,0.2
341,0.3
342,0.3
343,0.2
344,0.2
345,0.2
346,0.2
347,0.1
348,0.1
349,0.1
350,0.1
351,0.1
352,0.0
353,0.0
354,0.0
355,0.2
356,0.3
357,0.3
358,0.3
359,0.3
360,0.3
361,0.3
362,0.3
363,0.4
364,0.6
365,0.6
366,0.6
367,0.6
368,0.6
369,0.5
370,0.5
371,0.5
372,0.8
373,0.8
374,0.8
375,0.8
376,0.8
377,0.69
378,0.6
379,0.6
380,0.8
381,0.89
382,0.89
383,0.8
384,0.8
385,0.8
386,0.8
387,0.69
388,0.8
389,1.1
390,1.1
391,1.1
392,1.1
393,1.0
394,1.0
395,0.89
396,0.89
397,1.0
398,1.0
399,1.0
400,1.0
401,0.89
402,0.8
403,0.8
404,0.8
405,0.69
406,0.6
407,0.6
408,0.6
409,0.5
410,0.5
411,0.5
412,0.5
413,0.4
414,0.4
415,0.3
416,0.3
417,0.3
418,0.3
419,0.2
420,0.2
421,0.2
422,0.2
423,0.2
424,0.1
425,0.1
426,0.1
427,0.1
428,0.1
429,0.1
430,0.1
431,0.1
432,0.0
433,0.1
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.2
440,0.5
441,0.5
442,0.5
443,0.5
444,0.5
445,0.5
446,0.5
447,0.5
448,0.6
449,0.6
450,0.6
451,0.6
452,0.6
453,0.5
454,0.5
455,0.5
456,0.5
457,0.5
458,0.4
459,0.3
460,0.3
461,0.3
462,0.3
463,0.3
464,0.2
465,0.2
466,0.2
467,0.2
468,0.1
469,0.1
470,0.1
471,0.1
472,0.1
473,0.1
474,0.1
475,0.1
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.1
490,0.4
491,0.5
492,0.5
493,0.5
494,0.5
495,0.5
496,0.4
497,0.4
498,0.3
499,0.3
500,0.3
501,0.3
502,0.2
503,0.2
504,0.2
505,0.2
506,0.3
507,0.5
508,0.6
509,0.6
510,0.6
511,0.6
512,0.6
513,0.5
514,0.5
515,0.5
516,0.5
517,0.5
518,0.4
519,0.3
520,0.3
521,0.3
522,0.3
523,0.2
524,0.2
525,0.2
526,0.2
527,0.1
528,0.1
529,0.1
530,0.1
531,0.1
532,0.2
533,0.3
534,0.3
535,0.3
536,0.3
537,0.2
538,0.2
539,0.2
540,0.5
541,0.5
542,0.6
543,0.6
544,0.6
545,0.6
546,0.5
547,0.5
548,0.5
549,0.5
550,0.5
551,0.4
552,0.3
553,0.3
554,0.3
555,0.3
556,0.2
557,0.2
558,0.2
559,0.2
560,0.1
561,0.1
562,0.1
563,0.1
564,0.1
565,0.1
566,0.1
567,0.1
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.1
583,0.1
584,0.1
585,0.1
586,0.1
587,0.1
588,0.1
589,0.1
590,0.1
591,0.1
592,0.1
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,-0.1
605,-0.1
606,-0.1
607,-0.1
608,-0.1
609,-0.1
610,-0.1
611,-0.1
612,-0.1
613,-0.1
614,-0.2
615,-0.2
616,-0.2
617,-0.2
618,-0.2
619,-0.2
620,-0.2
621,-0.2
622,-0.2
623,-0.2
