row_index,WROT.CptVolHigh.Bl2
1,59.36
2,58.72
3,59.06
4,59.22
5,59.16
6,59.2
7,59.23
8,59.07
9,59.21
10,59.3
11,59.07
12,58.85
13,58.93
14,58.68
15,59.1
16,59.1
17,58.85
18,59.36
19,59.23
20,59.04
21,59.01
22,59.21
23,59.17
24,59.04
25,58.92
26,59.37
27,59.22
28,59.27
29,59.22
30,59.3
31,59.02
32,59.3
33,59.05
34,58.84
35,58.86
36,59.27
37,59.06
38,59.0
39,58.7
40,59.26
41,58.92
42,58.9
43,58.86
44,58.82
45,58.89
46,59.19
47,59.19
48,58.89
49,59.03
50,59.23
51,59.18
52,58.87
53,58.93
54,59.02
55,59.35
56,59.06
57,59.03
58,59.06
59,58.81
60,59.12
61,59.03
62,58.85
63,59.01
64,58.89
65,58.89
66,59.37
67,58.74
68,59.18
69,58.99
70,59.23
71,58.88
72,59.36
73,59.03
74,58.75
75,59.06
76,59.08
77,59.08
78,59.05
79,59.0
80,59.08
81,59.04
82,59.15
83,59.12
84,59.01
85,59.25
86,58.92
87,59.19
88,58.76
89,58.73
90,59.04
91,59.17
92,58.89
93,59.05
94,58.96
95,59.16
96,59.06
97,58.93
98,59.02
99,58.65
100,58.87
101,59.19
102,58.92
103,59.33
104,58.95
105,59.14
106,58.75
107,59.36
108,58.99
109,59.05
110,59.01
111,59.07
112,59.28
113,58.8
114,58.98
115,58.88
116,59.29
117,59.18
118,59.08
119,59.17
120,58.75
121,59.2
122,59.04
123,58.99
124,59.19
125,59.06
126,59.16
127,58.86
128,59.09
129,58.99
130,58.9
131,59.15
132,59.1
133,58.72
134,59.22
135,58.94
136,59.18
137,59.29
138,58.83
139,58.8
140,59.19
141,58.91
142,58.91
143,59.1
144,59.0
145,59.09
146,58.81
147,59.23
148,59.22
149,59.19
150,58.85
151,59.04
152,59.0
153,58.92
154,59.21
155,59.04
156,58.94
157,58.88
158,58.78
159,59.24
160,59.18
161,59.17
162,58.94
163,58.66
164,58.89
165,58.85
166,58.69
167,58.72
168,59.18
169,58.91
170,58.92
171,59.28
172,59.23
173,58.91
174,58.75
175,59.21
176,59.19
177,58.9
178,59.22
179,59.04
180,58.99
181,59.04
182,59.05
183,59.12
184,59.09
185,59.13
186,58.69
187,59.17
188,58.96
189,58.97
190,58.97
191,59.28
192,59.07
193,58.95
194,58.92
195,59.38
196,58.87
197,59.0
198,58.84
199,59.34
200,59.0
201,58.87
202,58.85
203,58.86
204,58.7
205,58.96
206,58.93
207,59.23
208,59.04
209,59.14
210,58.9
211,59.33
212,59.19
213,59.12
214,59.19
215,59.07
216,59.11
217,59.05
218,59.09
219,59.32
220,58.87
221,59.27
222,58.89
223,59.3
224,58.9
225,59.17
226,59.2
227,59.35
228,59.14
229,59.18
230,59.21
231,59.05
232,58.79
233,58.99
234,59.24
235,58.88
236,58.88
237,59.01
238,59.12
239,58.74
240,59.04
241,59.21
242,59.17
243,59.21
244,58.99
245,58.85
246,59.36
247,59.06
248,58.92
249,59.0
250,59.0
251,58.89
252,58.93
253,59.34
254,59.16
255,58.89
256,59.25
257,59.15
258,59.15
259,58.91
260,59.1
261,58.77
262,58.81
263,58.91
264,59.13
265,58.7
266,58.76
267,59.19
268,58.97
269,59.06
270,59.25
271,59.26
272,58.9
273,58.96
274,58.87
275,59.23
276,59.33
277,58.89
278,58.97
279,59.18
280,59.28
281,59.01
282,58.88
283,58.91
284,59.08
285,59.15
286,58.86
287,59.22
288,58.82
289,58.7
290,58.78
291,58.98
292,59.06
293,58.95
294,59.03
295,58.97
296,59.01
297,59.11
298,58.99
299,58.75
300,59.04
301,59.08
302,59.33
303,59.17
304,59.26
305,59.22
306,58.78
307,58.8
308,59.09
309,58.75
310,59.22
311,59.05
312,59.27
313,58.94
314,59.15
315,59.24
316,59.23
317,59.03
318,59.16
319,59.23
320,59.23
321,58.75
322,58.95
323,59.06
324,58.91
325,59.26
326,59.01
327,59.03
328,58.96
329,58.87
330,58.9
331,58.85
332,59.0
333,59.22
334,58.97
335,58.92
336,59.05
337,58.91
338,59.0
339,59.22
340,59.19
341,58.95
342,58.84
343,59.04
344,59.08
345,59.04
346,58.84
347,59.15
348,58.8
349,58.96
350,58.95
351,59.24
352,58.89
353,58.86
354,59.05
355,59.27
356,59.22
357,59.0
358,59.05
359,59.29
360,58.69
361,59.13
362,59.11
363,58.78
364,59.03
365,59.18
366,59.05
367,59.01
368,58.88
369,58.96
370,59.12
371,59.27
372,59.0
373,59.02
374,59.31
375,59.05
376,59.28
377,59.24
378,58.85
379,58.92
380,59.04
381,59.19
382,59.04
383,58.76
384,59.03
385,59.28
386,59.12
387,59.18
388,59.21
389,58.96
390,59.07
391,58.99
392,59.23
393,58.96
394,58.88
395,59.28
396,58.84
397,58.94
398,59.04
399,59.21
400,59.25
401,58.95
402,59.25
403,58.92
404,59.29
405,59.09
406,58.98
407,59.19
408,59.05
409,58.7
410,58.92
411,59.19
412,58.7
413,59.05
414,59.35
415,59.25
416,59.2
417,58.91
418,58.97
419,59.0
420,58.84
421,58.94
422,58.7
423,59.1
424,59.24
425,59.18
426,59.07
427,59.27
428,59.11
429,58.78
430,58.88
431,58.96
432,58.85
433,59.03
434,59.02
435,59.2
436,59.22
437,59.25
438,59.14
439,58.97
440,59.36
441,59.24
442,59.03
