row_index,WROT.PtPwSupDCLow.Bl2
1,-0.1
2,0.35
3,0.56
4,0.75
5,0.13
6,0.66
7,0.8
8,0.69
9,0.65
10,0.8
11,0.55
12,0.0
13,0.07
14,-0.01
15,0.01
16,0.59
17,0.38
18,0.6
19,0.42
20,0.6
21,0.06
22,0.62
23,0.76
24,0.58
25,0.52
26,0.68
27,0.66
28,0.11
29,0.61
30,-0.2
31,-0.5
32,0.72
33,0.6
34,0.46
35,-0.17
36,0.82
37,0.15
38,0.0
39,0.07
40,0.64
41,0.54
42,-0.11
43,-0.47
44,0.03
45,-0.28
46,0.77
47,0.55
48,-0.46
49,0.15
50,0.44
51,0.62
52,-0.47
53,0.52
54,0.07
55,0.69
56,0.27
57,0.19
58,0.59
59,-0.46
60,0.6
61,0.13
62,-0.01
63,0.04
64,-0.37
65,-0.61
66,0.7
67,-0.07
68,0.71
69,0.09
70,0.62
71,-0.14
72,0.74
73,0.1
74,0.13
75,0.55
76,0.61
77,0.58
78,0.6
79,0.59
80,0.6
81,0.58
82,0.61
83,0.61
84,0.07
85,-0.06
86,0.55
87,0.8
88,-0.23
89,0.0
90,0.4
91,0.11
92,-0.03
93,0.61
94,-0.03
95,0.6
96,0.61
97,0.64
98,0.09
99,0.05
100,-0.3
101,0.67
102,0.57
103,0.6
104,0.52
105,0.61
106,0.18
107,0.41
108,0.02
109,0.15
110,0.56
111,0.12
112,0.66
113,-0.34
114,0.58
115,-0.41
116,-0.52
117,0.68
118,0.13
119,0.52
120,-0.12
121,0.79
122,0.05
123,-0.06
124,0.68
125,-0.12
126,0.77
127,0.0
128,0.59
129,-0.15
130,-0.51
131,0.27
132,0.59
133,0.14
134,0.66
135,0.18
136,0.75
137,0.19
138,-0.17
139,0.48
140,0.64
141,0.25
142,-0.48
143,0.2
144,0.73
145,0.29
146,0.29
147,0.34
148,0.67
149,0.51
150,-0.37
151,0.09
152,0.55
153,-0.49
154,0.75
155,0.58
156,0.72
157,0.04
158,0.18
159,0.61
160,0.67
161,0.66
162,-0.29
163,0.41
164,-0.54
165,-0.35
166,0.03
167,0.09
168,0.67
169,-0.36
170,-0.42
171,0.4
172,0.76
173,-0.43
174,0.04
175,0.66
176,-0.04
177,-0.26
178,0.76
179,0.14
180,0.15
181,0.59
182,0.59
183,0.55
184,0.17
185,0.3
186,0.59
187,0.6
188,0.18
189,-0.04
190,0.46
191,0.67
192,-0.04
193,0.16
194,-0.51
195,0.77
196,-0.27
197,0.64
198,0.0
199,-0.08
200,0.25
201,-0.51
202,-0.07
203,-0.13
204,0.0
205,-0.48
206,-0.09
207,0.72
208,0.29
209,0.14
210,0.6
211,0.61
212,0.76
213,0.6
214,0.62
215,0.6
216,0.61
217,0.62
218,0.61
219,0.59
220,-0.49
221,-0.08
222,0.66
223,-0.17
224,-0.07
225,0.41
226,0.68
227,0.71
228,0.62
229,-0.48
230,0.79
231,0.59
232,-0.35
233,-0.02
234,0.66
235,-0.41
236,0.78
237,0.62
238,0.13
239,0.06
240,0.14
241,0.79
242,0.65
243,0.69
244,0.0
245,-0.02
246,0.66
247,0.59
248,0.23
249,0.12
250,0.0
251,0.57
252,-0.06
253,0.52
254,0.76
255,0.36
256,0.69
257,0.76
258,0.73
259,-0.45
260,0.59
261,-0.25
262,-0.31
263,-0.5
264,-0.03
265,0.05
266,-0.25
267,0.72
268,0.3
269,0.1
270,-0.12
271,0.38
272,-0.49
273,0.59
274,-0.64
275,0.67
276,-0.01
277,-0.37
278,0.68
279,0.58
280,-0.15
281,0.55
282,0.61
283,0.47
284,0.12
285,0.69
286,-0.45
287,0.77
288,-0.14
289,-0.24
290,-0.16
291,0.13
292,0.14
293,0.69
294,0.08
295,0.06
296,0.57
297,0.15
298,0.08
299,0.05
300,0.57
301,0.23
302,0.66
303,0.03
304,-0.46
305,0.79
306,-0.28
307,-0.24
308,0.6
309,0.3
310,0.78
311,0.6
312,0.22
313,0.03
314,0.69
315,0.79
316,0.66
317,0.45
318,0.5
319,0.77
320,0.69
321,-0.07
322,0.63
323,-0.43
324,-0.11
325,0.71
326,0.58
327,-0.45
328,-0.33
329,0.68
330,-0.13
331,-0.31
332,0.52
333,0.6
334,0.61
335,0.07
336,0.24
337,0.15
338,0.55
339,0.73
340,0.79
341,-0.39
342,-0.16
343,0.11
344,0.6
345,0.06
346,0.04
347,0.67
348,-0.16
349,-0.21
350,-0.38
351,0.8
352,0.67
353,-0.28
354,0.56
355,0.66
356,0.47
357,0.03
358,0.05
359,0.79
360,0.11
361,0.62
362,0.14
363,-0.2
364,0.53
365,0.67
366,0.08
367,0.02
368,-0.28
369,-0.35
370,0.5
371,0.84
372,0.04
373,0.05
374,-0.02
375,0.58
376,-0.09
377,-0.09
378,-0.08
379,0.56
380,-0.07
381,0.63
382,0.2
383,-0.14
384,-0.05
385,-0.21
386,0.61
387,0.33
388,0.63
389,-0.12
390,0.11
391,0.04
392,0.65
393,0.0
394,0.67
395,0.52
396,-0.1
397,0.62
398,0.56
399,0.75
400,0.64
401,0.5
402,0.69
403,-0.35
404,-0.37
405,0.58
406,0.47
407,0.74
408,0.59
409,0.16
410,-0.33
411,0.78
412,0.0
413,0.61
414,0.56
415,0.73
416,0.72
417,0.65
418,0.7
419,0.05
420,-0.27
421,0.54
422,-0.01
423,0.63
424,0.65
425,0.35
426,0.61
427,0.66
428,0.29
429,-0.17
430,-0.07
431,-0.03
432,-0.11
433,0.08
434,0.68
435,0.78
436,0.74
437,0.76
438,0.62
439,-0.45
440,0.63
441,0.68
442,0.6
443,-0.47
444,0.5
445,0.8
446,0.61
447,0.65
448,0.22
449,-0.18
450,-0.03
451,0.07
452,0.2
453,0.64
454,-0.1
455,0.77
456,-0.35
457,0.63
458,0.61
459,0.64
460,0.58
461,0.05
462,0.08
463,0.05
464,0.42
465,-0.02
466,0.67
467,0.58
468,-0.17
469,0.58
470,0.0
471,0.62
472,0.79
473,0.21
474,0.0
475,0.41
476,-0.18
477,0.05
478,0.77
479,0.05
480,0.6
481,0.1
482,0.11
483,0.1
484,0.71
485,0.74
486,0.7
487,0.17
488,-0.05
489,0.71
490,-0.47
491,-0.17
492,0.61
493,0.38
494,-0.04
495,0.57
496,-0.4
497,-0.08
498,-0.31
499,0.56
500,0.5
501,0.67
502,0.66
503,0.65
504,0.67
505,0.6
506,0.14
507,-0.13
508,0.49
509,0.78
510,-0.16
511,-0.24
512,0.64
513,0.78
514,0.64
515,-0.17
516,-0.33
517,0.11
518,-0.12
519,-0.14
520,-0.31
521,0.2
522,0.31
523,0.65
524,0.15
525,0.58
526,0.79
527,0.6
528,0.6
529,0.59
530,0.65
531,0.53
532,0.63
533,-0.47
534,0.69
535,0.8
536,0.56
537,0.64
538,0.02
539,-0.15
540,-0.08
541,-0.13
542,0.67
543,-0.09
544,0.68
545,-0.44
546,0.82
547,0.61
548,-0.32
549,0.15
550,0.76
551,-0.02
552,0.29
553,0.52
554,0.81
555,0.58
556,-0.55
557,0.65
558,-0.02
559,0.67
560,0.74
561,-0.26
562,-0.02
563,0.67
564,-0.33
565,0.09
566,0.13
567,0.22
568,0.02
569,-0.42
570,-0.14
571,0.04
572,-0.39
573,-0.41
574,0.79
575,-0.02
576,0.62
577,0.58
578,0.73
579,0.29
580,-0.06
581,0.51
582,-0.46
583,0.13
584,0.03
585,-0.12
586,-0.16
587,-0.38
588,0.67
589,-0.56
590,-0.43
591,-0.07
592,-0.23
593,-0.12
594,0.0
595,-0.16
596,0.72
597,-0.12
598,0.09
599,0.05
600,0.6
601,0.61
602,-0.04
603,-0.01
604,0.0
605,0.29
606,-0.11
607,0.76
608,0.58
609,0.17
610,-0.27
611,0.55
612,0.53
613,-0.38
614,0.51
615,0.66
616,0.15
617,-0.06
618,-0.15
619,0.61
620,0.65
621,0.77
622,0.58
623,-0.12
624,0.19
625,0.45
626,0.58
627,-0.29
628,0.48
629,0.0
630,0.58
631,0.75
632,0.53
633,0.06
634,-0.1
635,0.68
636,-0.51
637,0.0
638,-0.24
639,0.78
640,0.26
641,0.08
642,0.66
643,0.33
644,0.62
645,0.77
646,0.61
647,-0.37
648,-0.01
649,0.69
650,0.18
651,0.27
652,0.59
653,0.59
654,0.6
655,0.61
656,0.6
657,0.56
658,0.58
659,0.62
660,-0.12
661,0.68
662,-0.27
663,0.62
664,0.67
665,-0.04
666,-0.01
667,-0.07
668,0.05
669,0.01
670,-0.09
671,0.56
672,0.8
673,0.5
674,0.23
675,0.75
676,0.8
677,0.14
678,0.7
679,0.49
680,0.58
681,0.75
682,-0.1
683,0.45
684,-0.5
685,0.73
686,0.6
687,-0.19
688,0.09
689,0.32
690,-0.1
691,-0.2
