row_index,WGEN.Conver_grid_L2a_igbt_Tep.i
1,27.51
2,27.56
3,27.56
4,27.56
5,27.56
6,27.56
7,27.56
8,27.56
9,27.56
10,27.56
11,27.56
12,27.56
13,27.56
14,27.56
15,27.56
16,27.56
17,27.56
18,27.61
19,27.56
20,27.51
21,27.56
22,27.56
23,27.56
24,27.56
25,27.56
26,27.51
27,27.51
28,27.56
29,27.56
30,27.56
31,27.61
32,27.61
33,27.56
34,27.61
35,27.56
36,27.56
37,27.56
38,27.56
39,27.56
40,27.56
41,27.56
42,27.56
43,27.51
44,27.51
45,27.56
46,27.56
47,27.56
48,27.56
49,27.51
50,27.56
51,27.56
52,27.61
53,27.51
54,27.61
55,27.56
56,27.51
57,27.56
58,27.61
59,27.56
60,27.56
61,27.56
62,27.51
63,27.61
64,27.51
65,27.56
66,27.56
67,27.56
68,27.56
69,27.51
70,27.56
71,27.51
72,27.56
73,27.56
74,27.61
75,27.56
76,27.56
77,27.56
78,27.51
79,27.56
80,27.56
81,27.56
82,27.61
83,27.56
84,27.56
85,27.56
86,27.61
87,27.56
88,27.56
89,27.61
90,27.56
91,27.56
92,27.61
93,27.56
94,27.56
95,27.56
96,27.56
97,27.51
98,27.56
99,27.66
100,27.61
101,27.56
102,27.56
103,27.56
104,27.61
105,27.56
106,27.56
107,27.56
108,27.51
109,27.56
110,27.56
111,27.56
112,27.56
113,27.56
114,27.56
115,27.56
116,27.56
117,27.56
118,27.56
119,27.56
120,27.56
121,27.56
122,27.56
123,27.56
124,27.51
125,27.56
126,27.56
127,27.61
128,27.56
129,27.56
130,27.51
131,27.56
132,27.56
133,27.51
134,27.56
135,27.56
136,27.56
137,27.56
138,27.51
139,27.56
140,27.56
141,27.56
142,27.56
143,27.56
144,27.56
145,27.56
146,27.51
147,27.56
148,27.61
149,27.51
150,27.56
151,27.56
152,27.56
153,27.56
154,27.56
155,27.56
156,27.56
157,27.56
158,27.51
159,27.56
160,27.56
161,27.56
162,27.56
163,27.61
164,27.61
165,27.56
166,27.56
167,27.61
168,27.56
169,27.51
170,27.56
171,27.51
172,27.56
173,27.56
174,27.56
175,27.61
176,27.56
177,27.51
178,27.56
179,27.56
180,27.56
181,27.61
182,27.56
183,27.56
184,27.51
185,27.56
186,27.56
187,27.51
188,27.61
189,27.56
190,27.56
191,27.56
192,27.56
193,27.61
194,27.56
195,27.56
196,27.51
197,27.56
