row_index,WTUR.TmHvElt.actTmVal
1,49637.11
2,49637.12
3,49637.12
4,49637.12
5,49637.12
6,49637.12
7,49637.13
8,49637.13
9,49637.13
10,49637.13
11,49637.13
12,49637.14
13,49637.14
14,49637.14
15,49637.14
16,49637.14
17,49637.15
18,49637.15
19,49637.15
20,49637.15
21,49637.15
22,49637.16
23,49637.16
24,49637.16
25,49637.16
26,49637.16
27,49637.17
28,49637.17
29,49637.17
30,49637.17
31,49637.18
32,49637.18
33,49637.18
34,49637.18
35,49637.18
36,49637.19
37,49637.19
38,49637.19
39,49637.19
40,49637.19
41,49637.2
42,49637.2
43,49637.2
44,49637.2
45,49637.2
46,49637.21
47,49637.21
48,49637.21
49,49637.21
50,49637.21
51,49637.22
52,49637.22
53,49637.22
54,49637.22
55,49637.22
56,49637.23
57,49637.23
58,49637.23
59,49637.23
60,49637.23
61,49637.24
62,49637.24
63,49637.24
64,49637.24
65,49637.24
66,49637.25
67,49637.25
68,49637.25
69,49637.25
70,49637.25
71,49637.26
72,49637.26
73,49637.26
74,49637.26
75,49637.26
76,49637.27
77,49637.27
78,49637.27
79,49637.27
80,49637.27
81,49637.28
82,49637.28
83,49637.28
84,49637.28
85,49637.28
86,49637.28
87,49637.29
88,49637.29
89,49637.29
90,49637.29
91,49637.29
92,49637.3
93,49637.3
94,49637.3
95,49637.3
96,49637.3
97,49637.31
98,49637.31
99,49637.31
100,49637.31
101,49637.31
102,49637.32
103,49637.32
104,49637.32
105,49637.32
106,49637.32
107,49637.33
108,49637.33
109,49637.33
110,49637.33
111,49637.33
112,49637.34
113,49637.34
114,49637.34
115,49637.34
116,49637.34
117,49637.35
118,49637.35
119,49637.35
120,49637.35
121,49637.35
122,49637.36
123,49637.36
124,49637.36
125,49637.36
126,49637.36
127,49637.37
128,49637.37
129,49637.37
130,49637.37
131,49637.37
132,49637.38
133,49637.38
134,49637.38
135,49637.38
136,49637.38
137,49637.39
138,49637.39
139,49637.39
140,49637.39
141,49637.39
142,49637.4
143,49637.4
144,49637.4
145,49637.4
146,49637.4
147,49637.41
148,49637.41
149,49637.41
150,49637.41
151,49637.41
152,49637.42
153,49637.42
154,49637.42
155,49637.42
156,49637.42
157,49637.43
158,49637.43
159,49637.43
160,49637.43
161,49637.43
162,49637.44
163,49637.44
164,49637.44
165,49637.44
166,49637.44
167,49637.45
168,49637.45
169,49637.45
170,49637.45
171,49637.45
172,49637.45
173,49637.46
174,49637.46
175,49637.46
176,49637.46
177,49637.46
178,49637.47
179,49637.47
180,49637.47
181,49637.47
182,49637.47
183,49637.48
184,49637.48
185,49637.48
186,49637.48
187,49637.48
188,49637.49
189,49637.49
190,49637.49
191,49637.49
192,49637.49
193,49637.5
194,49637.5
195,49637.5
196,49637.5
197,49637.51
198,49637.51
199,49637.51
200,49637.51
201,49637.51
202,49637.52
203,49637.52
204,49637.52
205,49637.52
206,49637.52
207,49637.53
208,49637.53
209,49637.53
210,49637.53
211,49637.53
212,49637.54
213,49637.54
214,49637.54
215,49637.54
216,49637.54
217,49637.55
218,49637.55
219,49637.55
220,49637.55
221,49637.55
222,49637.56
223,49637.56
224,49637.56
225,49637.56
226,49637.56
227,49637.57
228,49637.57
229,49637.57
230,49637.57
231,49637.57
232,49637.58
233,49637.58
234,49637.58
235,49637.58
236,49637.58
237,49637.59
238,49637.59
239,49637.59
240,49637.59
241,49637.59
242,49637.6
243,49637.6
244,49637.6
245,49637.6
246,49637.6
247,49637.61
248,49637.61
249,49637.61
250,49637.61
251,49637.61
252,49637.61
253,49637.62
254,49637.62
255,49637.62
256,49637.62
257,49637.62
258,49637.63
259,49637.63
260,49637.63
261,49637.63
262,49637.63
263,49637.64
264,49637.64
265,49637.64
266,49637.64
267,49637.64
268,49637.65
269,49637.65
270,49637.65
271,49637.65
272,49637.65
273,49637.66
274,49637.66
275,49637.66
276,49637.66
277,49637.66
278,49637.67
279,49637.67
280,49637.67
281,49637.67
282,49637.67
283,49637.68
284,49637.68
285,49637.68
286,49637.68
287,49637.68
288,49637.69
289,49637.69
290,49637.69
291,49637.69
292,49637.69
293,49637.7
294,49637.7
295,49637.7
296,49637.7
297,49637.7
298,49637.71
299,49637.71
300,49637.71
301,49637.71
302,49637.71
303,49637.72
304,49637.72
305,49637.72
306,49637.72
307,49637.72
308,49637.73
309,49637.73
310,49637.73
311,49637.73
312,49637.73
313,49637.74
314,49637.74
315,49637.74
316,49637.74
317,49637.74
318,49637.75
319,49637.75
320,49637.75
321,49637.75
322,49637.75
323,49637.76
324,49637.76
325,49637.76
326,49637.76
327,49637.76
328,49637.77
329,49637.77
330,49637.77
331,49637.77
332,49637.77
333,49637.78
334,49637.78
335,49637.78
336,49637.78
337,49637.78
338,49637.79
339,49637.79
340,49637.79
341,49637.79
342,49637.79
343,49637.8
344,49637.8
345,49637.8
346,49637.8
347,49637.8
348,49637.81
349,49637.81
350,49637.81
351,49637.81
352,49637.81
353,49637.82
354,49637.82
355,49637.82
356,49637.82
357,49637.82
358,49637.83
359,49637.83
360,49637.83
361,49637.83
362,49637.83
363,49637.84
364,49637.84
365,49637.84
366,49637.84
367,49637.84
368,49637.85
369,49637.85
370,49637.85
371,49637.85
372,49637.85
373,49637.86
374,49637.86
375,49637.86
376,49637.86
377,49637.86
378,49637.87
379,49637.87
380,49637.87
381,49637.87
382,49637.87
383,49637.88
384,49637.88
385,49637.88
386,49637.88
387,49637.88
388,49637.89
389,49637.89
390,49637.89
391,49637.89
392,49637.89
393,49637.9
394,49637.9
395,49637.9
396,49637.9
397,49637.9
398,49637.91
399,49637.91
400,49637.91
401,49637.91
402,49637.91
403,49637.92
404,49637.92
405,49637.92
406,49637.92
407,49637.92
408,49637.93
409,49637.93
410,49637.93
411,49637.93
412,49637.93
413,49637.94
414,49637.94
415,49637.94
416,49637.94
417,49637.94
418,49637.95
419,49637.95
420,49637.95
421,49637.95
422,49637.95
423,49637.95
424,49637.96
425,49637.96
426,49637.96
427,49637.96
428,49637.96
429,49637.97
430,49637.97
431,49637.97
432,49637.97
433,49637.97
434,49637.98
435,49637.98
436,49637.98
437,49637.98
438,49637.98
439,49637.99
440,49637.99
441,49637.99
442,49637.99
443,49637.99
444,49638.0
445,49638.0
446,49638.0
447,49638.0
448,49638.0
449,49638.01
450,49638.01
451,49638.01
452,49638.01
453,49638.01
454,49638.02
455,49638.02
456,49638.02
457,49638.02
458,49638.02
459,49638.03
460,49638.03
461,49638.03
462,49638.03
463,49638.03
464,49638.04
465,49638.04
466,49638.04
467,49638.04
