row_index,WTUR.Capacitor_cooling_fan_speed_setpoint
1,76.66
2,79.99
3,76.66
4,73.33
5,66.66
6,66.66
7,73.33
8,69.99
9,80.0
10,83.33
11,90.0
12,83.33
13,80.0
14,76.66
15,76.66
16,79.99
17,86.66
18,76.66
19,70.0
20,66.66
21,63.33
22,79.99
23,89.99
24,86.66
25,86.66
26,93.33
27,83.33
28,73.33
29,70.0
30,76.66
31,76.66
32,80.0
33,73.33
34,70.0
35,70.0
36,76.66
37,90.0
38,83.33
39,76.66
40,76.66
41,76.66
42,79.99
43,90.0
44,86.66
45,83.33
46,80.0
47,66.66
48,69.99
49,80.0
50,79.99
51,79.99
52,90.0
53,80.0
54,76.66
55,76.66
56,80.0
57,70.0
58,73.33
59,89.99
60,96.66
61,90.0
62,69.99
63,73.33
64,73.33
65,73.33
66,80.0
67,80.0
68,80.0
69,80.0
70,83.33
71,83.33
72,83.33
73,73.33
74,66.66
75,73.33
76,76.66
77,76.66
78,73.33
79,70.0
80,76.66
81,76.66
82,80.0
83,80.0
84,83.33
85,80.0
86,76.66
87,76.66
88,76.66
89,80.0
90,83.33
91,86.66
92,76.66
93,70.0
94,69.99
95,76.66
96,83.33
97,86.66
98,90.0
99,83.33
100,76.66
101,80.0
102,86.66
103,90.0
104,83.33
105,76.66
106,80.0
107,83.33
108,83.33
109,76.66
110,73.33
111,70.0
112,73.33
113,83.33
114,83.33
115,69.99
116,76.66
117,76.66
118,69.99
119,69.99
120,76.66
121,83.33
122,80.0
123,76.66
124,80.0
125,80.0
126,73.33
127,73.33
128,69.99
129,63.33
130,60.0
131,69.99
132,73.33
133,76.66
134,83.33
135,79.99
136,76.66
137,73.33
138,79.99
139,76.66
140,76.66
141,73.33
142,66.66
143,76.66
144,83.33
145,83.33
146,83.33
147,73.33
148,66.66
149,69.99
150,69.99
151,76.66
152,83.33
153,83.33
154,73.33
155,63.33
156,66.66
157,76.66
158,83.33
159,73.33
160,76.66
161,76.66
162,76.66
163,76.66
164,76.66
165,73.33
166,63.33
167,60.0
168,60.0
169,73.33
170,76.66
171,66.66
172,66.66
173,66.66
174,73.33
175,76.66
176,76.66
177,66.66
178,63.33
179,73.33
180,83.33
181,76.66
182,73.33
183,76.66
184,79.99
185,83.33
186,76.66
187,76.66
188,83.33
189,83.33
190,76.66
191,66.66
192,66.66
193,69.99
194,66.66
195,66.66
196,66.66
197,73.33
198,76.66
199,83.33
200,76.66
201,66.66
202,73.33
203,76.66
204,73.33
205,73.33
206,73.33
207,83.33
208,73.33
209,73.33
210,66.66
211,60.0
212,76.66
213,96.66
214,90.0
215,83.33
216,83.33
217,86.66
218,73.33
219,63.33
220,63.33
221,66.66
222,69.99
223,76.66
224,83.33
225,73.33
226,73.33
227,69.99
228,73.33
229,73.33
230,73.33
231,76.66
232,86.66
233,73.33
234,66.66
235,66.66
236,60.0
237,60.0
238,76.66
239,79.99
240,73.33
241,66.66
242,63.33
243,69.99
244,79.99
245,86.66
246,83.33
247,73.33
248,69.99
249,63.33
250,66.66
251,73.33
252,76.66
253,73.33
254,79.99
255,76.66
256,73.33
257,76.66
258,76.66
259,73.33
260,83.33
261,83.33
262,90.0
263,90.0
264,83.33
265,73.33
266,69.99
267,66.66
268,73.33
269,73.33
270,66.66
271,66.66
272,73.33
273,79.99
274,76.66
275,66.66
276,73.33
277,69.99
278,69.99
279,76.66
280,73.33
281,73.33
282,69.99
283,73.33
284,76.66
285,73.33
286,66.66
287,60.0
288,60.0
289,63.33
290,66.66
291,66.66
292,73.33
293,66.66
294,73.33
295,83.33
296,76.66
297,79.99
298,83.33
299,90.0
300,90.0
301,83.33
302,73.33
303,76.66
304,76.66
305,83.33
306,76.66
307,66.66
308,66.66
309,66.66
310,73.33
311,66.66
312,60.0
313,63.33
314,66.66
315,66.66
316,63.33
317,66.66
318,69.99
319,76.66
320,76.66
321,76.66
322,73.33
323,76.66
324,76.66
325,79.99
326,76.66
327,73.33
328,60.0
329,60.0
330,60.0
331,60.0
332,60.0
333,60.0
334,66.66
335,60.0
336,63.33
337,66.66
338,83.33
339,90.0
340,79.99
341,69.99
342,76.66
343,79.99
344,76.66
345,76.66
346,73.33
347,73.33
348,73.33
349,66.66
350,66.66
351,69.99
352,69.99
353,73.33
354,73.33
355,76.66
356,86.66
357,83.33
358,83.33
359,73.33
360,66.66
361,69.99
362,69.99
363,73.33
364,63.33
365,60.0
366,60.0
367,63.33
368,63.33
369,69.99
370,83.33
371,83.33
372,76.66
373,69.99
374,66.66
375,69.99
376,69.99
377,76.66
378,79.99
379,76.66
380,73.33
381,83.33
382,76.66
383,76.66
384,66.66
385,73.33
386,76.66
387,66.66
388,69.99
389,76.66
390,83.33
391,76.66
392,69.99
393,66.66
394,73.33
395,76.66
396,73.33
397,63.33
398,66.66
399,66.66
400,66.66
401,66.66
402,73.33
403,73.33
404,73.33
405,76.66
406,76.66
407,79.99
408,73.33
409,69.99
410,73.33
411,76.66
412,73.33
413,69.99
414,83.33
415,86.66
416,79.99
417,76.66
418,69.99
419,69.99
420,69.99
421,73.33
422,66.66
423,76.66
424,73.33
425,69.99
426,73.33
427,73.33
428,66.66
429,60.0
430,60.0
431,63.33
432,66.66
433,79.99
434,73.33
435,76.66
436,83.33
437,86.66
438,76.66
439,73.33
440,69.99
441,69.99
442,76.66
443,93.33
444,93.33
445,76.66
446,73.33
447,73.33
448,83.33
449,76.66
450,66.66
451,66.66
452,66.66
453,76.66
454,76.66
455,76.66
456,73.33
457,79.99
458,76.66
459,69.99
460,69.99
461,83.33
462,83.33
463,73.33
464,73.33
465,76.66
466,73.33
467,60.0
468,69.99
469,83.33
470,90.0
471,83.33
472,69.99
473,66.66
474,66.66
475,69.99
476,69.99
477,66.66
478,73.33
479,69.99
480,66.66
481,63.33
482,66.66
483,66.66
484,69.99
485,73.33
486,76.66
487,73.33
488,66.66
489,69.99
490,73.33
491,66.66
492,66.66
493,66.66
494,66.66
495,69.99
496,73.33
497,73.33
498,86.66
499,86.66
500,83.33
501,73.33
502,66.66
503,63.33
504,66.66
505,66.66
506,66.66
507,60.0
508,60.0
509,60.0
510,63.33
511,73.33
512,76.66
513,73.33
514,73.33
515,76.66
516,66.66
517,66.66
518,66.66
519,66.66
520,69.99
521,66.66
522,69.99
523,66.66
524,73.33
525,79.99
526,83.33
527,83.33
528,79.99
529,73.33
530,63.33
531,60.0
532,60.0
533,73.33
534,83.33
535,79.99
536,73.33
537,66.66
538,73.33
539,76.66
540,76.66
541,83.33
542,90.0
543,83.33
544,76.66
545,73.33
546,69.99
547,66.66
548,76.66
549,76.66
550,73.33
551,66.66
552,69.99
553,73.33
554,83.33
555,73.33
556,63.33
557,63.33
558,63.33
559,69.99
560,69.99
561,66.66
562,73.33
563,76.66
564,73.33
565,69.99
566,69.99
567,69.99
568,73.33
569,76.66
570,83.33
571,66.66
572,60.0
573,66.66
574,73.33
575,73.33
576,73.33
577,76.66
578,73.33
579,60.0
580,63.33
581,66.66
582,69.99
583,76.66
584,73.33
585,73.33
586,73.33
587,76.66
588,76.66
589,76.66
590,83.33
591,86.66
592,79.99
593,69.99
594,69.99
595,79.99
596,66.66
597,60.0
598,73.33
599,79.99
600,76.66
601,79.99
602,86.66
603,83.33
604,79.99
605,76.66
606,60.0
607,66.66
608,69.99
609,69.99
610,63.33
611,60.0
612,63.33
613,63.33
614,69.99
615,66.66
616,60.0
617,66.66
618,66.66
619,63.33
620,60.0
621,66.66
622,69.99
623,73.33
624,76.66
625,73.33
626,79.99
627,80.0
628,73.33
629,66.66
630,73.33
631,76.66
632,73.33
633,66.66
634,66.66
635,73.33
636,80.0
637,76.66
638,80.0
639,73.33
640,66.66
641,73.33
642,73.33
643,73.33
644,73.33
645,73.33
646,66.66
647,70.0
648,70.0
649,73.33
650,66.66
651,70.0
652,73.33
653,66.66
654,63.33
655,76.66
656,83.33
657,76.66
658,73.33
659,73.33
660,73.33
661,73.33
662,80.0
663,73.33
664,66.66
665,60.0
666,60.0
667,63.33
668,70.0
669,70.0
670,80.0
671,76.66
672,80.0
673,80.0
674,83.33
675,83.33
676,76.66
677,76.66
678,80.0
679,80.0
680,70.0
681,83.33
682,80.0
683,73.33
684,66.66
685,66.66
686,70.0
687,66.66
688,83.33
689,76.66
690,73.33
691,83.33
692,80.0
693,76.66
694,73.33
695,70.0
696,63.33
697,70.0
698,80.0
699,76.66
700,73.33
701,63.33
702,73.33
703,73.33
704,80.0
705,83.33
706,80.0
707,83.33
708,86.66
709,93.33
710,83.33
711,73.33
712,70.0
713,70.0
714,80.0
715,80.0
716,76.66
717,66.66
718,63.33
719,70.0
720,63.33
721,73.33
722,86.66
723,86.66
724,80.0
725,76.66
726,70.0
727,66.66
728,73.33
729,73.33
730,63.33
731,60.0
732,66.66
733,70.0
734,70.0
735,63.33
736,70.0
737,80.0
738,80.0
739,76.66
740,76.66
741,73.33
742,66.66
743,73.33
744,73.33
745,70.0
746,70.0
747,63.33
748,73.33
749,80.0
750,76.66
751,73.33
752,70.0
753,63.33
754,66.66
755,73.33
756,70.0
757,73.33
758,66.66
759,66.66
760,73.33
761,83.33
762,80.0
763,76.66
764,70.0
765,73.33
766,70.0
767,66.66
768,73.33
769,80.0
770,80.0
771,73.33
772,70.0
773,73.33
774,83.33
775,73.33
776,76.66
777,83.33
778,83.33
779,83.33
780,83.33
781,76.66
782,66.66
783,70.0
784,66.66
785,70.0
786,73.33
787,70.0
788,63.33
789,66.66
790,70.0
791,73.33
792,76.66
793,70.0
794,73.33
795,73.33
796,73.33
797,73.33
798,73.33
799,76.66
800,66.66
801,63.33
