row_index,WTUR.TmHvElt.actTmVal_h
1,49637.11
2,49637.11
3,49637.11
4,49637.12
5,49637.12
6,49637.12
7,49637.12
8,49637.12
9,49637.12
10,49637.13
11,49637.13
12,49637.13
13,49637.14
14,49637.14
15,49637.14
16,49637.14
17,49637.14
18,49637.14
19,49637.15
20,49637.15
21,49637.15
22,49637.15
23,49637.16
24,49637.16
25,49637.16
26,49637.16
27,49637.16
28,49637.16
29,49637.17
30,49637.17
31,49637.17
32,49637.17
33,49637.17
34,49637.17
35,49637.18
36,49637.18
37,49637.18
38,49637.18
39,49637.19
40,49637.19
41,49637.19
42,49637.19
43,49637.19
44,49637.19
45,49637.2
46,49637.2
47,49637.2
48,49637.21
49,49637.21
50,49637.21
51,49637.21
52,49637.21
53,49637.21
54,49637.22
55,49637.22
56,49637.22
57,49637.22
58,49637.23
59,49637.23
60,49637.23
61,49637.23
62,49637.23
63,49637.23
64,49637.24
65,49637.24
66,49637.24
67,49637.24
68,49637.25
69,49637.25
70,49637.25
71,49637.25
72,49637.25
73,49637.25
74,49637.26
75,49637.26
76,49637.26
77,49637.26
78,49637.26
79,49637.26
80,49637.27
81,49637.27
82,49637.27
83,49637.27
84,49637.28
85,49637.28
86,49637.28
87,49637.28
88,49637.28
89,49637.28
90,49637.29
91,49637.29
92,49637.29
93,49637.29
94,49637.3
95,49637.3
96,49637.3
97,49637.3
98,49637.3
99,49637.31
100,49637.31
101,49637.31
102,49637.31
103,49637.32
104,49637.32
105,49637.32
106,49637.32
107,49637.32
108,49637.32
109,49637.33
110,49637.33
111,49637.33
112,49637.33
113,49637.33
114,49637.33
115,49637.34
116,49637.34
117,49637.34
118,49637.34
119,49637.35
120,49637.35
121,49637.35
122,49637.35
123,49637.35
124,49637.35
125,49637.36
126,49637.36
127,49637.36
128,49637.36
129,49637.37
130,49637.37
131,49637.37
132,49637.37
133,49637.37
134,49637.37
135,49637.38
136,49637.38
137,49637.38
138,49637.38
139,49637.39
140,49637.39
141,49637.39
