row_index,WTUR.TmExFlt.actTmVal_h
1,503.09
2,503.09
3,503.09
4,503.09
5,503.09
6,503.09
7,503.09
8,503.09
9,503.09
10,503.09
11,503.09
12,503.09
13,503.09
14,503.09
15,503.09
16,503.09
17,503.09
18,503.09
19,503.09
20,503.09
21,503.09
22,503.09
23,503.09
24,503.09
25,503.09
26,503.09
27,503.09
28,503.09
29,503.09
30,503.09
31,503.09
32,503.09
33,503.09
34,503.09
35,503.09
36,503.09
37,503.09
38,503.09
39,503.09
40,503.09
41,503.09
42,503.09
43,503.09
44,503.09
45,503.09
46,503.09
47,503.09
48,503.09
49,503.09
50,503.09
51,503.09
52,503.09
53,503.09
54,503.09
55,503.09
56,503.09
57,503.09
58,503.09
59,503.09
60,503.09
61,503.09
62,503.09
63,503.09
64,503.09
65,503.09
66,503.09
67,503.09
68,503.09
69,503.09
70,503.09
71,503.09
72,503.09
73,503.09
74,503.09
75,503.09
76,503.09
77,503.09
78,503.09
79,503.09
80,503.09
81,503.09
82,503.09
83,503.09
84,503.09
85,503.09
86,503.09
87,503.09
88,503.09
89,503.09
90,503.09
91,503.09
92,503.09
93,503.09
94,503.09
95,503.09
96,503.09
97,503.09
98,503.09
99,503.09
100,503.09
101,503.09
102,503.09
103,503.09
104,503.09
105,503.09
106,503.09
107,503.09
108,503.09
109,503.09
110,503.09
111,503.09
112,503.09
113,503.09
114,503.09
115,503.09
116,503.09
117,503.09
118,503.09
119,503.09
120,503.09
121,503.09
122,503.09
123,503.09
124,503.09
125,503.09
126,503.09
127,503.09
128,503.09
129,503.09
130,503.09
131,503.09
132,503.09
133,503.09
134,503.09
135,503.09
136,503.09
137,503.09
138,503.09
139,503.09
140,503.09
141,503.09
142,503.09
143,503.09
144,503.09
145,503.09
146,503.09
147,503.09
148,503.09
149,503.09
150,503.09
151,503.09
152,503.09
153,503.09
154,503.09
155,503.09
156,503.09
157,503.09
158,503.09
159,503.09
160,503.09
161,503.09
162,503.09
163,503.09
164,503.09
165,503.09
166,503.09
167,503.09
168,503.09
169,503.09
170,503.09
171,503.09
172,503.09
173,503.09
174,503.09
175,503.09
176,503.09
177,503.09
178,503.09
179,503.09
180,503.09
181,503.09
182,503.09
183,503.09
184,503.09
185,503.09
186,503.09
187,503.09
188,503.09
189,503.09
190,503.09
191,503.09
192,503.09
193,503.09
194,503.09
195,503.09
196,503.09
197,503.09
198,503.09
199,503.09
200,503.09
201,503.09
202,503.09
203,503.09
204,503.09
205,503.09
206,503.09
207,503.09
208,503.09
209,503.09
210,503.09
211,503.09
212,503.09
213,503.09
214,503.09
215,503.09
216,503.09
217,503.09
218,503.09
219,503.09
220,503.09
221,503.09
222,503.09
223,503.09
224,503.09
225,503.09
226,503.09
227,503.09
228,503.09
229,503.09
230,503.09
231,503.09
232,503.09
233,503.09
234,503.09
235,503.09
236,503.09
237,503.09
238,503.09
239,503.09
240,503.09
241,503.09
242,503.09
243,503.09
244,503.09
245,503.09
246,503.09
247,503.09
248,503.09
249,503.09
250,503.09
251,503.09
252,503.09
253,503.09
254,503.09
255,503.09
256,503.09
257,503.09
258,503.09
259,503.09
260,503.09
261,503.09
262,503.09
263,503.09
264,503.09
265,503.09
266,503.09
267,503.09
268,503.09
269,503.09
270,503.09
271,503.09
272,503.09
273,503.09
274,503.09
275,503.09
276,503.09
277,503.09
278,503.09
279,503.09
280,503.09
281,503.09
282,503.09
283,503.09
284,503.09
285,503.09
286,503.09
287,503.09
288,503.09
289,503.09
290,503.09
291,503.09
292,503.09
293,503.09
294,503.09
295,503.09
296,503.09
297,503.09
298,503.09
299,503.09
300,503.09
301,503.09
302,503.09
303,503.09
304,503.09
305,503.09
306,503.09
307,503.09
308,503.09
309,503.09
310,503.09
311,503.09
312,503.09
313,503.09
314,503.09
315,503.09
316,503.09
317,503.09
318,503.09
319,503.09
320,503.09
321,503.09
322,503.09
323,503.09
324,503.09
325,503.09
326,503.09
327,503.09
328,503.09
329,503.09
330,503.09
331,503.09
332,503.09
333,503.09
334,503.09
335,503.09
336,503.09
337,503.09
338,503.09
339,503.09
340,503.09
341,503.09
342,503.09
343,503.09
344,503.09
345,503.09
346,503.09
347,503.09
348,503.09
349,503.09
350,503.09
351,503.09
352,503.09
353,503.09
354,503.09
355,503.09
356,503.09
357,503.09
358,503.09
359,503.09
360,503.09
361,503.09
362,503.09
363,503.09
364,503.09
365,503.09
366,503.09
367,503.09
368,503.09
369,503.09
370,503.09
371,503.09
372,503.09
373,503.09
374,503.09
375,503.09
376,503.09
377,503.09
378,503.09
379,503.09
380,503.09
381,503.09
382,503.09
383,503.09
384,503.09
385,503.09
386,503.09
387,503.09
388,503.09
389,503.09
390,503.09
391,503.09
392,503.09
393,503.09
394,503.09
395,503.09
396,503.09
397,503.09
398,503.09
399,503.09
400,503.09
401,503.09
402,503.09
403,503.09
404,503.09
405,503.09
406,503.09
407,503.09
408,503.09
409,503.09
410,503.09
411,503.09
412,503.09
413,503.09
414,503.09
415,503.09
416,503.09
417,503.09
418,503.09
419,503.09
420,503.09
421,503.09
422,503.09
423,503.09
424,503.09
425,503.09
426,503.09
427,503.09
428,503.09
429,503.09
430,503.09
431,503.09
432,503.09
433,503.09
434,503.09
435,503.09
