row_index,WTUR.PwrAt.Ra.F32.Theory
1,235.84
2,207.65
3,160.08
4,176.46
5,176.46
6,235.84
7,160.08
8,176.46
9,235.84
10,207.65
11,207.65
12,176.46
13,176.46
14,176.46
15,152.22
16,194.4
17,207.65
18,207.65
19,160.08
20,194.4
21,207.65
22,207.65
23,135.53
24,125.28
25,160.08
26,135.53
27,160.08
28,114.06
29,135.53
30,135.53
31,176.46
32,125.28
33,135.53
34,152.22
35,135.53
36,135.53
37,152.22
38,152.22
39,135.53
40,152.22
41,194.4
42,152.22
43,152.22
44,194.4
45,152.22
46,135.53
47,160.08
48,152.22
49,160.08
50,152.22
51,207.65
52,121.79
53,125.28
54,160.08
55,176.46
56,194.4
57,160.08
58,176.46
59,160.08
60,152.22
61,160.08
62,152.22
63,176.46
64,160.08
65,152.22
66,176.46
67,160.08
68,218.02
69,194.4
70,207.65
71,194.4
72,218.02
73,176.46
74,218.02
75,207.65
76,218.02
77,235.84
78,218.02
79,235.84
80,194.4
81,235.84
82,194.4
83,218.02
84,235.84
85,235.84
86,235.84
87,244.38
88,235.84
89,251.43
90,218.02
91,244.38
92,244.38
93,235.84
94,235.84
95,207.65
96,244.38
97,266.49
98,251.43
99,207.65
100,235.84
101,235.84
102,244.38
103,235.84
104,207.65
105,218.02
106,218.02
107,266.49
108,235.84
109,218.02
110,207.65
111,218.02
112,266.49
113,244.38
114,235.84
115,235.84
116,244.38
117,244.38
118,235.84
119,251.43
120,251.43
121,218.02
122,251.43
123,251.43
124,266.49
125,251.43
126,244.38
127,244.38
128,235.84
129,251.43
130,218.02
131,244.38
132,235.84
133,218.02
134,235.84
135,251.43
136,207.65
137,235.84
138,244.38
139,218.02
140,207.65
141,218.02
142,218.02
143,244.38
144,218.02
145,266.49
146,274.26
147,218.02
148,235.84
149,244.38
150,244.38
151,235.84
152,235.84
153,235.84
154,207.65
155,218.02
156,266.49
157,244.38
158,235.84
159,235.84
160,218.02
161,194.4
162,218.02
163,235.84
164,244.38
165,244.38
166,194.4
167,244.38
168,235.84
169,244.38
170,235.84
171,274.26
172,274.26
173,266.49
174,244.38
175,251.43
176,251.43
177,274.26
178,235.84
179,251.43
180,235.84
181,251.43
182,218.02
183,207.65
184,235.84
185,235.84
186,235.84
187,251.43
188,244.38
189,218.02
190,244.38
191,194.4
192,235.84
193,207.65
194,251.43
195,244.38
196,251.43
197,235.84
198,266.49
199,266.49
200,274.26
201,287.7
202,266.49
203,251.43
204,266.49
205,266.49
206,251.43
207,251.43
208,251.43
209,251.43
210,266.49
211,251.43
212,274.26
213,266.49
214,251.43
215,287.7
216,274.26
217,266.49
218,266.49
219,251.43
220,274.26
221,251.43
222,266.49
223,266.49
224,274.26
225,326.7
226,274.26
227,287.7
228,274.26
229,287.7
230,274.26
231,274.26
232,326.7
233,326.7
234,287.7
235,274.26
236,287.7
237,274.26
238,274.26
239,326.7
240,235.84
241,287.7
242,287.7
243,266.49
244,326.7
245,266.49
246,274.26
247,266.49
248,319.81
249,319.81
250,326.7
251,326.7
252,319.81
253,274.26
254,382.45
255,287.7
256,274.26
257,274.26
258,251.43
259,274.26
260,287.7
261,287.7
262,287.7
263,274.26
264,274.26
265,274.26
266,274.26
267,287.7
268,319.81
269,274.26
270,251.43
271,266.49
272,244.38
273,266.49
274,251.43
275,244.38
276,244.38
277,287.7
278,266.49
279,287.7
280,287.7
281,287.7
282,340.45
283,326.7
284,326.7
285,340.45
286,326.7
287,382.45
288,382.45
289,326.7
290,340.45
291,287.7
292,319.81
293,326.7
294,326.7
295,319.81
296,319.81
297,340.45
298,266.49
299,319.81
300,319.81
301,326.7
302,388.81
303,287.7
304,319.81
305,319.81
306,319.81
307,319.81
308,319.81
309,319.81
310,274.26
311,340.45
312,319.81
313,382.45
314,340.45
315,340.45
316,340.45
317,319.81
318,382.45
319,340.45
320,382.45
321,319.81
322,340.45
323,382.45
324,319.81
325,287.7
326,274.26
327,274.26
328,244.38
329,326.7
330,274.26
331,287.7
332,274.26
333,274.26
334,287.7
335,340.45
336,266.49
337,340.45
338,319.81
339,326.7
340,326.7
341,326.7
342,340.45
343,287.7
344,319.81
345,319.81
346,266.49
347,274.26
348,274.26
349,266.49
350,251.43
351,244.38
352,266.49
353,287.7
354,244.38
355,235.84
356,235.84
357,274.26
358,266.49
359,251.43
360,251.43
361,218.02
362,251.43
363,244.38
364,274.26
365,235.84
366,235.84
367,244.38
368,251.43
369,244.38
370,244.38
371,266.49
372,235.84
373,235.84
374,235.84
375,235.84
376,244.38
377,235.84
378,251.43
379,218.02
380,235.84
381,218.02
382,207.65
383,207.65
384,194.4
385,207.65
386,218.02
387,176.46
388,152.22
389,194.4
390,176.46
391,194.4
392,218.02
393,207.65
394,152.22
395,207.65
396,207.65
397,194.4
398,160.08
399,235.84
400,235.84
401,176.46
402,160.08
403,176.46
404,194.4
405,135.53
406,207.65
407,218.02
408,176.46
409,176.46
410,194.4
411,176.46
412,235.84
413,176.46
414,160.08
415,218.02
416,235.84
417,251.43
418,218.02
419,218.02
420,207.65
421,207.65
422,235.84
423,251.43
424,266.49
425,266.49
426,235.84
427,266.49
428,287.7
429,251.43
430,218.02
431,235.84
432,194.4
433,194.4
434,218.02
435,207.65
436,218.02
437,207.65
438,207.65
439,244.38
440,244.38
441,218.02
442,244.38
443,194.4
444,194.4
445,176.46
446,235.84
447,207.65
448,194.4
449,218.02
450,194.4
451,218.02
452,194.4
453,218.02
454,218.02
455,160.08
456,207.65
457,218.02
458,251.43
459,244.38
460,218.02
461,251.43
462,244.38
463,218.02
464,266.49
465,244.38
466,244.38
467,326.7
468,287.7
469,244.38
470,251.43
471,274.26
472,266.49
473,266.49
474,274.26
475,251.43
476,244.38
477,266.49
478,251.43
479,274.26
480,251.43
481,319.81
482,287.7
483,218.02
484,266.49
485,218.02
486,266.49
487,319.81
488,287.7
489,326.7
490,319.81
491,319.81
492,319.81
493,287.7
494,274.26
495,319.81
496,326.7
497,251.43
498,251.43
499,274.26
500,266.49
501,326.7
502,274.26
503,287.7
504,287.7
505,319.81
506,244.38
507,266.49
508,319.81
509,251.43
510,251.43
511,274.26
512,274.26
513,274.26
514,340.45
515,382.45
516,319.81
517,326.7
518,287.7
519,319.81
520,287.7
521,319.81
522,274.26
523,326.7
524,319.81
525,287.7
526,340.45
527,326.7
528,274.26
529,274.26
530,251.43
531,287.7
532,287.7
533,287.7
534,287.7
535,266.49
536,266.49
537,287.7
538,251.43
539,319.81
540,326.7
541,388.81
542,319.81
543,326.7
544,251.43
545,274.26
546,235.84
547,326.7
548,319.81
549,287.7
550,340.45
551,382.45
552,287.7
553,287.7
554,340.45
555,287.7
556,319.81
557,340.45
558,340.45
559,388.81
560,401.66
561,340.45
562,340.45
563,401.66
564,340.45
565,388.81
566,484.49
567,382.45
568,319.81
569,456.48
570,388.81
571,340.45
572,340.45
573,340.45
574,340.45
575,326.7
576,326.7
577,340.45
578,326.7
579,403.61
580,388.81
581,401.66
582,388.81
583,465.3
584,401.66
585,456.48
586,340.45
587,388.81
588,401.66
589,388.81
590,388.81
591,388.81
592,382.45
593,382.45
594,388.81
595,484.49
596,484.49
597,340.45
598,403.61
599,403.61
600,388.81
601,401.66
602,388.81
603,388.81
604,382.45
605,388.81
606,388.81
607,388.81
608,401.66
609,319.81
610,382.45
611,403.61
612,388.81
613,401.66
614,456.48
615,403.61
616,403.61
617,401.66
618,388.81
619,382.45
620,382.45
621,401.66
622,388.81
623,382.45
624,388.81
625,382.45
626,382.45
627,319.81
628,326.7
629,319.81
630,319.81
631,326.7
632,382.45
633,326.7
634,326.7
635,382.45
636,340.45
637,382.45
638,326.7
639,326.7
640,319.81
641,326.7
642,287.7
643,326.7
644,319.81
645,382.45
646,319.81
647,326.7
648,326.7
649,251.43
650,326.7
651,274.26
652,287.7
653,266.49
654,287.7
655,274.26
656,319.81
657,274.26
658,326.7
659,326.7
660,266.49
661,266.49
662,287.7
663,266.49
664,319.81
665,251.43
666,266.49
